Unnamed: 0,UTC time,carbon_intensity,coal,nat_gas,hydro,solar,wind,biomass,unknown
38184,2023-05-11 00:00:00,66.22,0.0,783.0,189.0,0.0,3159.0,290.0,6.0
38185,2023-05-11 01:00:00,65.12,0.0,760.0,79.0,0.0,3234.0,292.0,6.0
38186,2023-05-11 02:00:00,64.54,0.0,755.0,82.0,0.0,3245.0,294.0,6.0
38187,2023-05-11 03:00:00,66.25,0.0,762.0,82.0,0.0,3162.0,296.0,6.0
38188,2023-05-11 04:00:00,67.27,0.0,785.0,87.0,0.0,3193.0,298.0,6.0
38189,2023-05-11 05:00:00,67.13,0.0,781.0,151.0,14.0,3110.0,294.0,6.0
38190,2023-05-11 06:00:00,68.24,0.0,819.0,196.0,204.0,2969.0,297.0,6.0
38191,2023-05-11 07:00:00,64.3,0.0,787.0,131.0,653.0,2712.0,293.0,6.0
38192,2023-05-11 08:00:00,51.11,0.0,637.0,232.0,1061.0,2449.0,294.0,6.0
38193,2023-05-11 09:00:00,52.45,0.0,679.0,219.0,1349.0,2309.0,294.0,6.0
38194,2023-05-11 10:00:00,45.08,0.0,605.0,236.0,1526.0,2373.0,296.0,6.0
38195,2023-05-11 11:00:00,44.35,0.0,602.0,239.0,1602.0,2358.0,293.0,6.0
38196,2023-05-11 12:00:00,41.23,0.0,549.0,229.0,1617.0,2317.0,292.0,6.0
38197,2023-05-11 13:00:00,31.62,0.0,404.0,228.0,1583.0,2328.0,288.0,6.0
38198,2023-05-11 14:00:00,32.03,0.0,404.0,226.0,1497.0,2353.0,288.0,6.0
38199,2023-05-11 15:00:00,32.43,0.0,406.0,236.0,1306.0,2501.0,284.0,6.0
38200,2023-05-11 16:00:00,39.92,0.0,504.0,250.0,1015.0,2696.0,287.0,6.0
38201,2023-05-11 17:00:00,52.21,0.0,614.0,210.0,596.0,2701.0,290.0,6.0
38202,2023-05-11 18:00:00,74.77,0.0,835.0,123.0,178.0,2753.0,283.0,6.0
38203,2023-05-11 19:00:00,62.22,0.0,855.0,955.0,11.0,3029.0,284.0,6.0
38204,2023-05-11 20:00:00,62.57,0.0,860.0,743.0,0.0,3251.0,281.0,6.0
38205,2023-05-11 21:00:00,65.04,0.0,867.0,595.0,0.0,3236.0,281.0,6.0
38206,2023-05-11 22:00:00,67.96,0.0,846.0,324.0,0.0,3193.0,288.0,6.0
38207,2023-05-11 23:00:00,68.47,0.0,791.0,188.0,0.0,3056.0,284.0,6.0
