UTC time,coal,nat_gas,hydro,solar,wind,biomass,unknown
2023-09-06 00:00:00,0.0,1805.0,137.0,0.0,930.0,353.0,13.0
2023-09-06 01:00:00,0.0,1802.0,133.0,0.0,944.0,352.0,13.0
2023-09-06 02:00:00,0.0,1811.0,31.0,0.0,963.0,351.0,13.0
2023-09-06 03:00:00,0.0,1891.0,28.0,0.0,1109.0,352.0,12.0
2023-09-06 04:00:00,0.0,1932.0,90.0,0.0,1320.0,340.0,8.0
2023-09-06 05:00:00,0.0,1989.0,527.0,0.0,1340.0,343.0,7.0
2023-09-06 06:00:00,0.0,2099.0,739.0,64.0,1394.0,339.0,8.0
2023-09-06 07:00:00,0.0,2044.0,323.0,401.0,1304.0,339.0,7.0
2023-09-06 08:00:00,0.0,2157.0,245.0,790.0,1091.0,339.0,7.0
2023-09-06 09:00:00,0.0,1874.0,228.0,1062.0,990.0,334.0,8.0
2023-09-06 10:00:00,0.0,1901.0,38.0,1128.0,1112.0,338.0,7.0
2023-09-06 11:00:00,0.0,1713.0,23.0,1284.0,1256.0,338.0,7.0
2023-09-06 12:00:00,0.0,1748.0,24.0,1360.0,1038.0,329.0,8.0
2023-09-06 13:00:00,0.0,1985.0,24.0,1347.0,731.0,319.0,7.0
2023-09-06 14:00:00,0.0,2150.0,95.0,1126.0,583.0,318.0,8.0
2023-09-06 15:00:00,0.0,2120.0,92.0,798.0,618.0,319.0,7.0
2023-09-06 16:00:00,0.0,2167.0,381.0,426.0,701.0,319.0,7.0
2023-09-06 17:00:00,0.0,2177.0,1099.0,183.0,670.0,311.0,7.0
2023-09-06 18:00:00,0.0,2151.0,1862.0,35.0,651.0,310.0,7.0
2023-09-06 19:00:00,0.0,2140.0,1646.0,0.0,652.0,323.0,7.0
2023-09-06 20:00:00,0.0,2218.0,805.0,0.0,520.0,331.0,7.0
2023-09-06 21:00:00,0.0,2149.0,434.0,0.0,452.0,331.0,7.0
2023-09-06 22:00:00,0.0,2144.0,654.0,0.0,481.0,336.0,7.0
2023-09-06 23:00:00,0.0,2118.0,351.0,0.0,563.0,343.0,9.0
