,UTC time,creation_time (UTC),version,carbon_intensity,coal,nat_gas,nuclear,oil,hydro,solar,wind,other
0,2023-08-26 00:00:00,2023-08-28 00:48:23,3.0,380.4,357.0,2970.0,0.0,0.0,5.0,1665.0,88.0,345.0
1,2023-08-26 01:00:00,2023-08-28 00:48:23,3.0,415.01,449.0,3507.0,0.0,0.0,8.0,1401.0,38.0,323.0
2,2023-08-26 02:00:00,2023-08-28 00:48:23,3.0,478.85,384.0,3828.0,0.0,0.0,79.0,447.0,25.0,307.0
3,2023-08-26 03:00:00,2023-08-28 00:48:23,3.0,509.83,345.0,3886.0,0.0,0.0,144.0,66.0,7.0,390.0
4,2023-08-26 04:00:00,2023-08-28 00:48:23,3.0,518.76,346.0,3705.0,0.0,0.0,79.0,66.0,0.0,401.0
5,2023-08-26 05:00:00,2023-08-28 00:48:23,3.0,523.58,299.0,3571.0,0.0,0.0,14.0,41.0,2.0,334.0
6,2023-08-26 06:00:00,2023-08-28 00:48:23,3.0,505.59,231.0,3498.0,0.0,0.0,141.0,67.0,0.0,415.0
7,2023-08-26 07:00:00,2023-08-28 00:48:23,3.0,514.37,226.0,3219.0,0.0,0.0,79.0,64.0,0.0,421.0
8,2023-08-26 08:00:00,2023-08-28 00:48:23,3.0,525.85,225.0,3135.0,0.0,0.0,9.0,21.0,4.0,361.0
9,2023-08-26 09:00:00,2023-08-28 00:48:23,3.0,531.93,226.0,2726.0,0.0,0.0,5.0,18.0,1.0,363.0
10,2023-08-26 10:00:00,2023-08-28 00:48:23,3.0,532.55,226.0,2724.0,0.0,0.0,5.0,17.0,0.0,369.0
11,2023-08-26 11:00:00,2023-08-28 00:48:23,3.0,536.33,226.0,2480.0,0.0,0.0,5.0,17.0,0.0,377.0
12,2023-08-26 12:00:00,2023-08-28 00:48:23,3.0,536.63,225.0,2468.0,0.0,0.0,5.0,18.0,0.0,384.0
13,2023-08-26 13:00:00,2023-08-28 00:48:23,3.0,538.33,225.0,2379.0,0.0,0.0,5.0,18.0,0.0,390.0
14,2023-08-26 14:00:00,2023-08-28 00:48:23,3.0,523.42,252.0,2105.0,0.0,0.0,5.0,156.0,0.0,412.0
15,2023-08-26 15:00:00,2023-08-28 00:48:23,3.0,396.98,302.0,1339.0,0.0,0.0,5.0,1080.0,0.0,428.0
16,2023-08-26 16:00:00,2023-08-28 00:48:23,3.0,325.48,308.0,1242.0,0.0,0.0,5.0,1847.0,0.0,435.0
17,2023-08-26 17:00:00,2023-08-28 00:48:23,3.0,313.33,307.0,1240.0,0.0,0.0,5.0,2019.0,0.0,436.0
18,2023-08-26 18:00:00,2023-08-28 00:48:23,3.0,315.76,308.0,1348.0,0.0,0.0,5.0,2043.0,0.0,428.0
19,2023-08-26 19:00:00,2023-08-28 00:48:23,3.0,324.06,349.0,1468.0,0.0,0.0,5.0,2042.0,8.0,418.0
20,2023-08-26 20:00:00,2023-08-28 00:48:23,3.0,338.4,382.0,1859.0,0.0,0.0,5.0,2047.0,33.0,407.0
21,2023-08-26 21:00:00,2023-08-28 00:48:23,3.0,338.34,382.0,1919.0,0.0,0.0,5.0,2048.0,53.0,400.0
22,2023-08-26 22:00:00,2023-08-28 00:48:23,3.0,347.9,382.0,2293.0,0.0,0.0,5.0,2039.0,72.0,390.0
23,2023-08-26 23:00:00,2023-08-28 00:48:23,3.0,360.96,382.0,2824.0,0.0,0.0,5.0,2042.0,66.0,384.0
