UTC time,creation_time (UTC),version,coal,nat_gas,nuclear,oil,hydro,solar,wind,other
2023-08-22 00:00:00,2023-08-23 19:34:33,3.0,418.0,1260.0,0.0,0.0,7.0,1832.0,145.0,382.0
2023-08-22 01:00:00,2023-08-23 19:34:33,3.0,386.0,1355.0,0.0,0.0,13.0,1479.0,112.0,364.0
2023-08-22 02:00:00,2023-08-23 19:34:33,3.0,373.0,1711.0,0.0,0.0,145.0,494.0,72.0,369.0
2023-08-22 03:00:00,2023-08-23 19:34:33,3.0,370.0,2016.0,0.0,0.0,152.0,8.0,18.0,422.0
2023-08-22 04:00:00,2023-08-23 19:34:33,3.0,374.0,2284.0,0.0,0.0,147.0,0.0,4.0,451.0
2023-08-22 05:00:00,2023-08-23 19:34:33,3.0,367.0,2342.0,0.0,0.0,51.0,0.0,3.0,391.0
2023-08-22 06:00:00,2023-08-23 19:34:33,3.0,263.0,2649.0,0.0,0.0,144.0,0.0,22.0,423.0
2023-08-22 07:00:00,2023-08-23 19:34:33,3.0,189.0,2745.0,0.0,0.0,100.0,0.0,16.0,408.0
2023-08-22 08:00:00,2023-08-23 19:34:33,3.0,264.0,2691.0,0.0,0.0,11.0,0.0,21.0,405.0
2023-08-22 09:00:00,2023-08-23 19:34:33,3.0,310.0,2442.0,0.0,0.0,7.0,0.0,20.0,411.0
2023-08-22 10:00:00,2023-08-23 19:34:33,3.0,317.0,2396.0,0.0,0.0,7.0,0.0,7.0,410.0
2023-08-22 11:00:00,2023-08-23 19:34:33,3.0,319.0,1987.0,0.0,0.0,7.0,0.0,7.0,413.0
2023-08-22 12:00:00,2023-08-23 19:34:33,3.0,355.0,2162.0,0.0,0.0,7.0,0.0,3.0,411.0
2023-08-22 13:00:00,2023-08-23 19:34:33,3.0,332.0,2127.0,0.0,0.0,7.0,0.0,3.0,416.0
2023-08-22 14:00:00,2023-08-23 19:34:33,3.0,316.0,2321.0,0.0,0.0,6.0,58.0,1.0,419.0
2023-08-22 15:00:00,2023-08-23 19:34:33,3.0,304.0,1757.0,0.0,0.0,6.0,681.0,0.0,419.0
2023-08-22 16:00:00,2023-08-23 19:34:33,3.0,276.0,1213.0,0.0,0.0,6.0,1521.0,0.0,419.0
2023-08-22 17:00:00,2023-08-23 19:34:33,3.0,293.0,1357.0,0.0,0.0,6.0,1505.0,0.0,414.0
2023-08-22 18:00:00,2023-08-23 19:34:33,3.0,288.0,1140.0,0.0,0.0,6.0,1758.0,10.0,413.0
2023-08-22 19:00:00,2023-08-23 19:34:33,3.0,310.0,1385.0,0.0,0.0,6.0,1995.0,41.0,423.0
2023-08-22 20:00:00,2023-08-23 19:34:33,3.0,400.0,1414.0,0.0,0.0,6.0,2006.0,57.0,420.0
2023-08-22 21:00:00,2023-08-23 19:34:33,3.0,435.0,1389.0,0.0,0.0,6.0,2034.0,55.0,423.0
2023-08-22 22:00:00,2023-08-23 19:34:33,3.0,434.0,1493.0,0.0,0.0,6.0,1935.0,64.0,413.0
2023-08-22 23:00:00,2023-08-23 19:34:33,3.0,435.0,1680.0,0.0,0.0,6.0,1778.0,91.0,395.0
