,UTC time,creation_time (UTC),version,carbon_intensity,coal,nat_gas,nuclear,oil,hydro,solar,wind,other
0,2023-08-24 00:00:00,2023-08-25 21:23:44,3.0,279.06,431.0,2424.0,0.0,0.0,5.0,1910.0,25.0,384.0
1,2023-08-24 01:00:00,2023-08-25 21:23:44,3.0,303.81,430.0,2717.0,0.0,0.0,8.0,1532.0,19.0,360.0
2,2023-08-24 02:00:00,2023-08-25 21:23:44,3.0,369.56,413.0,3277.0,0.0,0.0,79.0,532.0,16.0,336.0
3,2023-08-24 03:00:00,2023-08-25 21:23:44,3.0,401.93,430.0,3500.0,0.0,0.0,143.0,83.0,50.0,397.0
4,2023-08-24 04:00:00,2023-08-25 21:23:44,3.0,411.86,436.0,3446.0,0.0,0.0,80.0,74.0,33.0,426.0
5,2023-08-24 05:00:00,2023-08-25 21:23:44,3.0,422.31,419.0,3159.0,0.0,0.0,14.0,50.0,11.0,363.0
6,2023-08-24 06:00:00,2023-08-25 21:23:44,3.0,404.3,329.0,3215.0,0.0,0.0,143.0,61.0,1.0,446.0
7,2023-08-24 07:00:00,2023-08-25 21:23:44,3.0,407.48,330.0,2939.0,0.0,0.0,144.0,56.0,1.0,452.0
8,2023-08-24 08:00:00,2023-08-25 21:23:44,3.0,421.76,315.0,2954.0,0.0,0.0,10.0,20.0,0.0,385.0
9,2023-08-24 09:00:00,2023-08-25 21:23:44,3.0,422.8,317.0,2946.0,0.0,0.0,5.0,16.0,0.0,378.0
10,2023-08-24 10:00:00,2023-08-25 21:23:44,3.0,422.16,316.0,2999.0,0.0,0.0,5.0,16.0,0.0,383.0
11,2023-08-24 11:00:00,2023-08-25 21:23:44,3.0,423.43,316.0,2893.0,0.0,0.0,5.0,20.0,0.0,388.0
12,2023-08-24 12:00:00,2023-08-25 21:23:44,3.0,423.42,320.0,2888.0,0.0,0.0,5.0,24.0,1.0,391.0
13,2023-08-24 13:00:00,2023-08-25 21:23:44,3.0,429.26,381.0,2900.0,0.0,0.0,5.0,22.0,0.0,394.0
14,2023-08-24 14:00:00,2023-08-25 21:23:44,3.0,423.97,429.0,2381.0,0.0,0.0,5.0,169.0,4.0,396.0
15,2023-08-24 15:00:00,2023-08-25 21:23:44,3.0,335.02,438.0,1861.0,0.0,0.0,5.0,1027.0,8.0,405.0
16,2023-08-24 16:00:00,2023-08-25 21:23:44,3.0,274.57,439.0,1573.0,0.0,0.0,5.0,1766.0,7.0,416.0
17,2023-08-24 17:00:00,2023-08-25 21:23:44,3.0,259.83,436.0,1534.0,0.0,0.0,5.0,1984.0,15.0,424.0
18,2023-08-24 18:00:00,2023-08-25 21:23:44,3.0,264.02,434.0,1748.0,0.0,0.0,5.0,1981.0,15.0,411.0
19,2023-08-24 19:00:00,2023-08-25 21:23:44,3.0,282.68,436.0,1901.0,0.0,0.0,5.0,1723.0,7.0,398.0
20,2023-08-24 20:00:00,2023-08-25 21:23:44,3.0,294.23,438.0,1941.0,0.0,0.0,5.0,1528.0,39.0,397.0
21,2023-08-24 21:00:00,2023-08-25 21:23:44,3.0,286.54,471.0,2270.0,0.0,0.0,5.0,1788.0,32.0,383.0
22,2023-08-24 22:00:00,2023-08-25 21:23:44,3.0,279.5,476.0,2323.0,0.0,0.0,5.0,1940.0,6.0,360.0
23,2023-08-24 23:00:00,2023-08-25 21:23:44,3.0,298.45,477.0,2582.0,0.0,0.0,5.0,1676.0,1.0,351.0
