Unnamed: 0,UTC time,carbon_intensity,coal,nat_gas,nuclear,hydro,solar,wind,biomass
41160,2023-09-12 00:00:00,279.47,3649.0,4556.0,5492.0,4851.0,0.0,800.0,174.0
41161,2023-09-12 01:00:00,280.8,3625.0,4585.0,5492.0,4874.0,0.0,656.0,176.0
41162,2023-09-12 02:00:00,280.28,3553.0,4590.0,5491.0,4966.0,0.0,466.0,177.0
41163,2023-09-12 03:00:00,273.89,3495.0,4496.0,5492.0,5400.0,0.0,323.0,174.0
41164,2023-09-12 04:00:00,270.18,3598.0,4484.0,5493.0,5902.0,145.0,205.0,175.0
41165,2023-09-12 05:00:00,256.8,3284.0,4457.0,5486.0,5702.0,850.0,137.0,177.0
41166,2023-09-12 06:00:00,238.95,3086.0,4426.0,5238.0,6265.0,1779.0,98.0,172.0
41167,2023-09-12 07:00:00,230.68,3063.0,4363.0,5243.0,6103.0,2539.0,260.0,180.0
41168,2023-09-12 08:00:00,225.19,3015.0,4340.0,5398.0,5899.0,3017.0,290.0,176.0
41169,2023-09-12 09:00:00,223.75,3039.0,4308.0,5370.0,5948.0,3268.0,239.0,180.0
41170,2023-09-12 10:00:00,218.07,2940.0,4282.0,5391.0,5944.0,3336.0,456.0,174.0
41171,2023-09-12 11:00:00,190.15,2148.0,4219.0,5432.0,6248.0,3217.0,852.0,184.0
41172,2023-09-12 12:00:00,192.76,2248.0,4197.0,5448.0,6198.0,2812.0,1200.0,183.0
41173,2023-09-12 13:00:00,203.69,2705.0,4202.0,5468.0,5991.0,2250.0,2041.0,181.0
41174,2023-09-12 14:00:00,221.29,3382.0,4213.0,5457.0,5908.0,1391.0,2880.0,180.0
41175,2023-09-12 15:00:00,227.14,3490.0,4262.0,5471.0,5952.0,495.0,3302.0,187.0
41176,2023-09-12 16:00:00,228.73,3528.0,4300.0,5472.0,6110.0,41.0,3515.0,192.0
41177,2023-09-12 17:00:00,224.57,3528.0,4468.0,5472.0,6688.0,0.0,3667.0,193.0
41178,2023-09-12 18:00:00,225.78,3396.0,4639.0,5474.0,6602.0,0.0,3455.0,194.0
41179,2023-09-12 19:00:00,234.46,3332.0,4630.0,5476.0,5759.0,0.0,3146.0,208.0
41180,2023-09-12 20:00:00,242.45,3395.0,4619.0,5474.0,5665.0,0.0,2604.0,202.0
41181,2023-09-12 21:00:00,250.42,3417.0,4549.0,5476.0,5261.0,0.0,2236.0,195.0
41182,2023-09-12 22:00:00,257.48,3302.0,4603.0,5476.0,4846.0,0.0,1812.0,198.0
41183,2023-09-12 23:00:00,261.42,3309.0,4367.0,5476.0,4692.0,0.0,1439.0,204.0
