Unnamed: 0,UTC time,creation_time (UTC),version,carbon_intensity,coal,nat_gas,oil,solar,wind,biomass
35568,2023-01-22 00:00:00,2024-07-17 00:00:00,3.1,318.49,960.0,372.0,67.0,0.0,1598.0,860.0
35569,2023-01-22 01:00:00,2024-07-17 00:00:00,3.1,310.87,880.0,367.0,66.0,0.0,1563.0,834.0
35570,2023-01-22 02:00:00,2024-07-17 00:00:00,3.1,292.13,754.0,358.0,63.0,0.0,1546.0,914.0
35571,2023-01-22 03:00:00,2024-07-17 00:00:00,3.1,297.5,758.0,365.0,66.0,0.0,1494.0,912.0
35572,2023-01-22 04:00:00,2024-07-17 00:00:00,3.1,311.08,826.0,360.0,64.0,0.0,1443.0,906.0
35573,2023-01-22 05:00:00,2024-07-17 00:00:00,3.1,311.72,804.0,382.0,66.0,0.0,1408.0,926.0
35574,2023-01-22 06:00:00,2024-07-17 00:00:00,3.1,316.87,815.0,415.0,66.0,0.0,1381.0,938.0
35575,2023-01-22 07:00:00,2024-07-17 00:00:00,3.1,339.08,956.0,471.0,67.0,3.0,1360.0,959.0
35576,2023-01-22 08:00:00,2024-07-17 00:00:00,3.1,354.15,1113.0,569.0,77.0,43.0,1380.0,1061.0
35577,2023-01-22 09:00:00,2024-07-17 00:00:00,3.1,365.78,1216.0,658.0,84.0,110.0,1359.0,1035.0
35578,2023-01-22 10:00:00,2024-07-17 00:00:00,3.1,383.9,1351.0,735.0,92.0,163.0,1272.0,1053.0
35579,2023-01-22 11:00:00,2024-07-17 00:00:00,3.1,381.48,1301.0,776.0,95.0,177.0,1215.0,1126.0
35580,2023-01-22 12:00:00,2024-07-17 00:00:00,3.1,372.3,1161.0,733.0,90.0,158.0,1182.0,1070.0
35581,2023-01-22 13:00:00,2024-07-17 00:00:00,3.1,366.87,1083.0,667.0,88.0,104.0,1185.0,1042.0
35582,2023-01-22 14:00:00,2024-07-17 00:00:00,3.1,375.07,1102.0,679.0,88.0,43.0,1173.0,1043.0
35583,2023-01-22 15:00:00,2024-07-17 00:00:00,3.1,388.58,1151.0,702.0,90.0,4.0,1121.0,1051.0
35584,2023-01-22 16:00:00,2024-07-17 00:00:00,3.1,407.66,1290.0,757.0,92.0,0.0,1072.0,1077.0
35585,2023-01-22 17:00:00,2024-07-17 00:00:00,3.1,413.09,1288.0,750.0,91.0,0.0,1021.0,1053.0
35586,2023-01-22 18:00:00,2024-07-17 00:00:00,3.1,419.7,1297.0,742.0,90.0,0.0,965.0,1042.0
35587,2023-01-22 19:00:00,2024-07-17 00:00:00,3.1,427.68,1306.0,720.0,90.0,0.0,891.0,1042.0
35588,2023-01-22 20:00:00,2024-07-17 00:00:00,3.1,419.14,1193.0,672.0,89.0,0.0,854.0,1046.0
35589,2023-01-22 21:00:00,2024-07-17 00:00:00,3.1,408.31,1106.0,639.0,87.0,0.0,860.0,1048.0
35590,2023-01-22 22:00:00,2024-07-17 00:00:00,3.1,408.84,1010.0,588.0,85.0,0.0,755.0,1024.0
35591,2023-01-22 23:00:00,2024-07-17 00:00:00,3.1,426.27,975.0,615.0,84.0,0.0,573.0,1039.0
