Unnamed: 0,UTC time,creation_time (UTC),version,carbon_intensity,coal,nat_gas,oil,hydro,solar,wind,biomass
39888,2023-07-21 00:00:00,2024-07-17 00:00:00,3.1,660.99,8882.0,1168.0,248.0,114.0,0.0,1564.0,280.0
39889,2023-07-21 01:00:00,2024-07-17 00:00:00,3.1,655.3,8773.0,1163.0,249.0,114.0,0.0,1647.0,278.0
39890,2023-07-21 02:00:00,2024-07-17 00:00:00,3.1,660.1,8953.0,1162.0,250.0,111.0,11.0,1593.0,279.0
39891,2023-07-21 03:00:00,2024-07-17 00:00:00,3.1,657.92,8984.0,1172.0,251.0,122.0,267.0,1419.0,230.0
39892,2023-07-21 04:00:00,2024-07-17 00:00:00,3.1,655.97,10400.0,1518.0,250.0,125.0,1075.0,964.0,223.0
39893,2023-07-21 05:00:00,2024-07-17 00:00:00,3.1,620.65,11073.0,1557.0,248.0,125.0,2665.0,518.0,222.0
39894,2023-07-21 06:00:00,2024-07-17 00:00:00,3.1,557.89,10845.0,1532.0,247.0,124.0,4624.0,459.0,221.0
39895,2023-07-21 07:00:00,2024-07-17 00:00:00,3.1,511.25,10508.0,1543.0,245.0,123.0,5979.0,671.0,221.0
39896,2023-07-21 08:00:00,2024-07-17 00:00:00,3.1,473.45,9387.0,1308.0,249.0,112.0,6583.0,852.0,221.0
39897,2023-07-21 09:00:00,2024-07-17 00:00:00,3.1,472.75,9688.0,1370.0,250.0,110.0,6816.0,895.0,222.0
39898,2023-07-21 10:00:00,2024-07-17 00:00:00,3.1,474.76,9774.0,1372.0,248.0,110.0,6801.0,888.0,223.0
39899,2023-07-21 11:00:00,2024-07-17 00:00:00,3.1,486.82,9932.0,1359.0,249.0,111.0,6440.0,842.0,221.0
39900,2023-07-21 12:00:00,2024-07-17 00:00:00,3.1,493.57,9495.0,1357.0,249.0,111.0,5956.0,728.0,222.0
39901,2023-07-21 13:00:00,2024-07-17 00:00:00,3.1,537.26,10001.0,1391.0,250.0,111.0,4844.0,533.0,222.0
39902,2023-07-21 14:00:00,2024-07-17 00:00:00,3.1,587.9,10534.0,1408.0,249.0,120.0,3616.0,370.0,219.0
39903,2023-07-21 15:00:00,2024-07-17 00:00:00,3.1,636.58,11436.0,1536.0,249.0,161.0,2584.0,253.0,222.0
39904,2023-07-21 16:00:00,2024-07-17 00:00:00,3.1,687.28,11897.0,1549.0,246.0,173.0,1449.0,174.0,221.0
39905,2023-07-21 17:00:00,2024-07-17 00:00:00,3.1,727.31,12435.0,1605.0,248.0,176.0,610.0,142.0,223.0
39906,2023-07-21 18:00:00,2024-07-17 00:00:00,3.1,738.01,12399.0,1598.0,251.0,171.0,215.0,294.0,223.0
39907,2023-07-21 19:00:00,2024-07-17 00:00:00,3.1,732.8,11949.0,1602.0,252.0,165.0,14.0,506.0,279.0
39908,2023-07-21 20:00:00,2024-07-17 00:00:00,3.1,713.57,10726.0,1435.0,254.0,172.0,0.0,772.0,297.0
39909,2023-07-21 21:00:00,2024-07-17 00:00:00,3.1,704.99,9523.0,1387.0,254.0,136.0,0.0,793.0,295.0
39910,2023-07-21 22:00:00,2024-07-17 00:00:00,3.1,694.01,9083.0,1390.0,250.0,115.0,0.0,950.0,267.0
39911,2023-07-21 23:00:00,2024-07-17 00:00:00,3.1,679.15,8208.0,1333.0,251.0,112.0,0.0,1060.0,256.0
