Unnamed: 0,UTC time,creation_time (UTC),version,carbon_intensity,coal,nat_gas,oil,hydro,solar,wind,biomass
35472,2023-01-18 00:00:00,2024-07-17 00:00:00,3.1,704.99,12588.0,1672.0,317.0,216.0,0.0,1162.0,247.0
35473,2023-01-18 01:00:00,2024-07-17 00:00:00,3.1,702.18,12335.0,1602.0,315.0,205.0,0.0,1213.0,253.0
35474,2023-01-18 02:00:00,2024-07-17 00:00:00,3.1,687.01,12173.0,1575.0,309.0,203.0,0.0,1552.0,248.0
35475,2023-01-18 03:00:00,2024-07-17 00:00:00,3.1,688.24,12493.0,1600.0,307.0,203.0,0.0,1597.0,220.0
35476,2023-01-18 04:00:00,2024-07-17 00:00:00,3.1,689.83,12643.0,1603.0,308.0,203.0,0.0,1604.0,194.0
35477,2023-01-18 05:00:00,2024-07-17 00:00:00,3.1,701.76,14264.0,1982.0,310.0,202.0,0.0,1489.0,181.0
35478,2023-01-18 06:00:00,2024-07-17 00:00:00,3.1,718.38,15718.0,2056.0,310.0,204.0,12.0,1227.0,182.0
35479,2023-01-18 07:00:00,2024-07-17 00:00:00,3.1,722.45,16306.0,2050.0,313.0,295.0,141.0,983.0,184.0
35480,2023-01-18 08:00:00,2024-07-17 00:00:00,3.1,719.36,16379.0,2041.0,314.0,320.0,388.0,824.0,185.0
35481,2023-01-18 09:00:00,2024-07-17 00:00:00,3.1,713.27,16387.0,2075.0,315.0,269.0,558.0,880.0,185.0
35482,2023-01-18 10:00:00,2024-07-17 00:00:00,3.1,704.29,15741.0,2009.0,315.0,264.0,742.0,891.0,184.0
35483,2023-01-18 11:00:00,2024-07-17 00:00:00,3.1,708.85,16236.0,1978.0,314.0,246.0,721.0,885.0,185.0
35484,2023-01-18 12:00:00,2024-07-17 00:00:00,3.1,711.62,16428.0,1973.0,313.0,245.0,519.0,1026.0,188.0
35485,2023-01-18 13:00:00,2024-07-17 00:00:00,3.1,708.31,16067.0,2010.0,313.0,261.0,375.0,1157.0,216.0
35486,2023-01-18 14:00:00,2024-07-17 00:00:00,3.1,705.86,15906.0,2035.0,317.0,312.0,199.0,1287.0,252.0
35487,2023-01-18 15:00:00,2024-07-17 00:00:00,3.1,703.37,16184.0,2039.0,317.0,322.0,27.0,1554.0,260.0
35488,2023-01-18 16:00:00,2024-07-17 00:00:00,3.1,701.01,16102.0,2050.0,317.0,325.0,0.0,1630.0,260.0
35489,2023-01-18 17:00:00,2024-07-17 00:00:00,3.1,709.48,16285.0,2075.0,317.0,332.0,0.0,1392.0,262.0
35490,2023-01-18 18:00:00,2024-07-17 00:00:00,3.1,714.88,15857.0,2068.0,316.0,332.0,0.0,1176.0,256.0
35491,2023-01-18 19:00:00,2024-07-17 00:00:00,3.1,716.18,15258.0,2053.0,313.0,326.0,0.0,1060.0,259.0
35492,2023-01-18 20:00:00,2024-07-17 00:00:00,3.1,718.43,14706.0,2006.0,311.0,257.0,0.0,1004.0,257.0
35493,2023-01-18 21:00:00,2024-07-17 00:00:00,3.1,714.3,14242.0,2037.0,313.0,213.0,0.0,1081.0,250.0
35494,2023-01-18 22:00:00,2024-07-17 00:00:00,3.1,707.11,13656.0,2026.0,313.0,209.0,0.0,1180.0,251.0
35495,2023-01-18 23:00:00,2024-07-17 00:00:00,3.1,707.11,12912.0,1751.0,310.0,212.0,0.0,1141.0,253.0
