Unnamed: 0,UTC time,creation_time (UTC),version,carbon_intensity,coal,nat_gas,oil,hydro,solar,wind,biomass
36048,2023-02-11 00:00:00,2024-07-17 00:00:00,3.1,479.85,9414.0,1395.0,305.0,258.0,0.0,6617.0,193.0
36049,2023-02-11 01:00:00,2024-07-17 00:00:00,3.1,478.27,9551.0,1380.0,306.0,248.0,0.0,6788.0,194.0
36050,2023-02-11 02:00:00,2024-07-17 00:00:00,3.1,472.23,9620.0,1404.0,306.0,246.0,0.0,7084.0,195.0
36051,2023-02-11 03:00:00,2024-07-17 00:00:00,3.1,470.83,9436.0,1387.0,306.0,246.0,0.0,7001.0,195.0
36052,2023-02-11 04:00:00,2024-07-17 00:00:00,3.1,473.86,9673.0,1413.0,307.0,246.0,0.0,7058.0,195.0
36053,2023-02-11 05:00:00,2024-07-17 00:00:00,3.1,474.24,9952.0,1460.0,309.0,238.0,1.0,7260.0,195.0
36054,2023-02-11 06:00:00,2024-07-17 00:00:00,3.1,460.03,9424.0,1432.0,307.0,236.0,126.0,7335.0,195.0
36055,2023-02-11 07:00:00,2024-07-17 00:00:00,3.1,460.54,9927.0,1410.0,303.0,225.0,439.0,7433.0,196.0
36056,2023-02-11 08:00:00,2024-07-17 00:00:00,3.1,460.06,10383.0,1432.0,304.0,225.0,895.0,7393.0,210.0
36057,2023-02-11 09:00:00,2024-07-17 00:00:00,3.1,449.77,10317.0,1418.0,306.0,247.0,1270.0,7446.0,235.0
36058,2023-02-11 10:00:00,2024-07-17 00:00:00,3.1,452.18,10478.0,1409.0,308.0,249.0,1173.0,7540.0,259.0
36059,2023-02-11 11:00:00,2024-07-17 00:00:00,3.1,456.98,10746.0,1477.0,308.0,242.0,1214.0,7501.0,260.0
36060,2023-02-11 12:00:00,2024-07-17 00:00:00,3.1,461.02,10646.0,1513.0,306.0,241.0,939.0,7482.0,261.0
36061,2023-02-11 13:00:00,2024-07-17 00:00:00,3.1,480.78,11086.0,1519.0,300.0,240.0,531.0,7278.0,260.0
36062,2023-02-11 14:00:00,2024-07-17 00:00:00,3.1,504.4,11344.0,1534.0,297.0,240.0,274.0,6665.0,261.0
36063,2023-02-11 15:00:00,2024-07-17 00:00:00,3.1,530.42,11879.0,1564.0,299.0,240.0,77.0,6113.0,261.0
36064,2023-02-11 16:00:00,2024-07-17 00:00:00,3.1,554.81,12748.0,1848.0,298.0,293.0,3.0,5604.0,261.0
36065,2023-02-11 17:00:00,2024-07-17 00:00:00,3.1,571.88,13048.0,1908.0,297.0,310.0,0.0,5073.0,261.0
36066,2023-02-11 18:00:00,2024-07-17 00:00:00,3.1,589.31,13184.0,1908.0,296.0,313.0,0.0,4495.0,260.0
36067,2023-02-11 19:00:00,2024-07-17 00:00:00,3.1,604.77,13047.0,1910.0,293.0,304.0,0.0,3921.0,260.0
36068,2023-02-11 20:00:00,2024-07-17 00:00:00,3.1,620.09,12718.0,1916.0,294.0,247.0,0.0,3370.0,262.0
36069,2023-02-11 21:00:00,2024-07-17 00:00:00,3.1,639.33,12879.0,1925.0,300.0,238.0,0.0,2847.0,262.0
36070,2023-02-11 22:00:00,2024-07-17 00:00:00,3.1,652.33,12198.0,1886.0,303.0,239.0,0.0,2306.0,259.0
36071,2023-02-11 23:00:00,2024-07-17 00:00:00,3.1,664.31,12023.0,1869.0,303.0,249.0,0.0,1943.0,260.0
