Unnamed: 0,UTC time,creation_time (UTC),version,carbon_intensity,coal,nat_gas,oil,hydro,solar,wind,biomass
40344,2023-08-09 00:00:00,2024-07-17 00:00:00,3.1,506.33,7929.0,1612.0,264.0,203.0,0.0,3027.0,256.0
40345,2023-08-09 01:00:00,2024-07-17 00:00:00,3.1,501.94,7794.0,1642.0,264.0,203.0,0.0,3065.0,257.0
40346,2023-08-09 02:00:00,2024-07-17 00:00:00,3.1,509.51,7768.0,1637.0,264.0,203.0,0.0,2855.0,259.0
40347,2023-08-09 03:00:00,2024-07-17 00:00:00,3.1,508.17,7837.0,1573.0,264.0,203.0,115.0,2816.0,269.0
40348,2023-08-09 04:00:00,2024-07-17 00:00:00,3.1,506.37,8776.0,1736.0,264.0,217.0,723.0,2665.0,271.0
40349,2023-08-09 05:00:00,2024-07-17 00:00:00,3.1,494.6,9385.0,1757.0,264.0,220.0,2096.0,1953.0,277.0
40350,2023-08-09 06:00:00,2024-07-17 00:00:00,3.1,462.62,9493.0,1704.0,262.0,225.0,3779.0,1447.0,278.0
40351,2023-08-09 07:00:00,2024-07-17 00:00:00,3.1,417.87,9005.0,1594.0,261.0,229.0,5259.0,1419.0,276.0
40352,2023-08-09 08:00:00,2024-07-17 00:00:00,3.1,390.72,8424.0,1593.0,253.0,222.0,5712.0,1678.0,275.0
40353,2023-08-09 09:00:00,2024-07-17 00:00:00,3.1,392.91,8675.0,1614.0,246.0,220.0,5633.0,1887.0,279.0
40354,2023-08-09 10:00:00,2024-07-17 00:00:00,3.1,403.88,9025.0,1718.0,246.0,220.0,5343.0,1973.0,279.0
40355,2023-08-09 11:00:00,2024-07-17 00:00:00,3.1,416.5,9403.0,1690.0,246.0,220.0,5018.0,2045.0,277.0
40356,2023-08-09 12:00:00,2024-07-17 00:00:00,3.1,426.87,9343.0,1615.0,247.0,199.0,4687.0,1902.0,276.0
40357,2023-08-09 13:00:00,2024-07-17 00:00:00,3.1,446.89,9614.0,1617.0,247.0,187.0,4298.0,1675.0,275.0
40358,2023-08-09 14:00:00,2024-07-17 00:00:00,3.1,477.12,10038.0,1663.0,248.0,196.0,3538.0,1523.0,284.0
40359,2023-08-09 15:00:00,2024-07-17 00:00:00,3.1,525.43,10554.0,1763.0,247.0,202.0,2368.0,1264.0,300.0
40360,2023-08-09 16:00:00,2024-07-17 00:00:00,3.1,567.26,10612.0,1773.0,247.0,205.0,1210.0,1204.0,300.0
40361,2023-08-09 17:00:00,2024-07-17 00:00:00,3.1,607.94,10967.0,1769.0,246.0,222.0,409.0,1037.0,301.0
40362,2023-08-09 18:00:00,2024-07-17 00:00:00,3.1,634.32,11439.0,1762.0,248.0,225.0,64.0,852.0,302.0
40363,2023-08-09 19:00:00,2024-07-17 00:00:00,3.1,630.57,10829.0,1782.0,254.0,210.0,0.0,883.0,303.0
40364,2023-08-09 20:00:00,2024-07-17 00:00:00,3.1,621.03,10241.0,1721.0,254.0,204.0,0.0,1004.0,300.0
40365,2023-08-09 21:00:00,2024-07-17 00:00:00,3.1,616.53,9844.0,1480.0,252.0,202.0,0.0,1137.0,274.0
40366,2023-08-09 22:00:00,2024-07-17 00:00:00,3.1,610.52,9126.0,1397.0,251.0,217.0,0.0,1124.0,259.0
40367,2023-08-09 23:00:00,2024-07-17 00:00:00,3.1,608.8,8813.0,1331.0,251.0,219.0,0.0,1106.0,258.0
