Unnamed: 0,UTC time,carbon_intensity,coal,nat_gas,oil,hydro,solar,wind,biomass,geothermal,unknown
40776,2023-08-27 00:00:00,321.02,200.0,466.0,0.0,553.0,0.0,54.0,73.0,0.0,24.0
40777,2023-08-27 01:00:00,318.28,199.0,465.0,0.0,553.0,0.0,64.0,73.0,0.0,24.0
40778,2023-08-27 02:00:00,318.47,198.0,464.0,0.0,553.0,0.0,61.0,73.0,0.0,24.0
40779,2023-08-27 03:00:00,320.34,197.0,464.0,0.0,542.0,1.0,61.0,72.0,0.0,24.0
40780,2023-08-27 04:00:00,327.32,198.0,465.0,0.0,508.0,4.0,65.0,73.0,0.0,26.0
40781,2023-08-27 05:00:00,323.04,199.0,464.0,0.0,493.0,15.0,89.0,73.0,0.0,26.0
40782,2023-08-27 06:00:00,332.81,199.0,465.0,0.0,448.0,30.0,78.0,73.0,0.0,26.0
40783,2023-08-27 07:00:00,330.85,199.0,466.0,0.0,467.0,47.0,52.0,73.0,0.0,25.0
40784,2023-08-27 08:00:00,340.4,198.0,465.0,0.0,415.0,59.0,50.0,72.0,0.0,24.0
40785,2023-08-27 09:00:00,333.18,197.0,463.0,0.0,388.0,68.0,93.0,72.0,0.0,23.0
40786,2023-08-27 10:00:00,322.41,198.0,461.0,0.0,371.0,69.0,154.0,72.0,0.0,23.0
40787,2023-08-27 11:00:00,316.56,197.0,458.0,0.0,363.0,68.0,185.0,72.0,0.0,23.0
40788,2023-08-27 12:00:00,315.55,199.0,456.0,0.0,359.0,63.0,200.0,72.0,0.0,23.0
40789,2023-08-27 13:00:00,300.6,197.0,455.0,0.0,417.0,53.0,220.0,72.0,0.0,23.0
40790,2023-08-27 14:00:00,278.79,196.0,454.0,0.0,570.0,40.0,200.0,72.0,0.0,23.0
40791,2023-08-27 15:00:00,283.07,196.0,456.0,0.0,602.0,23.0,163.0,72.0,0.0,24.0
40792,2023-08-27 16:00:00,281.21,197.0,440.0,0.0,646.0,8.0,136.0,72.0,0.0,25.0
40793,2023-08-27 17:00:00,286.89,198.0,439.0,0.0,658.0,1.0,102.0,72.0,0.0,26.0
40794,2023-08-27 18:00:00,290.84,198.0,460.0,0.0,680.0,0.0,77.0,73.0,0.0,27.0
40795,2023-08-27 19:00:00,292.6,198.0,463.0,0.0,667.0,0.0,82.0,73.0,0.0,27.0
40796,2023-08-27 20:00:00,281.07,199.0,464.0,0.0,694.0,0.0,122.0,73.0,0.0,26.0
40797,2023-08-27 21:00:00,281.53,200.0,465.0,0.0,662.0,0.0,151.0,73.0,0.0,25.0
40798,2023-08-27 22:00:00,290.11,200.0,465.0,0.0,569.0,0.0,191.0,74.0,0.0,25.0
40799,2023-08-27 23:00:00,279.59,201.0,467.0,0.0,493.0,0.0,325.0,74.0,0.0,24.0
