UTC time,coal,nat_gas,nuclear,hydro,solar,wind,other
2023-12-28 00:00:00,344.0,1822.0,4017.0,0.0,256.0,0.0,0.0
2023-12-28 01:00:00,453.0,2266.0,4019.0,0.0,79.0,0.0,0.0
2023-12-28 02:00:00,383.0,2471.0,4016.0,0.0,153.0,0.0,0.0
2023-12-28 03:00:00,407.0,2540.0,4019.0,0.0,144.0,0.0,0.0
2023-12-28 04:00:00,441.0,2549.0,4014.0,0.0,51.0,0.0,6.0
2023-12-28 05:00:00,436.0,2538.0,4017.0,0.0,36.0,1.0,9.0
2023-12-28 06:00:00,366.0,2531.0,4019.0,0.0,1.0,0.0,1.0
2023-12-28 07:00:00,424.0,2474.0,4021.0,0.0,0.0,0.0,0.0
2023-12-28 08:00:00,404.0,2212.0,4021.0,0.0,34.0,0.0,10.0
2023-12-28 09:00:00,392.0,2178.0,4017.0,0.0,1.0,0.0,9.0
2023-12-28 10:00:00,360.0,2165.0,4019.0,0.0,0.0,0.0,0.0
2023-12-28 11:00:00,380.0,2169.0,4016.0,0.0,0.0,0.0,0.0
2023-12-28 12:00:00,406.0,2181.0,4023.0,0.0,0.0,0.0,0.0
2023-12-28 13:00:00,485.0,2306.0,4020.0,0.0,0.0,0.0,0.0
2023-12-28 14:00:00,595.0,2486.0,4022.0,0.0,28.0,0.0,0.0
2023-12-28 15:00:00,681.0,2468.0,4020.0,0.0,0.0,0.0,0.0
2023-12-28 16:00:00,645.0,2175.0,4024.0,0.0,247.0,0.0,3.0
2023-12-28 17:00:00,437.0,1486.0,4017.0,0.0,651.0,0.0,10.0
2023-12-28 18:00:00,351.0,1345.0,4017.0,0.0,691.0,0.0,10.0
2023-12-28 19:00:00,327.0,1186.0,4020.0,0.0,624.0,0.0,0.0
2023-12-28 20:00:00,326.0,776.0,4013.0,0.0,619.0,0.0,0.0
2023-12-28 21:00:00,326.0,699.0,4018.0,0.0,581.0,0.0,0.0
2023-12-28 22:00:00,326.0,719.0,4015.0,0.0,533.0,0.0,0.0
2023-12-28 23:00:00,326.0,824.0,4021.0,0.0,514.0,0.0,1.0
