Unnamed: 0,UTC time,creation_time (UTC),version,carbon_intensity,coal,nat_gas,oil,hydro,solar,other
40344,2023-08-09 00:00:00,2024-07-17 00:00:00,3.1,423.9,1267.0,6531.0,384.0,17.0,167.0,73.0
40345,2023-08-09 01:00:00,2024-07-17 00:00:00,3.1,433.07,1265.0,6420.0,405.0,17.0,1.0,71.0
40346,2023-08-09 02:00:00,2024-07-17 00:00:00,3.1,438.12,1261.0,5794.0,418.0,18.0,0.0,74.0
40347,2023-08-09 03:00:00,2024-07-17 00:00:00,3.1,443.7,1268.0,5268.0,397.0,17.0,0.0,74.0
40348,2023-08-09 04:00:00,2024-07-17 00:00:00,3.1,447.83,1261.0,4934.0,274.0,17.0,0.0,74.0
40349,2023-08-09 05:00:00,2024-07-17 00:00:00,3.1,455.7,1307.0,4648.0,14.0,17.0,0.0,76.0
40350,2023-08-09 06:00:00,2024-07-17 00:00:00,3.1,446.93,1074.0,4389.0,0.0,18.0,0.0,74.0
40351,2023-08-09 07:00:00,2024-07-17 00:00:00,3.1,427.5,748.0,4384.0,0.0,17.0,0.0,72.0
40352,2023-08-09 08:00:00,2024-07-17 00:00:00,3.1,412.27,522.0,4405.0,0.0,17.0,0.0,72.0
40353,2023-08-09 09:00:00,2024-07-17 00:00:00,3.1,404.58,414.0,4380.0,0.0,18.0,0.0,68.0
40354,2023-08-09 10:00:00,2024-07-17 00:00:00,3.1,405.65,435.0,4432.0,0.0,18.0,0.0,66.0
40355,2023-08-09 11:00:00,2024-07-17 00:00:00,3.1,419.91,652.0,4505.0,0.0,17.0,0.0,66.0
40356,2023-08-09 12:00:00,2024-07-17 00:00:00,3.1,408.95,594.0,4430.0,0.0,18.0,96.0,64.0
40357,2023-08-09 13:00:00,2024-07-17 00:00:00,3.1,391.0,808.0,4304.0,11.0,17.0,544.0,62.0
40358,2023-08-09 14:00:00,2024-07-17 00:00:00,3.1,403.67,1277.0,4268.0,12.0,18.0,780.0,63.0
40359,2023-08-09 15:00:00,2024-07-17 00:00:00,3.1,401.98,1346.0,4929.0,0.0,18.0,815.0,61.0
40360,2023-08-09 16:00:00,2024-07-17 00:00:00,3.1,392.48,1216.0,5622.0,0.0,17.0,829.0,63.0
40361,2023-08-09 17:00:00,2024-07-17 00:00:00,3.1,375.04,925.0,6545.0,0.0,18.0,877.0,63.0
40362,2023-08-09 18:00:00,2024-07-17 00:00:00,3.1,381.5,1057.0,6441.0,0.0,17.0,870.0,64.0
40363,2023-08-09 19:00:00,2024-07-17 00:00:00,3.1,387.06,1104.0,6771.0,33.0,18.0,779.0,62.0
40364,2023-08-09 20:00:00,2024-07-17 00:00:00,3.1,383.7,1104.0,6880.0,105.0,17.0,857.0,62.0
40365,2023-08-09 21:00:00,2024-07-17 00:00:00,3.1,389.91,1098.0,6734.0,451.0,18.0,728.0,61.0
40366,2023-08-09 22:00:00,2024-07-17 00:00:00,3.1,387.69,1036.0,6455.0,524.0,36.0,720.0,64.0
40367,2023-08-09 23:00:00,2024-07-17 00:00:00,3.1,387.96,912.0,6405.0,517.0,17.0,615.0,62.0
