UTC time,coal,nat_gas,nuclear,hydro,solar,wind,other
2023-11-25 00:00:00,500.0,1616.0,4003.0,3.0,159.0,115.0,0.0
2023-11-25 01:00:00,594.0,2101.0,4002.0,5.0,133.0,75.0,9.0
2023-11-25 02:00:00,771.0,2210.0,4006.0,4.0,143.0,45.0,10.0
2023-11-25 03:00:00,783.0,2337.0,4007.0,0.0,142.0,56.0,10.0
2023-11-25 04:00:00,782.0,2562.0,4007.0,0.0,133.0,37.0,10.0
2023-11-25 05:00:00,814.0,2521.0,4012.0,0.0,77.0,21.0,10.0
2023-11-25 06:00:00,782.0,2403.0,4017.0,0.0,0.0,8.0,10.0
2023-11-25 07:00:00,782.0,2582.0,4018.0,0.0,0.0,2.0,10.0
2023-11-25 08:00:00,774.0,2520.0,4022.0,0.0,0.0,0.0,1.0
2023-11-25 09:00:00,781.0,2426.0,4019.0,0.0,0.0,0.0,0.0
2023-11-25 10:00:00,780.0,2379.0,4022.0,0.0,0.0,1.0,0.0
2023-11-25 11:00:00,717.0,2172.0,4016.0,0.0,0.0,0.0,0.0
2023-11-25 12:00:00,655.0,1925.0,4018.0,0.0,0.0,1.0,0.0
2023-11-25 13:00:00,703.0,1920.0,4024.0,0.0,0.0,0.0,0.0
2023-11-25 14:00:00,742.0,1950.0,4020.0,0.0,6.0,0.0,0.0
2023-11-25 15:00:00,760.0,2103.0,4021.0,0.0,48.0,0.0,0.0
2023-11-25 16:00:00,686.0,1791.0,4024.0,0.0,258.0,1.0,0.0
2023-11-25 17:00:00,521.0,864.0,4015.0,0.0,408.0,0.0,0.0
2023-11-25 18:00:00,372.0,718.0,4018.0,0.0,349.0,0.0,0.0
2023-11-25 19:00:00,350.0,747.0,4015.0,0.0,311.0,0.0,0.0
2023-11-25 20:00:00,350.0,772.0,4013.0,0.0,309.0,0.0,0.0
2023-11-25 21:00:00,350.0,734.0,4015.0,0.0,374.0,0.0,0.0
2023-11-25 22:00:00,350.0,714.0,4013.0,0.0,414.0,0.0,0.0
2023-11-25 23:00:00,350.0,998.0,4016.0,0.0,391.0,0.0,0.0
