Unnamed: 0,UTC time,carbon_intensity,coal,nat_gas,nuclear,oil,hydro,solar,wind,biomass,unknown
37368,2023-04-07 00:00:00,118.11,85.0,178.0,2129.0,45.0,378.0,0.0,1.0,89.0,175.0
37369,2023-04-07 01:00:00,117.91,85.0,177.0,2128.0,45.0,373.0,0.0,1.0,87.0,174.0
37370,2023-04-07 02:00:00,119.12,87.0,181.0,2120.0,45.0,383.0,0.0,1.0,90.0,175.0
37371,2023-04-07 03:00:00,118.62,89.0,176.0,2121.0,45.0,392.0,0.0,1.0,89.0,175.0
37372,2023-04-07 04:00:00,118.61,89.0,197.0,2121.0,47.0,521.0,1.0,1.0,88.0,181.0
37373,2023-04-07 05:00:00,113.64,89.0,185.0,2118.0,46.0,623.0,8.0,1.0,88.0,178.0
37374,2023-04-07 06:00:00,112.78,89.0,183.0,2121.0,45.0,618.0,23.0,1.0,87.0,177.0
37375,2023-04-07 07:00:00,113.86,89.0,190.0,2120.0,46.0,600.0,40.0,1.0,91.0,176.0
37376,2023-04-07 08:00:00,116.11,89.0,180.0,2121.0,45.0,454.0,58.0,1.0,89.0,176.0
37377,2023-04-07 09:00:00,115.97,89.0,178.0,2121.0,45.0,436.0,74.0,0.0,86.0,176.0
37378,2023-04-07 10:00:00,116.58,89.0,178.0,2121.0,46.0,418.0,74.0,0.0,89.0,175.0
37379,2023-04-07 11:00:00,116.01,89.0,174.0,2120.0,45.0,401.0,68.0,0.0,88.0,172.0
37380,2023-04-07 12:00:00,116.95,89.0,175.0,2120.0,45.0,404.0,61.0,0.0,83.0,177.0
37381,2023-04-07 13:00:00,116.64,89.0,172.0,2113.0,45.0,396.0,47.0,0.0,83.0,173.0
37382,2023-04-07 14:00:00,117.44,89.0,175.0,2111.0,45.0,404.0,30.0,0.0,84.0,174.0
37383,2023-04-07 15:00:00,114.72,88.0,175.0,2111.0,45.0,511.0,14.0,0.0,86.0,175.0
37384,2023-04-07 16:00:00,113.03,89.0,189.0,2098.0,45.0,674.0,3.0,0.0,85.0,177.0
37385,2023-04-07 17:00:00,112.24,89.0,197.0,2066.0,46.0,781.0,1.0,0.0,84.0,177.0
37386,2023-04-07 18:00:00,110.73,89.0,192.0,2064.0,45.0,802.0,0.0,0.0,84.0,175.0
37387,2023-04-07 19:00:00,110.81,87.0,186.0,2063.0,45.0,751.0,0.0,0.0,84.0,174.0
37388,2023-04-07 20:00:00,110.49,84.0,177.0,2063.0,45.0,702.0,0.0,0.0,86.0,174.0
37389,2023-04-07 21:00:00,115.36,84.0,179.0,2008.0,45.0,582.0,0.0,0.0,86.0,172.0
37390,2023-04-07 22:00:00,122.09,83.0,170.0,1926.0,45.0,398.0,0.0,0.0,85.0,169.0
37391,2023-04-07 23:00:00,124.19,82.0,161.0,1847.0,45.0,392.0,0.0,0.0,85.0,170.0
