UTC time,creation_time (UTC),version,coal,nat_gas,oil,hydro,solar,wind
2023-08-29 00:00:00,2023-09-02 20:46:35,3.0,769.0,75.0,46.0,360.0,60.0,177.0
2023-08-29 01:00:00,2023-09-02 20:46:35,3.0,772.0,77.0,47.0,362.0,8.0,124.0
2023-08-29 02:00:00,2023-09-02 20:46:35,3.0,775.0,81.0,49.0,362.0,3.0,121.0
2023-08-29 03:00:00,2023-09-02 20:46:35,3.0,773.0,74.0,51.0,358.0,0.0,130.0
2023-08-29 04:00:00,2023-09-02 20:46:35,3.0,774.0,70.0,54.0,357.0,0.0,107.0
2023-08-29 05:00:00,2023-09-02 20:46:35,3.0,774.0,76.0,57.0,357.0,0.0,105.0
2023-08-29 06:00:00,2023-09-02 20:46:35,3.0,774.0,75.0,57.0,359.0,0.0,160.0
2023-08-29 07:00:00,2023-09-02 20:46:35,3.0,773.0,65.0,58.0,357.0,0.0,199.0
2023-08-29 08:00:00,2023-09-02 20:46:35,3.0,776.0,69.0,58.0,358.0,0.0,197.0
2023-08-29 09:00:00,2023-09-02 20:46:35,3.0,775.0,66.0,57.0,354.0,0.0,147.0
2023-08-29 10:00:00,2023-09-02 20:46:35,3.0,775.0,47.0,58.0,361.0,0.0,76.0
2023-08-29 11:00:00,2023-09-02 20:46:35,3.0,773.0,40.0,57.0,362.0,0.0,52.0
2023-08-29 12:00:00,2023-09-02 20:46:35,3.0,772.0,38.0,58.0,357.0,0.0,46.0
2023-08-29 13:00:00,2023-09-02 20:46:35,3.0,775.0,40.0,56.0,360.0,1.0,66.0
2023-08-29 14:00:00,2023-09-02 20:46:35,3.0,775.0,34.0,60.0,355.0,28.0,105.0
2023-08-29 15:00:00,2023-09-02 20:46:35,3.0,772.0,17.0,59.0,359.0,74.0,125.0
2023-08-29 16:00:00,2023-09-02 20:46:35,3.0,773.0,17.0,58.0,360.0,90.0,95.0
2023-08-29 17:00:00,2023-09-02 20:46:35,3.0,773.0,16.0,58.0,356.0,92.0,162.0
2023-08-29 18:00:00,2023-09-02 20:46:35,3.0,774.0,17.0,56.0,357.0,91.0,246.0
2023-08-29 19:00:00,2023-09-02 20:46:35,3.0,764.0,17.0,53.0,363.0,88.0,239.0
2023-08-29 20:00:00,2023-09-02 20:46:35,3.0,764.0,28.0,48.0,365.0,89.0,211.0
2023-08-29 21:00:00,2023-09-02 20:46:35,3.0,762.0,27.0,43.0,358.0,90.0,239.0
2023-08-29 22:00:00,2023-09-02 20:46:35,3.0,759.0,23.0,43.0,361.0,87.0,223.0
2023-08-29 23:00:00,2023-09-02 20:46:35,3.0,759.0,19.0,43.0,361.0,88.0,214.0
