,UTC time,carbon_intensity,nat_gas,nuclear,oil,solar,other
0,2023-08-05 00:00:00,469.49,15241.0,2830.0,0.0,285.0,4785.0
1,2023-08-05 01:00:00,473.6,14814.0,2829.0,0.0,10.0,4714.0
2,2023-08-05 02:00:00,468.45,14033.0,2829.0,0.0,0.0,4271.0
3,2023-08-05 03:00:00,462.75,13379.0,2830.0,0.0,0.0,3840.0
4,2023-08-05 04:00:00,458.28,12350.0,2832.0,0.0,0.0,3608.0
5,2023-08-05 05:00:00,453.46,11154.0,2835.0,0.0,0.0,3423.0
6,2023-08-05 06:00:00,449.68,10150.0,2836.0,0.0,0.0,3324.0
7,2023-08-05 07:00:00,446.34,9444.0,2837.0,0.0,0.0,3232.0
8,2023-08-05 08:00:00,444.11,8912.0,2838.0,0.0,0.0,3194.0
9,2023-08-05 09:00:00,442.78,8667.0,2838.0,0.0,0.0,3162.0
10,2023-08-05 10:00:00,442.49,8589.0,2837.0,0.0,0.0,3158.0
11,2023-08-05 11:00:00,442.9,8710.0,2838.0,0.0,0.0,3161.0
12,2023-08-05 12:00:00,439.86,9041.0,2839.0,0.0,151.0,3156.0
13,2023-08-05 13:00:00,423.83,10170.0,2838.0,0.0,991.0,3155.0
14,2023-08-05 14:00:00,408.5,11144.0,2838.0,0.0,2019.0,3262.0
15,2023-08-05 15:00:00,406.25,12025.0,2836.0,0.0,2682.0,3676.0
16,2023-08-05 16:00:00,401.24,13003.0,2839.0,0.0,3330.0,3806.0
17,2023-08-05 17:00:00,400.6,13766.0,2839.0,0.0,3583.0,3830.0
18,2023-08-05 18:00:00,404.05,14109.0,2838.0,0.0,3516.0,3928.0
19,2023-08-05 19:00:00,406.82,14390.0,2838.0,0.0,3454.0,4002.0
20,2023-08-05 20:00:00,414.79,14554.0,2838.0,0.0,2971.0,4022.0
21,2023-08-05 21:00:00,429.53,14962.0,2836.0,0.0,2220.0,4189.0
22,2023-08-05 22:00:00,438.25,14983.0,2834.0,0.0,1615.0,4079.0
23,2023-08-05 23:00:00,449.9,14952.0,2835.0,0.0,911.0,4041.0
