UTC time,coal,nat_gas,oil,hydro,solar,wind,biomass,geothermal,unknown
2023-01-01 00:00:00,0.0,113.0,0.0,9147.0,0.0,3684.0,1360.0,0.0,88.0
2023-01-01 01:00:00,0.0,113.0,0.0,8953.0,0.0,3824.0,1360.0,0.0,88.0
2023-01-01 02:00:00,0.0,142.0,0.0,8866.0,0.0,3420.0,1360.0,0.0,88.0
2023-01-01 03:00:00,0.0,205.0,0.0,9098.0,0.0,2188.0,1368.0,0.0,88.0
2023-01-01 04:00:00,0.0,204.0,0.0,9166.0,0.0,1404.0,1376.0,0.0,88.0
2023-01-01 05:00:00,0.0,208.0,0.0,9356.0,0.0,1276.0,1376.0,0.0,88.0
2023-01-01 06:00:00,0.0,205.0,0.0,9874.0,8.0,828.0,1376.0,0.0,88.0
2023-01-01 07:00:00,0.0,208.0,0.0,10080.0,92.0,1088.0,1376.0,0.0,88.0
2023-01-01 08:00:00,0.0,222.0,0.0,10775.0,244.0,872.0,1376.0,0.0,88.0
2023-01-01 09:00:00,0.0,158.0,0.0,11099.0,464.0,1216.0,1376.0,0.0,88.0
2023-01-01 10:00:00,0.0,128.0,0.0,11573.0,640.0,908.0,1376.0,0.0,88.0
2023-01-01 11:00:00,0.0,126.0,0.0,11576.0,704.0,692.0,1376.0,0.0,88.0
2023-01-01 12:00:00,0.0,121.0,0.0,11464.0,640.0,364.0,1376.0,0.0,88.0
2023-01-01 13:00:00,0.0,116.0,0.0,11036.0,456.0,440.0,1376.0,0.0,88.0
2023-01-01 14:00:00,0.0,113.0,0.0,10453.0,208.0,624.0,1376.0,0.0,88.0
2023-01-01 15:00:00,0.0,108.0,0.0,10184.0,24.0,1136.0,1376.0,0.0,88.0
2023-01-01 16:00:00,0.0,107.0,0.0,10272.0,0.0,2240.0,1376.0,0.0,88.0
2023-01-01 17:00:00,0.0,107.0,0.0,10271.0,0.0,2140.0,1376.0,0.0,88.0
2023-01-01 18:00:00,0.0,105.0,0.0,10385.0,0.0,2584.0,1376.0,0.0,88.0
2023-01-01 19:00:00,0.0,108.0,0.0,9964.0,0.0,2784.0,1376.0,0.0,88.0
2023-01-01 20:00:00,0.0,108.0,0.0,9647.0,0.0,2828.0,1376.0,0.0,88.0
2023-01-01 21:00:00,0.0,112.0,0.0,9678.0,0.0,2304.0,1376.0,0.0,88.0
2023-01-01 22:00:00,0.0,109.0,0.0,9594.0,0.0,2408.0,1376.0,0.0,88.0
2023-01-01 23:00:00,0.0,109.0,0.0,9344.0,0.0,2556.0,1376.0,0.0,88.0
