Unnamed: 0,UTC time,creation_time (UTC),version,carbon_intensity,nat_gas,nuclear,oil,hydro,solar,wind,biomass,unknown
39672,2023-07-12 00:00:00,2024-07-17 00:00:00,3.1,149.69,1421.0,3796.0,0.0,1.0,0.0,2211.0,298.0,585.0
39673,2023-07-12 01:00:00,2024-07-17 00:00:00,3.1,145.51,1380.0,3794.0,0.0,1.0,0.0,2382.0,297.0,589.0
39674,2023-07-12 02:00:00,2024-07-17 00:00:00,3.1,145.16,1406.0,3797.0,0.0,2.0,0.0,2449.0,301.0,584.0
39675,2023-07-12 03:00:00,2024-07-17 00:00:00,3.1,145.39,1421.0,3801.0,0.0,2.0,0.0,2376.0,304.0,561.0
39676,2023-07-12 04:00:00,2024-07-17 00:00:00,3.1,141.56,1361.0,3802.0,0.0,2.0,118.0,2418.0,303.0,571.0
39677,2023-07-12 05:00:00,2024-07-17 00:00:00,3.1,152.4,1569.0,3806.0,0.0,3.0,570.0,2056.0,303.0,609.0
39678,2023-07-12 06:00:00,2024-07-17 00:00:00,3.1,153.79,1630.0,3816.0,0.0,4.0,1062.0,1853.0,295.0,643.0
39679,2023-07-12 07:00:00,2024-07-17 00:00:00,3.1,157.89,1832.0,3821.0,11.0,5.0,1610.0,1632.0,298.0,635.0
39680,2023-07-12 08:00:00,2024-07-17 00:00:00,3.1,130.06,1412.0,3821.0,0.0,5.0,2569.0,1635.0,295.0,574.0
39681,2023-07-12 09:00:00,2024-07-17 00:00:00,3.1,114.25,1228.0,3817.0,0.0,4.0,3556.0,1585.0,288.0,522.0
39682,2023-07-12 10:00:00,2024-07-17 00:00:00,3.1,102.64,1112.0,3815.0,0.0,4.0,4089.0,2068.0,287.0,509.0
39683,2023-07-12 11:00:00,2024-07-17 00:00:00,3.1,91.27,894.0,3815.0,0.0,3.0,4163.0,2617.0,290.0,507.0
39684,2023-07-12 12:00:00,2024-07-17 00:00:00,3.1,89.95,902.0,3813.0,0.0,2.0,3995.0,2926.0,296.0,501.0
39685,2023-07-12 13:00:00,2024-07-17 00:00:00,3.1,88.68,868.0,3816.0,0.0,2.0,3708.0,3060.0,293.0,495.0
39686,2023-07-12 14:00:00,2024-07-17 00:00:00,3.1,93.81,974.0,3818.0,0.0,2.0,3374.0,3167.0,295.0,517.0
39687,2023-07-12 15:00:00,2024-07-17 00:00:00,3.1,104.25,1188.0,3817.0,0.0,2.0,2817.0,3167.0,294.0,536.0
39688,2023-07-12 16:00:00,2024-07-17 00:00:00,3.1,115.66,1315.0,3817.0,0.0,2.0,2057.0,3235.0,292.0,606.0
39689,2023-07-12 17:00:00,2024-07-17 00:00:00,3.1,132.55,1569.0,3818.0,0.0,2.0,1235.0,3188.0,300.0,645.0
39690,2023-07-12 18:00:00,2024-07-17 00:00:00,3.1,155.56,1972.0,3818.0,0.0,2.0,530.0,3005.0,317.0,658.0
39691,2023-07-12 19:00:00,2024-07-17 00:00:00,3.1,168.07,2065.0,3822.0,0.0,2.0,77.0,2797.0,326.0,678.0
39692,2023-07-12 20:00:00,2024-07-17 00:00:00,3.1,173.33,2068.0,3831.0,0.0,2.0,0.0,2513.0,327.0,670.0
39693,2023-07-12 21:00:00,2024-07-17 00:00:00,3.1,170.46,1977.0,3836.0,0.0,2.0,0.0,2428.0,326.0,650.0
39694,2023-07-12 22:00:00,2024-07-17 00:00:00,3.1,188.45,1985.0,3838.0,0.0,4.0,0.0,1162.0,321.0,532.0
39695,2023-07-12 23:00:00,2024-07-17 00:00:00,3.1,183.23,1879.0,3837.0,0.0,5.0,0.0,1289.0,321.0,558.0
