UTC time,nat_gas,nuclear,oil,hydro,solar,wind,biomass,unknown
2023-03-30 00:00:00,887.0,3401.0,0.0,41.0,0.0,3946.0,336.0,571.0
2023-03-30 01:00:00,879.0,3400.0,0.0,40.0,0.0,3585.0,341.0,612.0
2023-03-30 02:00:00,874.0,3402.0,0.0,39.0,0.0,3605.0,340.0,589.0
2023-03-30 03:00:00,872.0,3403.0,0.0,40.0,0.0,3644.0,338.0,519.0
2023-03-30 04:00:00,850.0,3401.0,0.0,41.0,0.0,3780.0,335.0,513.0
2023-03-30 05:00:00,897.0,3391.0,0.0,40.0,20.0,3857.0,334.0,605.0
2023-03-30 06:00:00,978.0,3380.0,0.0,40.0,435.0,3748.0,320.0,629.0
2023-03-30 07:00:00,900.0,3384.0,4.0,40.0,1101.0,3899.0,325.0,709.0
2023-03-30 08:00:00,828.0,3384.0,1.0,41.0,1572.0,4119.0,332.0,673.0
2023-03-30 09:00:00,816.0,3405.0,0.0,41.0,2173.0,4090.0,326.0,672.0
2023-03-30 10:00:00,795.0,3410.0,0.0,41.0,2570.0,3931.0,333.0,679.0
2023-03-30 11:00:00,743.0,3407.0,0.0,40.0,2841.0,3652.0,335.0,582.0
2023-03-30 12:00:00,742.0,3406.0,0.0,41.0,3155.0,3681.0,332.0,573.0
2023-03-30 13:00:00,761.0,3405.0,0.0,41.0,2967.0,3575.0,319.0,548.0
2023-03-30 14:00:00,793.0,3405.0,0.0,40.0,2389.0,3754.0,331.0,535.0
2023-03-30 15:00:00,824.0,3406.0,0.0,40.0,1732.0,3561.0,328.0,555.0
2023-03-30 16:00:00,898.0,3405.0,0.0,40.0,834.0,3476.0,329.0,615.0
2023-03-30 17:00:00,945.0,3406.0,0.0,40.0,178.0,3364.0,326.0,680.0
2023-03-30 18:00:00,932.0,3408.0,0.0,40.0,1.0,3184.0,324.0,703.0
2023-03-30 19:00:00,937.0,3408.0,0.0,41.0,0.0,3100.0,324.0,703.0
2023-03-30 20:00:00,977.0,3410.0,0.0,42.0,0.0,2648.0,325.0,724.0
2023-03-30 21:00:00,986.0,3411.0,0.0,43.0,0.0,2506.0,321.0,785.0
2023-03-30 22:00:00,1098.0,3411.0,0.0,43.0,0.0,2373.0,324.0,697.0
2023-03-30 23:00:00,963.0,3410.0,0.0,42.0,0.0,3220.0,323.0,626.0
