Unnamed: 0,UTC time,creation_time (UTC),version,carbon_intensity,nat_gas,oil,hydro,solar,wind,other
39912,2023-07-22 00:00:00,2024-07-17 00:00:00,3.1,171.03,656.0,0.0,1292.0,417.0,30.0,72.0
39913,2023-07-22 01:00:00,2024-07-17 00:00:00,3.1,175.77,651.0,0.0,1254.0,389.0,64.0,90.0
39914,2023-07-22 02:00:00,2024-07-17 00:00:00,3.1,172.27,638.0,0.0,1368.0,277.0,85.0,93.0
39915,2023-07-22 03:00:00,2024-07-17 00:00:00,3.1,181.18,656.0,0.0,1434.0,68.0,89.0,91.0
39916,2023-07-22 04:00:00,2024-07-17 00:00:00,3.1,186.02,651.0,0.0,1419.0,0.0,96.0,95.0
39917,2023-07-22 05:00:00,2024-07-17 00:00:00,3.1,183.86,641.0,0.0,1188.0,0.0,153.0,39.0
39918,2023-07-22 06:00:00,2024-07-17 00:00:00,3.1,179.32,654.0,0.0,1235.0,0.0,182.0,37.0
39919,2023-07-22 07:00:00,2024-07-17 00:00:00,3.1,184.79,637.0,0.0,1131.0,0.0,179.0,36.0
39920,2023-07-22 08:00:00,2024-07-17 00:00:00,3.1,195.26,621.0,0.0,997.0,0.0,168.0,37.0
39921,2023-07-22 09:00:00,2024-07-17 00:00:00,3.1,197.5,594.0,0.0,942.0,0.0,163.0,40.0
39922,2023-07-22 10:00:00,2024-07-17 00:00:00,3.1,183.75,521.0,0.0,941.0,0.0,164.0,37.0
39923,2023-07-22 11:00:00,2024-07-17 00:00:00,3.1,197.5,514.0,0.0,803.0,0.0,175.0,43.0
39924,2023-07-22 12:00:00,2024-07-17 00:00:00,3.1,186.75,471.0,0.0,807.0,0.0,188.0,42.0
39925,2023-07-22 13:00:00,2024-07-17 00:00:00,3.1,194.94,511.0,0.0,790.0,9.0,199.0,44.0
39926,2023-07-22 14:00:00,2024-07-17 00:00:00,3.1,198.24,507.0,0.0,682.0,158.0,152.0,47.0
39927,2023-07-22 15:00:00,2024-07-17 00:00:00,3.1,177.11,476.0,0.0,657.0,359.0,144.0,44.0
39928,2023-07-22 16:00:00,2024-07-17 00:00:00,3.1,174.73,461.0,0.0,606.0,420.0,135.0,43.0
39929,2023-07-22 17:00:00,2024-07-17 00:00:00,3.1,181.06,508.0,0.0,627.0,436.0,114.0,39.0
39930,2023-07-22 18:00:00,2024-07-17 00:00:00,3.1,189.05,548.0,0.0,628.0,434.0,102.0,38.0
39931,2023-07-22 19:00:00,2024-07-17 00:00:00,3.1,194.08,568.0,0.0,635.0,434.0,77.0,37.0
39932,2023-07-22 20:00:00,2024-07-17 00:00:00,3.1,191.34,648.0,0.0,812.0,433.0,67.0,35.0
39933,2023-07-22 21:00:00,2024-07-17 00:00:00,3.1,184.51,658.0,0.0,936.0,426.0,63.0,38.0
39934,2023-07-22 22:00:00,2024-07-17 00:00:00,3.1,173.44,656.0,0.0,1079.0,412.0,67.0,33.0
39935,2023-07-22 23:00:00,2024-07-17 00:00:00,3.1,167.22,656.0,0.0,1205.0,387.0,81.0,39.0
