Unnamed: 0,UTC time,creation_time (UTC),version,carbon_intensity,nat_gas,oil,hydro,solar,wind,other
40512,2023-08-16 00:00:00,2024-07-17 00:00:00,3.1,111.01,682.0,0.0,1324.0,360.0,20.0,27.0
40513,2023-08-16 01:00:00,2024-07-17 00:00:00,3.1,133.15,682.0,0.0,1215.0,278.0,52.0,100.0
40514,2023-08-16 02:00:00,2024-07-17 00:00:00,3.1,137.28,684.0,0.0,1243.0,118.0,127.0,103.0
40515,2023-08-16 03:00:00,2024-07-17 00:00:00,3.1,135.38,687.0,0.0,1354.0,14.0,170.0,107.0
40516,2023-08-16 04:00:00,2024-07-17 00:00:00,3.1,152.67,695.0,0.0,1030.0,0.0,236.0,100.0
40517,2023-08-16 05:00:00,2024-07-17 00:00:00,3.1,153.0,695.0,0.0,881.0,0.0,193.0,32.0
40518,2023-08-16 06:00:00,2024-07-17 00:00:00,3.1,166.69,701.0,0.0,761.0,0.0,165.0,29.0
40519,2023-08-16 07:00:00,2024-07-17 00:00:00,3.1,190.82,679.0,0.0,543.0,0.0,161.0,33.0
40520,2023-08-16 08:00:00,2024-07-17 00:00:00,3.1,183.73,630.0,0.0,518.0,0.0,191.0,33.0
40521,2023-08-16 09:00:00,2024-07-17 00:00:00,3.1,176.47,569.0,0.0,491.0,0.0,203.0,31.0
40522,2023-08-16 10:00:00,2024-07-17 00:00:00,3.1,184.63,584.0,0.0,471.0,0.0,183.0,32.0
40523,2023-08-16 11:00:00,2024-07-17 00:00:00,3.1,180.06,602.0,0.0,458.0,0.0,177.0,0.0
40524,2023-08-16 12:00:00,2024-07-17 00:00:00,3.1,180.82,605.0,0.0,464.0,0.0,169.0,0.0
40525,2023-08-16 13:00:00,2024-07-17 00:00:00,3.1,180.99,609.0,0.0,473.0,0.0,163.0,0.0
40526,2023-08-16 14:00:00,2024-07-17 00:00:00,3.1,145.41,516.0,0.0,577.0,70.0,150.0,0.0
40527,2023-08-16 15:00:00,2024-07-17 00:00:00,3.1,140.93,588.0,0.0,597.0,293.0,112.0,15.0
40528,2023-08-16 16:00:00,2024-07-17 00:00:00,3.1,141.59,602.0,0.0,602.0,404.0,57.0,30.0
40529,2023-08-16 17:00:00,2024-07-17 00:00:00,3.1,138.45,609.0,0.0,646.0,410.0,54.0,29.0
40530,2023-08-16 18:00:00,2024-07-17 00:00:00,3.1,128.09,586.0,0.0,707.0,424.0,56.0,23.0
40531,2023-08-16 19:00:00,2024-07-17 00:00:00,3.1,137.38,667.0,0.0,745.0,419.0,45.0,25.0
40532,2023-08-16 20:00:00,2024-07-17 00:00:00,3.1,131.21,663.0,0.0,818.0,417.0,46.0,22.0
40533,2023-08-16 21:00:00,2024-07-17 00:00:00,3.1,114.69,662.0,0.0,1088.0,417.0,61.0,23.0
40534,2023-08-16 22:00:00,2024-07-17 00:00:00,3.1,105.12,660.0,0.0,1223.0,419.0,106.0,19.0
40535,2023-08-16 23:00:00,2024-07-17 00:00:00,3.1,101.98,656.0,0.0,1247.0,423.0,156.0,22.0
