,UTC time,creation_time (UTC),version,carbon_intensity,nat_gas,solar
0,2023-08-17 00:00:00,2023-08-18 22:28:40,3.0,419.13,1003.0,190.0
1,2023-08-17 01:00:00,2023-08-18 22:28:40,3.0,431.66,1014.0,153.0
2,2023-08-17 02:00:00,2023-08-18 22:28:40,3.0,463.87,1026.0,64.0
3,2023-08-17 03:00:00,2023-08-18 22:28:40,3.0,471.27,1024.0,45.0
4,2023-08-17 04:00:00,2023-08-18 22:28:40,3.0,475.89,1008.0,33.0
5,2023-08-17 05:00:00,2023-08-18 22:28:40,3.0,485.57,995.0,10.0
6,2023-08-17 06:00:00,2023-08-18 22:28:40,3.0,490.0,999.0,0.0
7,2023-08-17 07:00:00,2023-08-18 22:28:40,3.0,490.0,923.0,0.0
8,2023-08-17 08:00:00,2023-08-18 22:28:40,3.0,490.0,913.0,0.0
9,2023-08-17 09:00:00,2023-08-18 22:28:40,3.0,490.0,861.0,0.0
10,2023-08-17 10:00:00,2023-08-18 22:28:40,3.0,490.0,844.0,0.0
11,2023-08-17 11:00:00,2023-08-18 22:28:40,3.0,490.0,844.0,0.0
12,2023-08-17 12:00:00,2023-08-18 22:28:40,3.0,490.0,866.0,0.0
13,2023-08-17 13:00:00,2023-08-18 22:28:40,3.0,489.44,787.0,1.0
14,2023-08-17 14:00:00,2023-08-18 22:28:40,3.0,443.58,601.0,70.0
15,2023-08-17 15:00:00,2023-08-18 22:28:40,3.0,390.09,525.0,152.0
16,2023-08-17 16:00:00,2023-08-18 22:28:40,3.0,341.47,505.0,253.0
17,2023-08-17 17:00:00,2023-08-18 22:28:40,3.0,368.0,691.0,261.0
18,2023-08-17 18:00:00,2023-08-18 22:28:40,3.0,384.79,830.0,257.0
19,2023-08-17 19:00:00,2023-08-18 22:28:40,3.0,398.68,945.0,244.0
20,2023-08-17 20:00:00,2023-08-18 22:28:40,3.0,414.14,983.0,202.0
21,2023-08-17 21:00:00,2023-08-18 22:28:40,3.0,417.64,999.0,194.0
22,2023-08-17 22:00:00,2023-08-18 22:28:40,3.0,417.43,1011.0,197.0
23,2023-08-17 23:00:00,2023-08-18 22:28:40,3.0,422.27,1025.0,184.0
