UTC time,creation_time (UTC),version,nat_gas,solar
2023-08-03 00:00:00,2023-08-13 18:54:59,3.0,1106.0,111.0
2023-08-03 01:00:00,2023-08-13 18:54:59,3.0,1005.0,57.0
2023-08-03 02:00:00,2023-08-13 18:54:59,3.0,1015.0,20.0
2023-08-03 03:00:00,2023-08-13 18:54:59,3.0,1011.0,4.0
2023-08-03 04:00:00,2023-08-13 18:54:59,3.0,1070.0,1.0
2023-08-03 05:00:00,2023-08-13 18:54:59,3.0,1021.0,1.0
2023-08-03 06:00:00,2023-08-13 18:54:59,3.0,1065.0,0.0
2023-08-03 07:00:00,2023-08-13 18:54:59,3.0,1001.0,0.0
2023-08-03 08:00:00,2023-08-13 18:54:59,3.0,913.0,0.0
2023-08-03 09:00:00,2023-08-13 18:54:59,3.0,878.0,0.0
2023-08-03 10:00:00,2023-08-13 18:54:59,3.0,798.0,0.0
2023-08-03 11:00:00,2023-08-13 18:54:59,3.0,817.0,0.0
2023-08-03 12:00:00,2023-08-13 18:54:59,3.0,815.0,0.0
2023-08-03 13:00:00,2023-08-13 18:54:59,3.0,811.0,1.0
2023-08-03 14:00:00,2023-08-13 18:54:59,3.0,752.0,23.0
2023-08-03 15:00:00,2023-08-13 18:54:59,3.0,719.0,57.0
2023-08-03 16:00:00,2023-08-13 18:54:59,3.0,647.0,130.0
2023-08-03 17:00:00,2023-08-13 18:54:59,3.0,679.0,186.0
2023-08-03 18:00:00,2023-08-13 18:54:59,3.0,884.0,236.0
2023-08-03 19:00:00,2023-08-13 18:54:59,3.0,942.0,230.0
2023-08-03 20:00:00,2023-08-13 18:54:59,3.0,1069.0,251.0
2023-08-03 21:00:00,2023-08-13 18:54:59,3.0,1076.0,196.0
2023-08-03 22:00:00,2023-08-13 18:54:59,3.0,1086.0,190.0
2023-08-03 23:00:00,2023-08-13 18:54:59,3.0,1104.0,178.0
