,UTC time,creation_time (UTC),version,carbon_intensity,nat_gas,solar
0,2023-08-10 00:00:00,2023-08-13 18:15:09,3.0,320.51,1062.0,164.0
1,2023-08-10 01:00:00,2023-08-13 18:15:09,3.0,324.29,1057.0,149.0
2,2023-08-10 02:00:00,2023-08-13 18:15:09,3.0,347.37,1059.0,69.0
3,2023-08-10 03:00:00,2023-08-13 18:15:09,3.0,355.65,1066.0,43.0
4,2023-08-10 04:00:00,2023-08-13 18:15:09,3.0,358.22,1034.0,34.0
5,2023-08-10 05:00:00,2023-08-13 18:15:09,3.0,363.93,959.0,16.0
6,2023-08-10 06:00:00,2023-08-13 18:15:09,3.0,368.86,969.0,3.0
7,2023-08-10 07:00:00,2023-08-13 18:15:09,3.0,370.0,922.0,0.0
8,2023-08-10 08:00:00,2023-08-13 18:15:09,3.0,370.0,886.0,0.0
9,2023-08-10 09:00:00,2023-08-13 18:15:09,3.0,370.0,832.0,0.0
10,2023-08-10 10:00:00,2023-08-13 18:15:09,3.0,370.0,718.0,0.0
11,2023-08-10 11:00:00,2023-08-13 18:15:09,3.0,370.0,619.0,0.0
12,2023-08-10 12:00:00,2023-08-13 18:15:09,3.0,370.0,652.0,0.0
13,2023-08-10 13:00:00,2023-08-13 18:15:09,3.0,368.39,686.0,3.0
14,2023-08-10 14:00:00,2023-08-13 18:15:09,3.0,321.98,637.0,95.0
15,2023-08-10 15:00:00,2023-08-13 18:15:09,3.0,295.44,630.0,159.0
16,2023-08-10 16:00:00,2023-08-13 18:15:09,3.0,271.83,659.0,238.0
17,2023-08-10 17:00:00,2023-08-13 18:15:09,3.0,281.9,752.0,235.0
18,2023-08-10 18:00:00,2023-08-13 18:15:09,3.0,291.59,952.0,256.0
19,2023-08-10 19:00:00,2023-08-13 18:15:09,3.0,298.53,969.0,232.0
20,2023-08-10 20:00:00,2023-08-13 18:15:09,3.0,298.98,943.0,224.0
21,2023-08-10 21:00:00,2023-08-13 18:15:09,3.0,307.68,943.0,191.0
22,2023-08-10 22:00:00,2023-08-13 18:15:09,3.0,312.12,1003.0,186.0
23,2023-08-10 23:00:00,2023-08-13 18:15:09,3.0,312.8,1050.0,192.0
