,UTC time,carbon_intensity,nat_gas,nuclear,oil,solar,other
0,2023-08-04 00:00:00,341.55,14880.0,3676.0,0.0,350.0,4077.0
1,2023-08-04 01:00:00,348.89,14357.0,3677.0,0.0,11.0,4350.0
2,2023-08-04 02:00:00,346.99,13368.0,3678.0,0.0,0.0,4248.0
3,2023-08-04 03:00:00,344.14,12309.0,3678.0,0.0,0.0,4104.0
4,2023-08-04 04:00:00,339.7,10795.0,3683.0,0.0,0.0,3927.0
5,2023-08-04 05:00:00,334.17,9532.0,3685.0,0.0,0.0,3695.0
6,2023-08-04 06:00:00,328.42,8890.0,3689.0,0.0,0.0,3414.0
7,2023-08-04 07:00:00,324.71,8270.0,3690.0,0.0,0.0,3291.0
8,2023-08-04 08:00:00,320.14,7979.0,3694.0,0.0,0.0,3079.0
9,2023-08-04 09:00:00,317.9,7796.0,3696.0,0.0,0.0,2990.0
10,2023-08-04 10:00:00,317.17,7941.0,3697.0,0.0,0.0,2921.0
11,2023-08-04 11:00:00,322.47,8301.0,3699.0,0.0,0.0,3161.0
12,2023-08-04 12:00:00,319.6,9180.0,3701.0,0.0,175.0,3039.0
13,2023-08-04 13:00:00,302.66,10013.0,3702.0,0.0,1149.0,2915.0
14,2023-08-04 14:00:00,291.36,10917.0,3699.0,0.0,2212.0,3045.0
15,2023-08-04 15:00:00,290.57,11614.0,3700.0,0.0,2925.0,3525.0
16,2023-08-04 16:00:00,288.93,12453.0,3697.0,0.0,3543.0,3783.0
17,2023-08-04 17:00:00,293.61,13603.0,3697.0,0.0,3530.0,3848.0
18,2023-08-04 18:00:00,310.07,14815.0,3125.0,0.0,3203.0,4055.0
19,2023-08-04 19:00:00,322.54,15713.0,2831.0,0.0,2774.0,4207.0
20,2023-08-04 20:00:00,325.16,15851.0,2831.0,0.0,2672.0,4317.0
21,2023-08-04 21:00:00,331.85,16013.0,2830.0,0.0,2403.0,4630.0
22,2023-08-04 22:00:00,337.19,16049.0,2829.0,0.0,1918.0,4517.0
23,2023-08-04 23:00:00,348.93,15735.0,2830.0,0.0,1092.0,4587.0
