,UTC time,carbon_intensity,nat_gas,nuclear,oil,solar,other
0,2023-06-26 00:00:00,421.78,12688.0,3700.0,0.0,663.0,3236.0
1,2023-06-26 01:00:00,433.62,12680.0,3701.0,0.0,50.0,3247.0
2,2023-06-26 02:00:00,432.56,12192.0,3702.0,0.0,0.0,3203.0
3,2023-06-26 03:00:00,425.01,10998.0,3702.0,0.0,0.0,2961.0
4,2023-06-26 04:00:00,412.78,9937.0,3702.0,0.0,0.0,2494.0
5,2023-06-26 05:00:00,402.97,8501.0,3705.0,0.0,0.0,2386.0
6,2023-06-26 06:00:00,393.37,7663.0,3708.0,0.0,0.0,2197.0
7,2023-06-26 07:00:00,386.54,7162.0,3710.0,0.0,0.0,2069.0
8,2023-06-26 08:00:00,380.09,6911.0,3713.0,0.0,0.0,1898.0
9,2023-06-26 09:00:00,378.23,6906.0,3713.0,0.0,0.0,1827.0
10,2023-06-26 10:00:00,382.28,7107.0,3714.0,0.0,0.0,1919.0
11,2023-06-26 11:00:00,389.37,7607.0,3714.0,0.0,3.0,2051.0
12,2023-06-26 12:00:00,388.76,8396.0,3712.0,0.0,291.0,2084.0
13,2023-06-26 13:00:00,375.93,9423.0,3711.0,0.0,1159.0,2034.0
14,2023-06-26 14:00:00,362.06,10140.0,3714.0,0.0,2189.0,2062.0
15,2023-06-26 15:00:00,356.15,10943.0,3714.0,0.0,3067.0,2233.0
16,2023-06-26 16:00:00,356.48,12107.0,3713.0,0.0,3638.0,2316.0
17,2023-06-26 17:00:00,367.58,12851.0,3710.0,0.0,3651.0,2779.0
18,2023-06-26 18:00:00,370.44,13033.0,3707.0,0.0,3671.0,2929.0
19,2023-06-26 19:00:00,369.46,13144.0,3704.0,0.0,3839.0,2981.0
20,2023-06-26 20:00:00,376.71,13781.0,3704.0,0.0,3567.0,3009.0
21,2023-06-26 21:00:00,389.69,14611.0,3703.0,0.0,3054.0,3176.0
22,2023-06-26 22:00:00,400.47,15381.0,3701.0,0.0,2529.0,3204.0
23,2023-06-26 23:00:00,414.21,15855.0,3700.0,0.0,1808.0,3338.0
