,UTC time,carbon_intensity,nat_gas,solar,other,hydro
0,2019-01-01 00:00:00,273.86,981.0,63.0,16.0,299.0
1,2019-01-01 01:00:00,263.46,1033.0,9.0,18.0,430.0
2,2019-01-01 02:00:00,238.3,1036.0,1.0,18.0,597.0
3,2019-01-01 03:00:00,239.78,1050.0,1.0,17.0,593.0
4,2019-01-01 04:00:00,250.58,1045.0,1.0,17.0,519.0
5,2019-01-01 05:00:00,258.61,1040.0,1.0,18.0,469.0
6,2019-01-01 06:00:00,269.51,990.0,1.0,14.0,384.0
7,2019-01-01 07:00:00,289.06,1029.0,1.0,14.0,301.0
8,2019-01-01 08:00:00,298.91,1032.0,1.0,19.0,262.0
9,2019-01-01 09:00:00,325.33,974.0,1.0,16.0,145.0
10,2019-01-01 10:00:00,328.3,848.0,1.0,19.0,121.0
11,2019-01-01 11:00:00,327.61,921.0,1.0,17.0,131.0
12,2019-01-01 12:00:00,329.67,947.0,1.0,19.0,129.0
13,2019-01-01 13:00:00,329.18,960.0,1.0,16.0,130.0
14,2019-01-01 14:00:00,327.4,956.0,1.0,18.0,137.0
15,2019-01-01 15:00:00,308.43,947.0,1.0,15.0,201.0
16,2019-01-01 16:00:00,308.38,933.0,1.0,18.0,201.0
17,2019-01-01 17:00:00,298.62,918.0,49.0,19.0,188.0
18,2019-01-01 18:00:00,282.5,873.0,97.0,17.0,191.0
19,2019-01-01 19:00:00,272.11,815.0,109.0,16.0,202.0
20,2019-01-01 20:00:00,272.81,764.0,106.0,17.0,185.0
21,2019-01-01 21:00:00,271.59,720.0,99.0,18.0,182.0
22,2019-01-01 22:00:00,269.02,734.0,101.0,18.0,195.0
23,2019-01-01 23:00:00,275.54,786.0,83.0,18.0,206.0
24,2019-01-02 00:00:00,287.2,867.0,52.0,17.0,215.0
25,2019-01-02 01:00:00,294.39,1000.0,9.0,18.0,265.0
26,2019-01-02 02:00:00,248.01,1078.0,1.0,18.0,553.0
27,2019-01-02 03:00:00,251.03,1100.0,1.0,16.0,541.0
28,2019-01-02 04:00:00,272.37,1088.0,1.0,18.0,409.0
29,2019-01-02 05:00:00,270.12,1084.0,1.0,17.0,419.0
30,2019-01-02 06:00:00,300.58,1059.0,1.0,18.0,260.0
31,2019-01-02 07:00:00,318.96,1122.0,1.0,18.0,193.0
32,2019-01-02 08:00:00,260.59,730.0,1.0,17.0,326.0
33,2019-01-02 09:00:00,216.78,563.0,2.0,17.0,424.0
34,2019-01-02 10:00:00,188.57,473.0,1.0,18.0,491.0
35,2019-01-02 11:00:00,200.36,469.0,1.0,16.0,426.0
36,2019-01-02 12:00:00,203.61,475.0,1.0,18.0,420.0
