UTC time,coal,nat_gas,nuclear,oil,hydro,solar,wind,biomass,geothermal,unknown
2023-01-01 00:00:00,0.0,442.0,0.0,0.0,0.0,0.0,141.0,0.0,0.0,0.0
2023-01-01 01:00:00,0.0,437.0,0.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0
2023-01-01 02:00:00,0.0,447.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0
2023-01-01 03:00:00,0.0,444.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0
2023-01-01 04:00:00,0.0,438.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
2023-01-01 05:00:00,0.0,429.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
2023-01-01 06:00:00,0.0,456.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
2023-01-01 07:00:00,0.0,459.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0
2023-01-01 08:00:00,0.0,440.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
2023-01-01 09:00:00,0.0,482.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0
2023-01-01 10:00:00,0.0,492.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0
2023-01-01 11:00:00,0.0,447.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0
2023-01-01 12:00:00,0.0,498.6666666666667,0.0,0.0,0.0,0.0,342.0,0.0,0.0,0.0
2023-01-01 13:00:00,0.0,613.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0
2023-01-01 14:00:00,0.0,591.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0
2023-01-01 15:00:00,0.0,556.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0
2023-01-01 16:00:00,0.0,571.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0
2023-01-01 17:00:00,0.0,560.0,0.0,0.0,0.0,0.0,42.0,0.0,0.0,0.0
2023-01-01 18:00:00,0.0,552.0,0.0,0.0,0.0,0.0,59.0,0.0,0.0,0.0
2023-01-01 19:00:00,0.0,548.0,0.0,0.0,0.0,0.0,87.0,0.0,0.0,0.0
2023-01-01 20:00:00,0.0,497.0,0.0,0.0,0.0,0.0,108.0,0.0,0.0,0.0
2023-01-01 21:00:00,0.0,474.0,0.0,0.0,0.0,0.0,64.0,0.0,0.0,0.0
2023-01-01 22:00:00,0.0,513.0,0.0,0.0,0.0,0.0,59.0,0.0,0.0,0.0
2023-01-01 23:00:00,0.0,450.0,0.0,0.0,0.0,0.0,112.0,0.0,0.0,0.0
2023-01-02 00:00:00,0.0,457.0,0.0,0.0,0.0,0.0,135.0,0.0,0.0,0.0
2023-01-02 01:00:00,0.0,443.0,0.0,0.0,0.0,0.0,205.0,0.0,0.0,0.0
2023-01-02 02:00:00,0.0,429.0,0.0,0.0,0.0,0.0,222.0,0.0,0.0,0.0
2023-01-02 03:00:00,0.0,431.0,0.0,0.0,0.0,0.0,287.0,0.0,0.0,0.0
2023-01-02 04:00:00,0.0,437.0,0.0,0.0,0.0,0.0,241.0,0.0,0.0,0.0
2023-01-02 05:00:00,0.0,455.0,0.0,0.0,0.0,0.0,277.0,0.0,0.0,0.0
2023-01-02 06:00:00,0.0,452.0,0.0,0.0,0.0,0.0,286.0,0.0,0.0,0.0
2023-01-02 07:00:00,0.0,431.0,0.0,0.0,0.0,0.0,300.0,0.0,0.0,0.0
2023-01-02 08:00:00,0.0,424.0,0.0,0.0,0.0,0.0,414.0,0.0,0.0,0.0
2023-01-02 09:00:00,0.0,440.0,0.0,0.0,0.0,0.0,612.0,0.0,0.0,0.0
2023-01-02 10:00:00,0.0,428.0,0.0,0.0,0.0,0.0,758.0,0.0,0.0,0.0
2023-01-02 11:00:00,0.0,441.0,0.0,0.0,0.0,0.0,898.0,0.0,0.0,0.0
2023-01-02 12:00:00,0.0,436.0,0.0,0.0,0.0,0.0,976.0,0.0,0.0,0.0
2023-01-02 13:00:00,0.0,430.0,0.0,0.0,0.0,0.0,1124.0,0.0,0.0,0.0
