UTC time,coal,nat_gas,hydro,solar,wind,biomass,unknown
2023-11-22 00:00:00,222.0,53.0,1.0,0.0,45.0,121.0,1.0
2023-11-22 01:00:00,217.0,68.0,1.0,0.0,37.0,121.0,1.0
2023-11-22 02:00:00,189.0,69.0,1.0,0.0,30.0,117.0,1.0
2023-11-22 03:00:00,185.0,69.0,1.0,0.0,30.0,117.0,1.0
2023-11-22 04:00:00,185.0,65.0,1.0,0.0,29.0,116.0,1.0
2023-11-22 05:00:00,215.0,40.0,1.0,0.0,30.0,121.0,1.0
2023-11-22 06:00:00,250.0,38.0,1.0,4.0,48.0,123.0,1.0
2023-11-22 07:00:00,253.0,37.0,1.0,27.0,67.0,123.0,1.0
2023-11-22 08:00:00,203.0,36.0,1.0,67.0,97.0,119.0,1.0
2023-11-22 09:00:00,193.0,39.0,1.0,93.0,136.0,118.0,1.0
2023-11-22 10:00:00,200.0,40.0,1.0,112.0,157.0,118.0,1.0
2023-11-22 11:00:00,184.0,38.0,1.0,91.0,191.0,116.0,1.0
2023-11-22 12:00:00,204.0,38.0,1.0,42.0,225.0,118.0,1.0
2023-11-22 13:00:00,234.0,37.0,1.0,6.0,261.0,123.0,1.0
2023-11-22 14:00:00,255.0,36.0,1.0,1.0,280.0,124.0,1.0
2023-11-22 15:00:00,245.0,36.0,1.0,1.0,295.0,124.0,1.0
2023-11-22 16:00:00,221.0,35.0,1.0,1.0,310.0,122.0,1.0
2023-11-22 17:00:00,213.0,36.0,1.0,0.0,320.0,114.0,1.0
2023-11-22 18:00:00,191.0,37.0,1.0,0.0,336.0,100.0,1.0
2023-11-22 19:00:00,157.0,39.0,1.0,0.0,340.0,95.0,1.0
2023-11-22 20:00:00,152.0,39.0,1.0,3.0,335.0,92.0,1.0
2023-11-22 21:00:00,152.0,37.0,1.0,0.0,329.0,91.0,1.0
2023-11-22 22:00:00,151.0,35.0,1.0,0.0,316.0,89.0,1.0
2023-11-22 23:00:00,159.0,35.0,1.0,0.0,306.0,88.0,1.0
