,UTC time,creation_time (UTC),version,carbon_intensity,coal,nat_gas,nuclear,oil,hydro,solar,wind,other
0,2023-09-05 00:00:00,2023-09-08 17:38:55,3.0,440.45,6881.0,21004.0,6852.0,0.0,1618.0,156.0,0.0,73.0
1,2023-09-05 01:00:00,2023-09-08 17:38:55,3.0,434.65,6044.0,20859.0,6873.0,0.0,1455.0,0.0,0.0,71.0
2,2023-09-05 02:00:00,2023-09-08 17:38:55,3.0,436.01,5619.0,19834.0,6862.0,0.0,820.0,0.0,0.0,72.0
3,2023-09-05 03:00:00,2023-09-08 17:38:55,3.0,435.55,5561.0,17342.0,6877.0,0.0,457.0,0.0,0.0,71.0
4,2023-09-05 04:00:00,2023-09-08 17:38:55,3.0,426.42,5395.0,14358.0,6877.0,0.0,512.0,0.0,0.0,72.0
5,2023-09-05 05:00:00,2023-09-08 17:38:55,3.0,412.4,4751.0,13076.0,6878.0,0.0,562.0,0.0,0.0,73.0
6,2023-09-05 06:00:00,2023-09-08 17:38:55,3.0,414.78,4883.0,11958.0,6891.0,0.0,319.0,0.0,0.0,77.0
7,2023-09-05 07:00:00,2023-09-08 17:38:55,3.0,400.21,4069.0,11818.0,6891.0,0.0,312.0,0.0,0.0,78.0
8,2023-09-05 08:00:00,2023-09-08 17:38:55,3.0,392.77,3719.0,11419.0,6887.0,0.0,273.0,0.0,0.0,78.0
9,2023-09-05 09:00:00,2023-09-08 17:38:55,3.0,391.98,3689.0,11341.0,6901.0,0.0,252.0,0.0,0.0,79.0
10,2023-09-05 10:00:00,2023-09-08 17:38:55,3.0,396.52,3822.0,11793.0,6908.0,0.0,238.0,0.0,0.0,79.0
11,2023-09-05 11:00:00,2023-09-08 17:38:55,3.0,417.52,4864.0,12134.0,6901.0,0.0,154.0,1.0,0.0,79.0
12,2023-09-05 12:00:00,2023-09-08 17:38:55,3.0,431.21,5682.0,12756.0,6902.0,0.0,155.0,61.0,0.0,78.0
13,2023-09-05 13:00:00,2023-09-08 17:38:55,3.0,419.08,5362.0,13098.0,6902.0,0.0,198.0,569.0,0.0,79.0
14,2023-09-05 14:00:00,2023-09-08 17:38:55,3.0,405.47,4832.0,13955.0,6886.0,0.0,219.0,1144.0,0.0,77.0
15,2023-09-05 15:00:00,2023-09-08 17:38:55,3.0,417.78,5657.0,15210.0,6869.0,0.0,231.0,1386.0,0.0,75.0
16,2023-09-05 16:00:00,2023-09-08 17:38:55,3.0,423.18,5924.0,17024.0,6855.0,0.0,268.0,1544.0,0.0,77.0
17,2023-09-05 17:00:00,2023-09-08 17:38:55,3.0,435.07,6544.0,19122.0,6860.0,0.0,275.0,1473.0,0.0,77.0
18,2023-09-05 18:00:00,2023-09-08 17:38:55,3.0,437.57,6721.0,20718.0,6849.0,0.0,570.0,1340.0,0.0,76.0
19,2023-09-05 19:00:00,2023-09-08 17:38:55,3.0,442.89,7343.0,22032.0,6854.0,0.0,849.0,1303.0,0.0,79.0
20,2023-09-05 20:00:00,2023-09-08 17:38:55,3.0,441.47,8099.0,22248.0,6838.0,0.0,1861.0,1140.0,0.0,78.0
21,2023-09-05 21:00:00,2023-09-08 17:38:55,3.0,438.55,8189.0,22559.0,6838.0,0.0,2316.0,1087.0,0.0,77.0
22,2023-09-05 22:00:00,2023-09-08 17:38:55,3.0,467.02,7969.0,77646.0,6845.0,0.0,2474.0,958.0,0.0,76.0
23,2023-09-05 23:00:00,2023-09-08 17:38:55,3.0,435.54,7502.0,22875.0,6828.0,0.0,2423.0,669.0,0.0,77.0
