UTC time,wind,biomass,hydro,nat_gas,solar
2023-01-01 00:00:00,172.0,174.0,84.0,0.0,0.0
2023-01-01 01:00:00,181.0,169.0,84.0,1.0,0.0
2023-01-01 02:00:00,181.0,172.0,84.0,4.0,0.0
2023-01-01 03:00:00,169.0,172.0,84.0,2.0,0.0
2023-01-01 04:00:00,169.0,171.0,84.0,1.0,0.0
2023-01-01 05:00:00,170.0,171.0,84.0,68.0,0.0
2023-01-01 06:00:00,160.0,171.0,84.0,72.0,0.0
2023-01-01 07:00:00,147.0,169.0,84.0,63.0,1.0
2023-01-01 08:00:00,325.0,171.0,84.0,59.0,13.0
2023-01-01 09:00:00,315.0,172.0,84.0,61.0,19.0
2023-01-01 10:00:00,301.0,173.0,84.0,54.0,34.0
2023-01-01 11:00:00,318.0,168.0,84.0,55.0,74.0
2023-01-01 12:00:00,267.0,173.0,84.0,66.0,52.0
2023-01-01 13:00:00,246.0,172.0,83.0,65.0,38.0
2023-01-01 14:00:00,200.0,176.0,84.0,63.0,12.0
2023-01-01 15:00:00,166.0,163.0,84.0,60.0,1.0
2023-01-01 16:00:00,234.0,170.0,84.0,61.0,0.0
2023-01-01 17:00:00,354.0,172.0,84.0,62.0,0.0
2023-01-01 18:00:00,459.0,168.0,84.0,65.0,0.0
2023-01-01 19:00:00,487.0,171.0,84.0,62.0,0.0
2023-01-01 20:00:00,507.0,171.0,84.0,57.0,0.0
2023-01-01 21:00:00,493.0,172.0,84.0,6.0,0.0
2023-01-01 22:00:00,474.0,172.0,84.0,0.0,0.0
2023-01-01 23:00:00,438.0,167.0,84.0,4.0,0.0
2023-01-02 00:00:00,452.0,169.0,84.0,4.0,0.0
2023-01-02 01:00:00,471.0,170.0,84.0,4.0,0.0
2023-01-02 02:00:00,463.0,170.0,84.0,4.0,0.0
2023-01-02 03:00:00,437.0,172.0,84.0,4.0,0.0
2023-01-02 04:00:00,429.0,169.0,84.0,5.0,0.0
2023-01-02 05:00:00,434.0,168.0,84.0,72.0,0.0
2023-01-02 06:00:00,473.0,171.0,84.0,73.0,0.0
2023-01-02 07:00:00,480.0,164.0,84.0,71.0,0.0
2023-01-02 08:00:00,429.0,159.0,84.0,80.0,10.0
2023-01-02 09:00:00,328.0,158.0,84.0,72.0,22.0
2023-01-02 10:00:00,193.0,155.0,84.0,79.0,23.0
2023-01-02 11:00:00,181.0,155.0,84.0,80.0,39.0
2023-01-02 12:00:00,232.0,160.0,84.0,85.0,42.0
2023-01-02 13:00:00,248.0,161.0,84.0,78.0,31.0
2023-01-02 14:00:00,305.0,163.0,84.0,73.0,19.0
2023-01-02 15:00:00,377.0,165.0,85.0,76.0,6.0
2023-01-02 16:00:00,382.0,164.0,85.0,77.0,0.0
2023-01-02 17:00:00,360.0,166.0,84.0,81.0,0.0
2023-01-02 18:00:00,341.0,161.0,84.0,79.0,0.0
2023-01-02 19:00:00,304.0,162.0,84.0,75.0,0.0
2023-01-02 20:00:00,344.0,164.0,84.0,75.0,0.0
2023-01-02 21:00:00,291.0,165.0,84.0,8.0,0.0
2023-01-02 22:00:00,207.0,160.0,84.0,4.0,0.0
2023-01-02 23:00:00,149.0,87.0,84.0,4.0,0.0
2023-01-03 00:00:00,143.0,86.0,84.0,4.0,0.0
2023-01-03 01:00:00,153.0,85.0,84.0,4.0,0.0
2023-01-03 02:00:00,147.0,88.0,84.0,4.0,0.0
2023-01-03 03:00:00,155.0,85.0,84.0,4.0,0.0
2023-01-03 04:00:00,115.0,84.0,84.0,5.0,0.0
2023-01-03 05:00:00,132.0,72.0,84.0,80.0,0.0
2023-01-03 06:00:00,148.0,83.0,84.0,89.0,0.0
2023-01-03 07:00:00,159.0,81.0,84.0,83.0,0.0
2023-01-03 08:00:00,166.0,84.0,84.0,77.0,15.0
2023-01-03 09:00:00,172.0,84.0,87.0,78.0,47.0
2023-01-03 10:00:00,196.0,83.0,88.0,84.0,57.0
2023-01-03 11:00:00,254.0,83.0,88.0,87.0,100.0
2023-01-03 12:00:00,259.0,84.0,87.0,79.0,138.0
2023-01-03 13:00:00,195.0,83.0,66.0,75.0,123.0
2023-01-03 14:00:00,183.0,81.0,64.0,74.0,52.0
2023-01-03 15:00:00,195.0,83.0,64.0,82.0,4.0
2023-01-03 16:00:00,184.0,85.0,65.0,85.0,0.0
2023-01-03 17:00:00,223.0,84.0,88.0,83.0,0.0
2023-01-03 18:00:00,293.0,86.0,88.0,81.0,0.0
2023-01-03 19:00:00,344.0,89.0,88.0,75.0,0.0
2023-01-03 20:00:00,385.0,90.0,88.0,70.0,0.0
2023-01-03 21:00:00,419.0,90.0,66.0,10.0,0.0
2023-01-03 22:00:00,468.0,89.0,64.0,4.0,0.0
2023-01-03 23:00:00,519.0,169.0,64.0,4.0,0.0
2023-01-04 00:00:00,529.0,167.0,64.0,4.0,0.0
2023-01-04 01:00:00,542.0,160.0,66.0,4.0,0.0
2023-01-04 02:00:00,540.0,156.0,67.0,4.0,0.0
2023-01-04 03:00:00,535.0,155.0,67.0,4.0,0.0
2023-01-04 04:00:00,538.0,158.0,65.0,5.0,0.0
2023-01-04 05:00:00,541.0,157.0,64.0,73.0,0.0
2023-01-04 06:00:00,539.0,161.0,67.0,81.0,0.0
2023-01-04 07:00:00,535.0,153.0,87.0,79.0,0.0
2023-01-04 08:00:00,545.0,157.0,86.0,84.0,6.0
2023-01-04 09:00:00,538.0,159.0,65.0,81.0,17.0
2023-01-04 10:00:00,541.0,149.0,64.0,76.0,26.0
2023-01-04 11:00:00,547.0,151.0,64.0,77.0,37.0
2023-01-04 12:00:00,549.0,159.0,64.0,74.0,36.0
2023-01-04 13:00:00,560.0,156.0,64.0,77.0,27.0
2023-01-04 14:00:00,563.0,151.0,65.0,76.0,14.0
2023-01-04 15:00:00,559.0,147.0,65.0,76.0,1.0
2023-01-04 16:00:00,561.0,145.0,66.0,84.0,0.0
2023-01-04 17:00:00,517.0,142.0,88.0,80.0,0.0
2023-01-04 18:00:00,529.0,140.0,88.0,77.0,0.0
2023-01-04 19:00:00,524.0,137.0,88.0,74.0,0.0
2023-01-04 20:00:00,517.0,144.0,88.0,70.0,0.0
2023-01-04 21:00:00,423.0,146.0,68.0,6.0,0.0
2023-01-04 22:00:00,490.0,136.0,65.0,4.0,0.0
2023-01-04 23:00:00,500.0,134.0,68.0,2.0,0.0
2023-01-05 00:00:00,510.0,130.0,68.0,0.0,0.0
2023-01-05 01:00:00,473.0,133.0,65.0,3.0,0.0
2023-01-05 02:00:00,457.0,131.0,68.0,4.0,0.0
2023-01-05 03:00:00,454.0,131.0,68.0,4.0,0.0
2023-01-05 04:00:00,403.0,129.0,68.0,5.0,0.0
2023-01-05 05:00:00,386.0,123.0,68.0,79.0,0.0
2023-01-05 06:00:00,392.0,124.0,68.0,87.0,0.0
2023-01-05 07:00:00,392.0,127.0,87.0,81.0,0.0
2023-01-05 08:00:00,342.0,128.0,84.0,82.0,19.0
2023-01-05 09:00:00,310.0,128.0,48.0,74.0,59.0
2023-01-05 10:00:00,273.0,130.0,48.0,74.0,100.0
2023-01-05 11:00:00,257.0,133.0,48.0,71.0,115.0
2023-01-05 12:00:00,170.0,133.0,48.0,63.0,92.0
2023-01-05 13:00:00,120.0,132.0,48.0,75.0,60.0
2023-01-05 14:00:00,91.0,132.0,48.0,75.0,20.0
2023-01-05 15:00:00,142.0,139.0,48.0,81.0,4.0
2023-01-05 16:00:00,217.0,144.0,48.0,80.0,0.0
2023-01-05 17:00:00,236.0,132.0,87.0,82.0,0.0
2023-01-05 18:00:00,191.0,138.0,88.0,80.0,0.0
2023-01-05 19:00:00,216.0,150.0,87.0,77.0,0.0
2023-01-05 20:00:00,244.0,148.0,88.0,72.0,0.0
2023-01-05 21:00:00,340.0,141.0,48.0,7.0,0.0
2023-01-05 22:00:00,251.0,131.0,48.0,4.0,0.0
2023-01-05 23:00:00,265.0,134.0,48.0,4.0,0.0
2023-01-06 00:00:00,307.0,148.0,48.0,1.0,0.0
2023-01-06 01:00:00,331.0,136.0,48.0,1.0,0.0
2023-01-06 02:00:00,339.0,134.0,48.0,4.0,0.0
2023-01-06 03:00:00,374.0,134.0,48.0,7.0,0.0
2023-01-06 04:00:00,295.0,137.0,48.0,9.0,0.0
2023-01-06 05:00:00,307.0,134.0,64.0,78.0,0.0
2023-01-06 06:00:00,316.0,142.0,65.0,86.0,0.0
2023-01-06 07:00:00,304.0,146.0,88.0,87.0,1.0
2023-01-06 08:00:00,347.0,136.0,88.0,88.0,23.0
2023-01-06 09:00:00,375.0,138.0,84.0,86.0,56.0
2023-01-06 10:00:00,319.0,127.0,83.0,78.0,55.0
2023-01-06 11:00:00,306.0,134.0,65.0,79.0,64.0
2023-01-06 12:00:00,309.0,118.0,64.0,84.0,69.0
2023-01-06 13:00:00,318.0,96.0,68.0,81.0,56.0
2023-01-06 14:00:00,314.0,101.0,66.0,77.0,28.0
2023-01-06 15:00:00,283.0,135.0,64.0,69.0,3.0
2023-01-06 16:00:00,255.0,143.0,65.0,78.0,0.0
2023-01-06 17:00:00,230.0,139.0,88.0,86.0,0.0
2023-01-06 18:00:00,210.0,125.0,88.0,82.0,0.0
2023-01-06 19:00:00,219.0,135.0,88.0,84.0,0.0
2023-01-06 20:00:00,207.0,153.0,88.0,79.0,0.0
2023-01-06 21:00:00,231.0,139.0,67.0,7.0,0.0
2023-01-06 22:00:00,266.0,143.0,68.0,4.0,0.0
2023-01-06 23:00:00,248.0,144.0,67.0,4.0,0.0
