Unnamed: 0,UTC time,carbon_intensity,coal,nat_gas,nuclear,hydro,solar,wind,biomass
37320,2023-04-05 00:00:00,300.41,1459.0,343.0,2163.0,156.0,0.0,534.0,23.0
37321,2023-04-05 01:00:00,314.14,1585.0,345.0,2166.0,151.0,0.0,535.0,24.0
37322,2023-04-05 02:00:00,310.2,1551.0,345.0,2164.0,162.0,0.0,531.0,27.0
37323,2023-04-05 03:00:00,323.25,1686.0,347.0,2163.0,184.0,0.0,528.0,24.0
37324,2023-04-05 04:00:00,329.82,1859.0,355.0,2163.0,326.0,36.0,528.0,24.0
37325,2023-04-05 05:00:00,301.11,1818.0,350.0,2164.0,650.0,204.0,516.0,25.0
37326,2023-04-05 06:00:00,298.89,1856.0,354.0,2163.0,627.0,378.0,501.0,25.0
37327,2023-04-05 07:00:00,279.35,1520.0,358.0,2163.0,249.0,513.0,499.0,25.0
37328,2023-04-05 08:00:00,271.63,1454.0,359.0,2164.0,203.0,602.0,484.0,25.0
37329,2023-04-05 09:00:00,273.6,1458.0,369.0,2163.0,186.0,602.0,478.0,25.0
37330,2023-04-05 10:00:00,278.46,1456.0,373.0,2163.0,180.0,539.0,442.0,24.0
37331,2023-04-05 11:00:00,284.73,1456.0,373.0,2162.0,180.0,448.0,404.0,25.0
37332,2023-04-05 12:00:00,292.79,1448.0,374.0,2162.0,194.0,366.0,304.0,25.0
37333,2023-04-05 13:00:00,325.58,1670.0,374.0,2161.0,219.0,280.0,199.0,24.0
37334,2023-04-05 14:00:00,328.55,1683.0,374.0,2160.0,360.0,181.0,126.0,28.0
37335,2023-04-05 15:00:00,314.15,1736.0,377.0,2159.0,832.0,74.0,94.0,27.0
37336,2023-04-05 16:00:00,316.05,1864.0,376.0,2158.0,1110.0,8.0,66.0,25.0
37337,2023-04-05 17:00:00,309.9,1937.0,381.0,2160.0,1384.0,0.0,52.0,25.0
37338,2023-04-05 18:00:00,313.87,1947.0,381.0,2160.0,1308.0,0.0,63.0,27.0
37339,2023-04-05 19:00:00,325.38,1887.0,376.0,2160.0,981.0,0.0,64.0,27.0
37340,2023-04-05 20:00:00,347.39,1685.0,379.0,2158.0,319.0,0.0,61.0,25.0
37341,2023-04-05 21:00:00,357.34,1690.0,379.0,2159.0,203.0,0.0,45.0,26.0
37342,2023-04-05 22:00:00,361.59,1711.0,381.0,2158.0,176.0,0.0,46.0,25.0
37343,2023-04-05 23:00:00,360.63,1701.0,383.0,2158.0,166.0,0.0,56.0,24.0
