UTC time,coal,nat_gas,nuclear,hydro,solar,wind,biomass
2023-12-19 00:00:00,1808.0,379.0,2120.0,101.0,0.0,324.0,16.0
2023-12-19 01:00:00,1794.0,379.0,2121.0,101.0,0.0,359.0,17.0
2023-12-19 02:00:00,1798.0,380.0,2122.0,102.0,0.0,360.0,16.0
2023-12-19 03:00:00,1818.0,382.0,2122.0,117.0,0.0,293.0,17.0
2023-12-19 04:00:00,1973.0,383.0,2122.0,176.0,0.0,222.0,17.0
2023-12-19 05:00:00,2099.0,385.0,2122.0,237.0,4.0,176.0,18.0
2023-12-19 06:00:00,2110.0,392.0,2120.0,506.0,271.0,133.0,17.0
2023-12-19 07:00:00,2097.0,389.0,2123.0,441.0,871.0,80.0,17.0
2023-12-19 08:00:00,1945.0,381.0,2125.0,293.0,1291.0,18.0,17.0
2023-12-19 09:00:00,1926.0,378.0,2124.0,195.0,1479.0,7.0,16.0
2023-12-19 10:00:00,1939.0,378.0,2124.0,186.0,1510.0,9.0,17.0
2023-12-19 11:00:00,1900.0,378.0,2123.0,144.0,1415.0,7.0,18.0
2023-12-19 12:00:00,1871.0,379.0,2120.0,145.0,1116.0,16.0,18.0
2023-12-19 13:00:00,1886.0,379.0,2120.0,139.0,580.0,27.0,17.0
2023-12-19 14:00:00,2028.0,380.0,2120.0,230.0,78.0,41.0,17.0
2023-12-19 15:00:00,2307.0,379.0,2121.0,811.0,1.0,56.0,15.0
2023-12-19 16:00:00,2296.0,379.0,2121.0,984.0,1.0,88.0,15.0
2023-12-19 17:00:00,2170.0,382.0,2121.0,800.0,0.0,100.0,16.0
2023-12-19 18:00:00,2176.0,383.0,2121.0,679.0,0.0,93.0,16.0
2023-12-19 19:00:00,2066.0,385.0,2123.0,259.0,0.0,95.0,16.0
2023-12-19 20:00:00,1928.0,385.0,2122.0,186.0,0.0,87.0,16.0
2023-12-19 21:00:00,1889.0,378.0,2121.0,153.0,0.0,65.0,15.0
2023-12-19 22:00:00,1933.0,376.0,2122.0,114.0,0.0,84.0,16.0
2023-12-19 23:00:00,1813.0,376.0,2122.0,110.0,0.0,97.0,16.0
