Unnamed: 0,UTC time,creation_time (UTC),version,carbon_intensity,coal,nat_gas,nuclear,hydro,solar,wind,biomass
37200,2023-03-31 00:00:00,2024-07-17 00:00:00,3.1,311.24,1619.0,337.0,2169.0,92.0,0.0,117.0,20.0
37201,2023-03-31 01:00:00,2024-07-17 00:00:00,3.1,312.32,1631.0,336.0,2167.0,93.0,0.0,119.0,21.0
37202,2023-03-31 02:00:00,2024-07-17 00:00:00,3.1,308.39,1638.0,337.0,2168.0,123.0,0.0,152.0,23.0
37203,2023-03-31 03:00:00,2024-07-17 00:00:00,3.1,318.89,1774.0,337.0,2169.0,146.0,0.0,170.0,23.0
37204,2023-03-31 04:00:00,2024-07-17 00:00:00,3.1,330.58,1949.0,338.0,2171.0,199.0,6.0,175.0,21.0
37205,2023-03-31 05:00:00,2024-07-17 00:00:00,3.1,333.98,2033.0,332.0,2168.0,230.0,47.0,163.0,21.0
37206,2023-03-31 06:00:00,2024-07-17 00:00:00,3.1,316.05,2004.0,328.0,2168.0,363.0,166.0,153.0,21.0
37207,2023-03-31 07:00:00,2024-07-17 00:00:00,3.1,292.8,1798.0,296.0,2169.0,264.0,361.0,131.0,22.0
37208,2023-03-31 08:00:00,2024-07-17 00:00:00,3.1,287.78,1830.0,291.0,2168.0,324.0,466.0,106.0,22.0
37209,2023-03-31 09:00:00,2024-07-17 00:00:00,3.1,283.89,1775.0,294.0,2170.0,261.0,524.0,93.0,18.0
37210,2023-03-31 10:00:00,2024-07-17 00:00:00,3.1,282.68,1744.0,308.0,2168.0,283.0,486.0,86.0,17.0
37211,2023-03-31 11:00:00,2024-07-17 00:00:00,3.1,264.76,1586.0,303.0,2168.0,294.0,521.0,89.0,15.0
37212,2023-03-31 12:00:00,2024-07-17 00:00:00,3.1,270.71,1587.0,299.0,2168.0,241.0,448.0,106.0,15.0
37213,2023-03-31 13:00:00,2024-07-17 00:00:00,3.1,289.73,1649.0,305.0,2168.0,134.0,345.0,99.0,15.0
37214,2023-03-31 14:00:00,2024-07-17 00:00:00,3.1,304.56,1714.0,302.0,2168.0,125.0,224.0,94.0,17.0
37215,2023-03-31 15:00:00,2024-07-17 00:00:00,3.1,298.52,1780.0,302.0,2168.0,427.0,127.0,85.0,17.0
37216,2023-03-31 16:00:00,2024-07-17 00:00:00,3.1,265.71,1607.0,307.0,2168.0,816.0,16.0,95.0,15.0
37217,2023-03-31 17:00:00,2024-07-17 00:00:00,3.1,258.17,1588.0,310.0,2167.0,964.0,0.0,75.0,15.0
37218,2023-03-31 18:00:00,2024-07-17 00:00:00,3.1,299.31,1687.0,311.0,2168.0,459.0,0.0,27.0,16.0
37219,2023-03-31 19:00:00,2024-07-17 00:00:00,3.1,325.79,1841.0,312.0,2169.0,291.0,0.0,19.0,17.0
37220,2023-03-31 20:00:00,2024-07-17 00:00:00,3.1,333.43,1827.0,307.0,2167.0,154.0,0.0,34.0,16.0
37221,2023-03-31 21:00:00,2024-07-17 00:00:00,3.1,336.21,1835.0,299.0,2168.0,100.0,0.0,58.0,17.0
37222,2023-03-31 22:00:00,2024-07-17 00:00:00,3.1,286.97,1365.0,297.0,2168.0,95.0,0.0,58.0,15.0
37223,2023-03-31 23:00:00,2024-07-17 00:00:00,3.1,276.27,1276.0,297.0,2168.0,90.0,0.0,61.0,16.0
