Unnamed: 0,UTC time,creation_time (UTC),version,carbon_intensity,coal,nat_gas,nuclear,hydro,solar,wind,biomass
40008,2023-07-26 00:00:00,2024-07-17 00:00:00,3.1,263.36,1224.0,160.0,1973.0,105.0,0.0,271.0,24.0
40009,2023-07-26 01:00:00,2024-07-17 00:00:00,3.1,264.25,1231.0,164.0,1974.0,104.0,0.0,271.0,26.0
40010,2023-07-26 02:00:00,2024-07-17 00:00:00,3.1,263.89,1224.0,174.0,1973.0,106.0,0.0,267.0,25.0
40011,2023-07-26 03:00:00,2024-07-17 00:00:00,3.1,266.08,1262.0,170.0,1975.0,138.0,28.0,244.0,24.0
40012,2023-07-26 04:00:00,2024-07-17 00:00:00,3.1,250.49,1270.0,165.0,1973.0,221.0,222.0,222.0,24.0
40013,2023-07-26 05:00:00,2024-07-17 00:00:00,3.1,227.49,1273.0,163.0,1973.0,261.0,610.0,215.0,23.0
40014,2023-07-26 06:00:00,2024-07-17 00:00:00,3.1,205.62,1228.0,159.0,1973.0,258.0,985.0,199.0,23.0
40015,2023-07-26 07:00:00,2024-07-17 00:00:00,3.1,196.82,1205.0,157.0,1972.0,179.0,1239.0,173.0,23.0
40016,2023-07-26 08:00:00,2024-07-17 00:00:00,3.1,192.2,1212.0,154.0,1972.0,105.0,1454.0,169.0,23.0
40017,2023-07-26 09:00:00,2024-07-17 00:00:00,3.1,187.89,1199.0,155.0,1972.0,98.0,1555.0,153.0,23.0
40018,2023-07-26 10:00:00,2024-07-17 00:00:00,3.1,188.75,1212.0,156.0,1973.0,129.0,1563.0,129.0,24.0
40019,2023-07-26 11:00:00,2024-07-17 00:00:00,3.1,190.48,1205.0,156.0,1973.0,97.0,1530.0,126.0,24.0
40020,2023-07-26 12:00:00,2024-07-17 00:00:00,3.1,196.78,1207.0,155.0,1972.0,106.0,1361.0,129.0,23.0
40021,2023-07-26 13:00:00,2024-07-17 00:00:00,3.1,208.26,1232.0,156.0,1971.0,202.0,1093.0,96.0,23.0
40022,2023-07-26 14:00:00,2024-07-17 00:00:00,3.1,220.68,1221.0,158.0,1973.0,285.0,715.0,95.0,23.0
40023,2023-07-26 15:00:00,2024-07-17 00:00:00,3.1,215.89,1203.0,157.0,1971.0,651.0,383.0,117.0,22.0
40024,2023-07-26 16:00:00,2024-07-17 00:00:00,3.1,218.65,1293.0,157.0,1972.0,1069.0,140.0,108.0,21.0
40025,2023-07-26 17:00:00,2024-07-17 00:00:00,3.1,224.92,1352.0,159.0,1974.0,1093.0,16.0,214.0,22.0
40026,2023-07-26 18:00:00,2024-07-17 00:00:00,3.1,244.51,1481.0,161.0,1974.0,1082.0,0.0,126.0,23.0
40027,2023-07-26 19:00:00,2024-07-17 00:00:00,3.1,225.67,1299.0,163.0,1976.0,1010.0,0.0,170.0,24.0
40028,2023-07-26 20:00:00,2024-07-17 00:00:00,3.1,228.16,1155.0,162.0,1977.0,545.0,0.0,247.0,24.0
40029,2023-07-26 21:00:00,2024-07-17 00:00:00,3.1,222.75,1084.0,161.0,1976.0,161.0,0.0,559.0,25.0
40030,2023-07-26 22:00:00,2024-07-17 00:00:00,3.1,224.25,1064.0,163.0,1977.0,107.0,0.0,539.0,25.0
40031,2023-07-26 23:00:00,2024-07-17 00:00:00,3.1,229.81,1066.0,160.0,1977.0,101.0,0.0,455.0,24.0
