UTC time,coal,nat_gas,solar,wind
2023-08-04 00:00:00,1366.0,627.0,93.0,53.0
2023-08-04 01:00:00,1371.0,626.0,86.0,148.0
2023-08-04 02:00:00,1371.0,627.0,40.0,362.0
2023-08-04 03:00:00,1371.0,626.0,0.0,394.0
2023-08-04 04:00:00,1372.0,626.0,0.0,282.0
2023-08-04 05:00:00,1343.0,624.0,0.0,246.0
2023-08-04 06:00:00,1343.0,626.0,0.0,398.0
2023-08-04 07:00:00,1338.0,627.0,0.0,370.0
2023-08-04 08:00:00,1336.0,626.0,0.0,314.0
2023-08-04 09:00:00,1325.0,626.0,0.0,215.0
2023-08-04 10:00:00,1321.0,636.0,0.0,148.0
2023-08-04 11:00:00,1309.0,636.0,0.0,168.0
2023-08-04 12:00:00,1306.0,638.0,0.0,191.0
2023-08-04 13:00:00,1298.0,637.0,0.0,265.0
2023-08-04 14:00:00,1212.0,636.0,29.0,108.0
2023-08-04 15:00:00,1246.0,636.0,85.0,77.0
2023-08-04 16:00:00,1320.0,637.0,110.0,53.0
2023-08-04 17:00:00,1336.0,635.0,111.0,23.0
2023-08-04 18:00:00,1330.0,633.0,109.0,0.0
2023-08-04 19:00:00,1332.0,627.0,106.0,0.0
2023-08-04 20:00:00,1343.0,626.0,105.0,0.0
2023-08-04 21:00:00,1343.0,625.0,103.0,0.0
2023-08-04 22:00:00,1373.0,626.0,101.0,0.0
2023-08-04 23:00:00,1377.0,627.0,100.0,3.0
