UTC time,coal,nat_gas,solar,wind
2023-01-29 00:00:00,1053.0,646.0,81.0,495.0
2023-01-29 01:00:00,1232.0,648.0,17.0,495.0
2023-01-29 02:00:00,1250.0,648.0,0.0,495.0
2023-01-29 03:00:00,1245.0,648.0,0.0,450.0
2023-01-29 04:00:00,1255.0,648.0,0.0,358.0
2023-01-29 05:00:00,1257.0,648.0,0.0,309.0
2023-01-29 06:00:00,1249.0,648.0,0.0,296.0
2023-01-29 07:00:00,1169.0,648.0,0.0,170.0
2023-01-29 08:00:00,1155.0,648.0,0.0,68.0
2023-01-29 09:00:00,1146.0,649.0,0.0,50.0
2023-01-29 10:00:00,1178.0,650.0,0.0,35.0
2023-01-29 11:00:00,1194.0,647.0,0.0,35.0
2023-01-29 12:00:00,1210.0,647.0,0.0,47.0
2023-01-29 13:00:00,1364.0,649.0,0.0,28.0
2023-01-29 14:00:00,1369.0,648.0,0.0,7.0
2023-01-29 15:00:00,1372.0,648.0,2.0,0.0
2023-01-29 16:00:00,1364.0,649.0,54.0,0.0
2023-01-29 17:00:00,1177.0,648.0,109.0,0.0
2023-01-29 18:00:00,1004.0,648.0,113.0,0.0
2023-01-29 19:00:00,985.0,647.0,107.0,0.0
2023-01-29 20:00:00,994.0,646.0,103.0,0.0
2023-01-29 21:00:00,987.0,648.0,105.0,0.0
2023-01-29 22:00:00,984.0,648.0,108.0,0.0
2023-01-29 23:00:00,978.0,648.0,112.0,10.0
