UTC time,nat_gas,hydro,wind,biomass,unknown
2023-08-16 00:00:00,0.0,160.0,4.0,15.0,13.0
2023-08-16 01:00:00,0.0,159.0,3.0,15.0,13.0
2023-08-16 02:00:00,0.0,11.0,3.0,16.0,13.0
2023-08-16 03:00:00,0.0,0.0,7.0,19.0,14.0
2023-08-16 04:00:00,0.0,21.0,16.0,24.0,14.0
2023-08-16 05:00:00,0.0,18.0,0.0,25.0,15.0
2023-08-16 06:00:00,0.0,66.0,0.0,26.0,15.0
2023-08-16 07:00:00,0.0,2.0,0.0,26.0,16.0
2023-08-16 08:00:00,0.0,29.0,0.0,26.0,16.0
2023-08-16 09:00:00,0.0,29.0,1.0,28.0,18.0
2023-08-16 10:00:00,0.0,34.0,2.0,28.0,18.0
2023-08-16 11:00:00,0.0,34.0,9.0,36.0,28.0
2023-08-16 12:00:00,0.0,26.0,13.0,46.0,40.0
2023-08-16 13:00:00,0.0,126.0,12.0,46.0,40.0
2023-08-16 14:00:00,0.0,130.0,9.0,27.0,17.0
2023-08-16 15:00:00,0.0,241.0,2.0,27.0,17.0
2023-08-16 16:00:00,0.0,257.0,0.0,22.0,14.0
2023-08-16 17:00:00,0.0,342.0,0.0,22.0,15.0
2023-08-16 18:00:00,0.0,291.0,1.0,21.0,15.0
2023-08-16 19:00:00,0.0,242.0,1.0,21.0,14.0
2023-08-16 20:00:00,0.0,147.0,1.0,20.0,15.0
2023-08-16 21:00:00,0.0,11.0,1.0,22.0,18.0
2023-08-16 22:00:00,0.0,0.0,0.0,32.0,32.0
2023-08-16 23:00:00,0.0,0.0,1.0,17.0,13.0
