Unnamed: 0,UTC time,carbon_intensity,nat_gas,hydro,wind,biomass,unknown
39192,2023-06-22 00:00:00,429.19,124.0,0.0,19.0,17.0,14.0
39193,2023-06-22 01:00:00,468.51,123.0,0.0,4.0,17.0,14.0
39194,2023-06-22 02:00:00,455.91,124.0,0.0,8.0,17.0,13.0
39195,2023-06-22 03:00:00,442.89,124.0,0.0,12.0,20.0,14.0
39196,2023-06-22 04:00:00,410.05,143.0,17.0,12.0,23.0,14.0
39197,2023-06-22 05:00:00,442.71,145.0,0.0,13.0,24.0,15.0
39198,2023-06-22 06:00:00,379.71,145.0,38.0,10.0,24.0,15.0
39199,2023-06-22 07:00:00,375.27,124.0,32.0,12.0,24.0,15.0
39200,2023-06-22 08:00:00,403.94,124.0,5.0,23.0,24.0,15.0
39201,2023-06-22 09:00:00,399.53,124.0,0.0,30.0,24.0,15.0
39202,2023-06-22 10:00:00,369.21,123.0,0.0,46.0,24.0,15.0
39203,2023-06-22 11:00:00,378.03,123.0,0.0,41.0,24.0,15.0
39204,2023-06-22 12:00:00,389.21,123.0,0.0,35.0,24.0,15.0
39205,2023-06-22 13:00:00,392.09,121.0,0.0,33.0,24.0,15.0
39206,2023-06-22 14:00:00,389.92,116.0,0.0,34.0,25.0,17.0
39207,2023-06-22 15:00:00,225.77,118.0,167.0,33.0,28.0,20.0
39208,2023-06-22 16:00:00,226.3,234.0,315.0,24.0,22.0,15.0
39209,2023-06-22 17:00:00,250.03,250.0,353.0,18.0,55.0,56.0
39210,2023-06-22 18:00:00,223.5,250.0,387.0,14.0,33.0,28.0
39211,2023-06-22 19:00:00,276.48,249.0,289.0,14.0,59.0,62.0
39212,2023-06-22 20:00:00,316.13,249.0,178.0,14.0,41.0,43.0
39213,2023-06-22 21:00:00,276.08,121.0,109.0,12.0,16.0,13.0
39214,2023-06-22 22:00:00,276.07,0.0,11.0,12.0,18.0,16.0
39215,2023-06-22 23:00:00,376.02,0.0,0.0,7.0,18.0,16.0
