UTC time,coal,nat_gas,nuclear,hydro,solar,other
2023-03-04 00:00:00,1824.0,3032.0,6141.0,2601.0,0.0,12.0
2023-03-04 01:00:00,1825.0,2664.0,6139.0,2679.0,0.0,12.0
2023-03-04 02:00:00,1826.0,2608.0,6145.0,2236.0,0.0,11.0
2023-03-04 03:00:00,1828.0,2484.0,6146.0,1911.0,0.0,11.0
2023-03-04 04:00:00,1525.0,2376.0,6152.0,1802.0,0.0,11.0
2023-03-04 05:00:00,1250.0,2134.0,6155.0,1489.0,0.0,12.0
2023-03-04 06:00:00,946.0,2093.0,6156.0,947.0,0.0,12.0
2023-03-04 07:00:00,873.0,2326.0,6162.0,690.0,0.0,12.0
2023-03-04 08:00:00,874.0,2424.0,6161.0,280.0,0.0,12.0
2023-03-04 09:00:00,871.0,2478.0,6169.0,0.0,0.0,12.0
2023-03-04 10:00:00,875.0,2489.0,6171.0,0.0,0.0,12.0
2023-03-04 11:00:00,877.0,2557.0,6168.0,0.0,0.0,12.0
2023-03-04 12:00:00,884.0,2606.0,6176.0,103.0,0.0,12.0
2023-03-04 13:00:00,947.0,2651.0,6174.0,76.0,130.0,12.0
2023-03-04 14:00:00,885.0,2716.0,6176.0,0.0,542.0,13.0
2023-03-04 15:00:00,881.0,2560.0,6174.0,0.0,843.0,13.0
2023-03-04 16:00:00,883.0,2460.0,6177.0,0.0,977.0,13.0
2023-03-04 17:00:00,878.0,2345.0,6175.0,0.0,1008.0,14.0
2023-03-04 18:00:00,881.0,2339.0,6170.0,0.0,1017.0,13.0
2023-03-04 19:00:00,876.0,2302.0,6175.0,0.0,1015.0,14.0
2023-03-04 20:00:00,878.0,2322.0,6171.0,0.0,982.0,14.0
2023-03-04 21:00:00,891.0,2469.0,6170.0,0.0,866.0,13.0
2023-03-04 22:00:00,938.0,2712.0,6173.0,79.0,604.0,13.0
2023-03-04 23:00:00,1217.0,3067.0,6178.0,927.0,187.0,12.0
