,UTC time,Local time,carbon_intensity,coal,nat_gas,nuclear,oil,hydro,solar,wind,other,demand,avg_demand_forecast
0,01/01/2019 00:00:00,2018-12-31 16:00:00,229.21,9,6574,2273,88,2403,1222,2497,0,23216,22491
1,01/01/2019 01:00:00,2018-12-31 17:00:00,274,11,9094,2274,87,3328,0,2187,0,24947,24210
2,01/01/2019 02:00:00,2018-12-31 18:00:00,271.21,11,9212,2274,90,3539,0,2297,15,27654,27981
3,01/01/2019 03:00:00,2018-12-31 19:00:00,260.53,10,8309,2272,90,3480,0,2304,35,27676,28321
4,01/01/2019 04:00:00,2018-12-31 20:00:00,255.65,10,7912,2273,88,3192,0,2472,8,26853,27377
5,01/01/2019 05:00:00,2018-12-31 21:00:00,237.33,8,7098,2274,88,2715,0,3282,0,25940,26290
6,01/01/2019 06:00:00,2018-12-31 22:00:00,251.62,11,7431,2271,90,2454,0,2954,0,24984,25216
7,01/01/2019 07:00:00,2018-12-31 23:00:00,260.47,12,7567,2272,89,2316,0,2670,0,23853,24223
8,01/01/2019 08:00:00,2019-01-01 00:00:00,254.96,12,7098,2272,93,2084,0,2918,75,22803,23436
9,01/01/2019 09:00:00,2019-01-01 01:00:00,256.51,11,6838,2273,89,2110,0,2501,51,21965,22362
10,01/01/2019 10:00:00,2019-01-01 02:00:00,258.67,10,6693,2275,89,1883,0,2365,0,21216,21444
11,01/01/2019 11:00:00,2019-01-01 03:00:00,260.87,11,6574,2274,88,1592,0,2416,0,20631,20803
12,01/01/2019 12:00:00,2019-01-01 04:00:00,262.67,9,6597,2273,90,1618,0,2319,0,20299,20416
13,01/01/2019 13:00:00,2019-01-01 05:00:00,268.08,12,6920,2275,91,1822,0,2162,14,20325,20364
14,01/01/2019 14:00:00,2019-01-01 06:00:00,264.26,12,7111,2276,88,2246,0,2101,0,20781,20781
15,01/01/2019 15:00:00,2019-01-01 07:00:00,260.92,10,7100,2274,91,2392,164,1998,0,21535,21513
16,01/01/2019 16:00:00,2019-01-01 08:00:00,206.46,13,5603,2274,89,1507,3389,1902,0,21432,21516
17,01/01/2019 17:00:00,2019-01-01 09:00:00,150.46,14,4121,2274,86,1390,6909,1961,75,20645,21356
18,01/01/2019 18:00:00,2019-01-01 10:00:00,135.43,12,3656,2273,90,1187,7931,1774,0,19989,20731
19,01/01/2019 19:00:00,2019-01-01 11:00:00,131.65,13,3538,2274,92,1077,7909,2082,0,19400,19959
20,01/01/2019 20:00:00,2019-01-01 12:00:00,134.31,14,3559,2272,89,1064,7831,1839,0,18818,19616
21,01/01/2019 21:00:00,2019-01-01 13:00:00,141.47,14,3832,2272,92,1060,7956,1576,0,18371,19364
22,01/01/2019 22:00:00,2019-01-01 14:00:00,148.78,14,4039,2274,88,1217,7727,1211,0,18413,19564
23,01/01/2019 23:00:00,2019-01-01 15:00:00,176.53,16,4832,2273,89,1580,6204,822,0,19028,19900
24,01/02/2019 00:00:00,2019-01-01 16:00:00,251.6,15,6654,2270,89,2524,1821,564,0,20336,20621
25,01/02/2019 01:00:00,2019-01-01 17:00:00,300.55,15,9018,2274,88,3426,0,495,0,22860,22321
26,01/02/2019 02:00:00,2019-01-01 18:00:00,302.53,14,9646,2274,91,3842,0,402,2,26205,25910
27,01/02/2019 03:00:00,2019-01-01 19:00:00,305.28,15,9470,2273,89,3610,0,378,14,26928,26953
28,01/02/2019 04:00:00,2019-01-01 20:00:00,308.48,16,9239,2271,92,3419,0,330,70,26754,26739
29,01/02/2019 05:00:00,2019-01-01 21:00:00,320.21,14,9218,2274,89,2720,0,328,17,26349,26209
