Unnamed: 0,UTC time,creation_time (UTC),version,carbon_intensity,coal,nat_gas,oil,hydro,solar,other
40344,2023-08-09 00:00:00,2024-07-17 00:00:00,3.1,692.15,6531.0,384.0,17.0,167.0,73.0,1267.0
40345,2023-08-09 01:00:00,2024-07-17 00:00:00,3.1,704.65,6420.0,405.0,17.0,1.0,71.0,1265.0
40346,2023-08-09 02:00:00,2024-07-17 00:00:00,3.1,699.34,5794.0,418.0,18.0,0.0,74.0,1261.0
40347,2023-08-09 03:00:00,2024-07-17 00:00:00,3.1,695.7,5268.0,397.0,17.0,0.0,74.0,1268.0
40348,2023-08-09 04:00:00,2024-07-17 00:00:00,3.1,698.66,4934.0,274.0,17.0,0.0,74.0,1261.0
40349,2023-08-09 05:00:00,2024-07-17 00:00:00,3.1,708.69,4648.0,14.0,17.0,0.0,76.0,1307.0
40350,2023-08-09 06:00:00,2024-07-17 00:00:00,3.1,712.96,4389.0,0.0,18.0,0.0,74.0,1074.0
40351,2023-08-09 07:00:00,2024-07-17 00:00:00,3.1,721.86,4384.0,0.0,17.0,0.0,72.0,748.0
40352,2023-08-09 08:00:00,2024-07-17 00:00:00,3.1,728.64,4405.0,0.0,17.0,0.0,72.0,522.0
40353,2023-08-09 09:00:00,2024-07-17 00:00:00,3.1,732.41,4380.0,0.0,18.0,0.0,68.0,414.0
40354,2023-08-09 10:00:00,2024-07-17 00:00:00,3.1,732.33,4432.0,0.0,18.0,0.0,66.0,435.0
40355,2023-08-09 11:00:00,2024-07-17 00:00:00,3.1,726.26,4505.0,0.0,17.0,0.0,66.0,652.0
40356,2023-08-09 12:00:00,2024-07-17 00:00:00,3.1,714.27,4430.0,0.0,18.0,96.0,64.0,594.0
40357,2023-08-09 13:00:00,2024-07-17 00:00:00,3.1,652.04,4304.0,11.0,17.0,544.0,62.0,808.0
40358,2023-08-09 14:00:00,2024-07-17 00:00:00,3.1,621.64,4268.0,12.0,18.0,780.0,63.0,1277.0
40359,2023-08-09 15:00:00,2024-07-17 00:00:00,3.1,631.51,4929.0,0.0,18.0,815.0,61.0,1346.0
40360,2023-08-09 16:00:00,2024-07-17 00:00:00,3.1,642.68,5622.0,0.0,17.0,829.0,63.0,1216.0
40361,2023-08-09 17:00:00,2024-07-17 00:00:00,3.1,654.17,6545.0,0.0,18.0,877.0,63.0,925.0
40362,2023-08-09 18:00:00,2024-07-17 00:00:00,3.1,652.13,6441.0,0.0,17.0,870.0,64.0,1057.0
40363,2023-08-09 19:00:00,2024-07-17 00:00:00,3.1,661.6,6771.0,33.0,18.0,779.0,62.0,1104.0
40364,2023-08-09 20:00:00,2024-07-17 00:00:00,3.1,654.78,6880.0,105.0,17.0,857.0,62.0,1104.0
40365,2023-08-09 21:00:00,2024-07-17 00:00:00,3.1,651.64,6734.0,451.0,18.0,728.0,61.0,1098.0
40366,2023-08-09 22:00:00,2024-07-17 00:00:00,3.1,646.29,6455.0,524.0,36.0,720.0,64.0,1036.0
40367,2023-08-09 23:00:00,2024-07-17 00:00:00,3.1,655.53,6405.0,517.0,17.0,615.0,62.0,912.0
