Unnamed: 0,UTC time,creation_time (UTC),version,carbon_intensity,nat_gas,nuclear,hydro,solar,wind,other
43872,2024-01-03 00:00:00,2024-07-17 00:00:00,3.1,71.2,666.0,1148.0,6964.0,3.0,28.0,190.0
43873,2024-01-03 01:00:00,2024-07-17 00:00:00,3.1,67.22,711.0,1153.0,8182.0,17.0,22.0,187.0
43874,2024-01-03 02:00:00,2024-07-17 00:00:00,3.1,64.25,721.0,1154.0,9038.0,0.0,34.0,187.0
43875,2024-01-03 03:00:00,2024-07-17 00:00:00,3.1,64.52,691.0,1154.0,8655.0,0.0,64.0,190.0
43876,2024-01-03 04:00:00,2024-07-17 00:00:00,3.1,65.13,667.0,1154.0,8157.0,0.0,74.0,185.0
43877,2024-01-03 05:00:00,2024-07-17 00:00:00,3.1,67.5,665.0,1154.0,7660.0,0.0,47.0,188.0
43878,2024-01-03 06:00:00,2024-07-17 00:00:00,3.1,71.67,664.0,1154.0,6861.0,0.0,10.0,189.0
43879,2024-01-03 07:00:00,2024-07-17 00:00:00,3.1,72.5,663.0,1154.0,6687.0,0.0,11.0,188.0
43880,2024-01-03 08:00:00,2024-07-17 00:00:00,3.1,76.18,665.0,1153.0,6060.0,0.0,25.0,187.0
43881,2024-01-03 09:00:00,2024-07-17 00:00:00,3.1,81.09,666.0,1153.0,5437.0,0.0,16.0,192.0
43882,2024-01-03 10:00:00,2024-07-17 00:00:00,3.1,82.23,666.0,1153.0,5247.0,0.0,8.0,187.0
43883,2024-01-03 11:00:00,2024-07-17 00:00:00,3.1,82.99,665.0,1154.0,5183.0,0.0,3.0,190.0
43884,2024-01-03 12:00:00,2024-07-17 00:00:00,3.1,82.35,667.0,1152.0,5290.0,0.0,2.0,191.0
43885,2024-01-03 13:00:00,2024-07-17 00:00:00,3.1,80.18,665.0,1152.0,5544.0,0.0,4.0,190.0
43886,2024-01-03 14:00:00,2024-07-17 00:00:00,3.1,74.7,671.0,1152.0,6409.0,0.0,5.0,190.0
43887,2024-01-03 15:00:00,2024-07-17 00:00:00,3.1,69.49,712.0,1154.0,7708.0,0.0,27.0,189.0
43888,2024-01-03 16:00:00,2024-07-17 00:00:00,3.1,66.89,715.0,1153.0,8322.0,0.0,13.0,187.0
43889,2024-01-03 17:00:00,2024-07-17 00:00:00,3.1,66.93,717.0,1154.0,8358.0,11.0,10.0,189.0
43890,2024-01-03 18:00:00,2024-07-17 00:00:00,3.1,69.35,713.0,1164.0,7657.0,34.0,30.0,185.0
43891,2024-01-03 19:00:00,2024-07-17 00:00:00,3.1,69.82,713.0,1163.0,7549.0,37.0,57.0,187.0
43892,2024-01-03 20:00:00,2024-07-17 00:00:00,3.1,71.37,712.0,1163.0,7205.0,42.0,58.0,186.0
43893,2024-01-03 21:00:00,2024-07-17 00:00:00,3.1,72.01,712.0,1162.0,7058.0,39.0,68.0,185.0
43894,2024-01-03 22:00:00,2024-07-17 00:00:00,3.1,72.73,713.0,1161.0,6898.0,33.0,128.0,188.0
43895,2024-01-03 23:00:00,2024-07-17 00:00:00,3.1,73.96,711.0,1151.0,6618.0,30.0,150.0,186.0
