,UTC time,creation_time (UTC),version,carbon_intensity,coal,nat_gas,nuclear,oil,hydro,solar,wind,other
0,2023-08-22 00:00:00,2023-08-23 19:34:33,3.0,248.15,418.0,1260.0,0.0,0.0,7.0,1832.0,145.0,382.0
1,2023-08-22 01:00:00,2023-08-23 19:34:33,3.0,270.7,386.0,1355.0,0.0,0.0,13.0,1479.0,112.0,364.0
2,2023-08-22 02:00:00,2023-08-23 19:34:33,3.0,356.74,373.0,1711.0,0.0,0.0,145.0,494.0,72.0,369.0
3,2023-08-22 03:00:00,2023-08-23 19:34:33,3.0,425.24,370.0,2016.0,0.0,0.0,152.0,8.0,18.0,422.0
4,2023-08-22 04:00:00,2023-08-23 19:34:33,3.0,425.96,374.0,2284.0,0.0,0.0,147.0,0.0,4.0,451.0
5,2023-08-22 05:00:00,2023-08-23 19:34:33,3.0,434.46,367.0,2342.0,0.0,0.0,51.0,0.0,3.0,391.0
6,2023-08-22 06:00:00,2023-08-23 19:34:33,3.0,406.52,263.0,2649.0,0.0,0.0,144.0,0.0,22.0,423.0
7,2023-08-22 07:00:00,2023-08-23 19:34:33,3.0,403.09,189.0,2745.0,0.0,0.0,100.0,0.0,16.0,408.0
8,2023-08-22 08:00:00,2023-08-23 19:34:33,3.0,421.34,264.0,2691.0,0.0,0.0,11.0,0.0,21.0,405.0
9,2023-08-22 09:00:00,2023-08-23 19:34:33,3.0,431.18,310.0,2442.0,0.0,0.0,7.0,0.0,20.0,411.0
10,2023-08-22 10:00:00,2023-08-23 19:34:33,3.0,434.55,317.0,2396.0,0.0,0.0,7.0,0.0,7.0,410.0
11,2023-08-22 11:00:00,2023-08-23 19:34:33,3.0,444.6,319.0,1987.0,0.0,0.0,7.0,0.0,7.0,413.0
12,2023-08-22 12:00:00,2023-08-23 19:34:33,3.0,444.54,355.0,2162.0,0.0,0.0,7.0,0.0,3.0,411.0
13,2023-08-22 13:00:00,2023-08-23 19:34:33,3.0,443.16,332.0,2127.0,0.0,0.0,7.0,0.0,3.0,416.0
14,2023-08-22 14:00:00,2023-08-23 19:34:33,3.0,429.3,316.0,2321.0,0.0,0.0,6.0,58.0,1.0,419.0
15,2023-08-22 15:00:00,2023-08-23 19:34:33,3.0,354.3,304.0,1757.0,0.0,0.0,6.0,681.0,0.0,419.0
16,2023-08-22 16:00:00,2023-08-23 19:34:33,3.0,261.86,276.0,1213.0,0.0,0.0,6.0,1521.0,0.0,419.0
17,2023-08-22 17:00:00,2023-08-23 19:34:33,3.0,269.32,293.0,1357.0,0.0,0.0,6.0,1505.0,0.0,414.0
18,2023-08-22 18:00:00,2023-08-23 19:34:33,3.0,242.92,288.0,1140.0,0.0,0.0,6.0,1758.0,10.0,413.0
19,2023-08-22 19:00:00,2023-08-23 19:34:33,3.0,238.29,310.0,1385.0,0.0,0.0,6.0,1995.0,41.0,423.0
20,2023-08-22 20:00:00,2023-08-23 19:34:33,3.0,248.36,400.0,1414.0,0.0,0.0,6.0,2006.0,57.0,420.0
21,2023-08-22 21:00:00,2023-08-23 19:34:33,3.0,250.52,435.0,1389.0,0.0,0.0,6.0,2034.0,55.0,423.0
22,2023-08-22 22:00:00,2023-08-23 19:34:33,3.0,257.7,434.0,1493.0,0.0,0.0,6.0,1935.0,64.0,413.0
23,2023-08-22 23:00:00,2023-08-23 19:34:33,3.0,268.95,435.0,1680.0,0.0,0.0,6.0,1778.0,91.0,395.0
