UTC time,nuclear,hydro,solar,wind
2023-09-16 00:00:00,2913.0,1326.0,0.0,5.0
2023-09-16 01:00:00,2910.0,1192.0,0.0,5.0
2023-09-16 02:00:00,2831.0,1593.0,0.0,5.0
2023-09-16 03:00:00,2778.0,1434.0,0.0,4.0
2023-09-16 04:00:00,2778.0,2254.0,0.0,6.0
2023-09-16 05:00:00,2778.0,2621.0,25.0,9.0
2023-09-16 06:00:00,2774.0,2369.0,93.0,13.0
2023-09-16 07:00:00,2772.0,1492.0,360.0,18.0
2023-09-16 08:00:00,2801.0,609.0,878.0,13.0
2023-09-16 09:00:00,2861.0,619.0,1446.0,6.0
2023-09-16 10:00:00,2892.0,532.0,2149.0,7.0
2023-09-16 11:00:00,2881.0,488.0,1896.0,6.0
2023-09-16 12:00:00,2884.0,620.0,929.0,8.0
2023-09-16 13:00:00,2877.0,735.0,957.0,5.0
2023-09-16 14:00:00,2878.0,1317.0,601.0,4.0
2023-09-16 15:00:00,2879.0,2303.0,498.0,5.0
2023-09-16 16:00:00,2886.0,2716.0,262.0,5.0
2023-09-16 17:00:00,2887.0,3426.0,97.0,9.0
2023-09-16 18:00:00,2888.0,3466.0,0.0,13.0
2023-09-16 19:00:00,2891.0,3281.0,0.0,7.0
2023-09-16 20:00:00,2895.0,2750.0,0.0,5.0
2023-09-16 21:00:00,2898.0,2263.0,0.0,9.0
2023-09-16 22:00:00,2903.0,2201.0,0.0,10.0
2023-09-16 23:00:00,2905.0,2275.0,0.0,5.0
