UTC time,nuclear,hydro,solar,wind
2023-12-07 00:00:00,3023.0,807.0,0.0,3.0
2023-12-07 01:00:00,3021.0,763.0,0.0,3.0
2023-12-07 02:00:00,3022.0,685.0,0.0,3.0
2023-12-07 03:00:00,3023.0,728.0,0.0,5.0
2023-12-07 04:00:00,3021.0,959.0,0.0,7.0
2023-12-07 05:00:00,3018.0,2776.0,0.0,6.0
2023-12-07 06:00:00,3020.0,3509.0,0.0,6.0
2023-12-07 07:00:00,3019.0,3542.0,8.0,6.0
2023-12-07 08:00:00,3020.0,3458.0,86.0,10.0
2023-12-07 09:00:00,3028.0,3433.0,189.0,8.0
2023-12-07 10:00:00,3028.0,3186.0,353.0,3.0
2023-12-07 11:00:00,3020.0,2891.0,243.0,5.0
2023-12-07 12:00:00,3015.0,2887.0,198.0,13.0
2023-12-07 13:00:00,3018.0,3163.0,122.0,26.0
2023-12-07 14:00:00,3018.0,3690.0,138.0,33.0
2023-12-07 15:00:00,3018.0,3878.0,9.0,40.0
2023-12-07 16:00:00,3019.0,3849.0,0.0,45.0
2023-12-07 17:00:00,3019.0,3589.0,0.0,47.0
2023-12-07 18:00:00,3018.0,3197.0,0.0,51.0
2023-12-07 19:00:00,3021.0,1779.0,0.0,49.0
2023-12-07 20:00:00,3021.0,2069.0,0.0,56.0
2023-12-07 21:00:00,3023.0,1753.0,0.0,59.0
2023-12-07 22:00:00,3023.0,1443.0,0.0,58.0
2023-12-07 23:00:00,3023.0,937.0,0.0,59.0
