,UTC time,creation_time (UTC),version,carbon_intensity,coal,nat_gas,wind
0,2023-09-02 00:00:00,2023-09-04 18:10:14,3.0,505.24,1230.0,1525.0,212.0
1,2023-09-02 01:00:00,2023-09-04 18:10:14,3.0,497.63,1179.0,1137.0,330.0
2,2023-09-02 02:00:00,2023-09-04 18:10:14,3.0,466.86,1158.0,921.0,536.0
3,2023-09-02 03:00:00,2023-09-04 18:10:14,3.0,463.68,1195.0,518.0,659.0
4,2023-09-02 04:00:00,2023-09-04 18:10:14,3.0,482.14,1190.0,399.0,593.0
5,2023-09-02 05:00:00,2023-09-04 18:10:14,3.0,490.24,1142.0,340.0,545.0
6,2023-09-02 06:00:00,2023-09-04 18:10:14,3.0,500.9,1137.0,188.0,539.0
7,2023-09-02 07:00:00,2023-09-04 18:10:14,3.0,508.37,1108.0,211.0,491.0
8,2023-09-02 08:00:00,2023-09-04 18:10:14,3.0,513.25,1085.0,210.0,463.0
9,2023-09-02 09:00:00,2023-09-04 18:10:14,3.0,531.97,1101.0,210.0,408.0
10,2023-09-02 10:00:00,2023-09-04 18:10:14,3.0,526.46,1101.0,210.0,426.0
11,2023-09-02 11:00:00,2023-09-04 18:10:14,3.0,512.8,1035.0,208.0,441.0
12,2023-09-02 12:00:00,2023-09-04 18:10:14,3.0,538.83,1152.0,191.0,413.0
13,2023-09-02 13:00:00,2023-09-04 18:10:14,3.0,551.12,1216.0,243.0,381.0
14,2023-09-02 14:00:00,2023-09-04 18:10:14,3.0,536.8,1062.0,417.0,312.0
15,2023-09-02 15:00:00,2023-09-04 18:10:14,3.0,551.39,955.0,618.0,158.0
16,2023-09-02 16:00:00,2023-09-04 18:10:14,3.0,547.93,900.0,814.0,84.0
17,2023-09-02 17:00:00,2023-09-04 18:10:14,3.0,520.19,813.0,1028.0,78.0
18,2023-09-02 18:00:00,2023-09-04 18:10:14,3.0,498.36,818.0,1318.0,90.0
19,2023-09-02 19:00:00,2023-09-04 18:10:14,3.0,478.88,840.0,1386.0,178.0
20,2023-09-02 20:00:00,2023-09-04 18:10:14,3.0,463.74,849.0,1407.0,258.0
21,2023-09-02 21:00:00,2023-09-04 18:10:14,3.0,458.98,840.0,1387.0,282.0
22,2023-09-02 22:00:00,2023-09-04 18:10:14,3.0,463.87,843.0,1513.0,232.0
23,2023-09-02 23:00:00,2023-09-04 18:10:14,3.0,468.18,847.0,1583.0,196.0
