,UTC time,creation_time (UTC),version,carbon_intensity,coal,nat_gas,wind
0,2023-08-28 00:00:00,2023-08-30 02:35:36,3.0,528.0,1082.0,1435.0,46.0
1,2023-08-28 01:00:00,2023-08-30 02:35:36,3.0,544.2,1168.0,1347.0,32.0
2,2023-08-28 02:00:00,2023-08-30 02:35:36,3.0,539.38,1174.0,1424.0,33.0
3,2023-08-28 03:00:00,2023-08-30 02:35:36,3.0,546.85,1161.0,1223.0,57.0
4,2023-08-28 04:00:00,2023-08-30 02:35:36,3.0,534.31,1054.0,1155.0,90.0
5,2023-08-28 05:00:00,2023-08-30 02:35:36,3.0,525.14,1004.0,1178.0,101.0
6,2023-08-28 06:00:00,2023-08-30 02:35:36,3.0,507.11,971.0,1188.0,163.0
7,2023-08-28 07:00:00,2023-08-30 02:35:36,3.0,491.95,944.0,1131.0,234.0
8,2023-08-28 08:00:00,2023-08-30 02:35:36,3.0,502.82,952.0,1056.0,208.0
9,2023-08-28 09:00:00,2023-08-30 02:35:36,3.0,521.01,931.0,1194.0,81.0
10,2023-08-28 10:00:00,2023-08-30 02:35:36,3.0,531.34,949.0,1177.0,51.0
11,2023-08-28 11:00:00,2023-08-30 02:35:36,3.0,526.74,982.0,1337.0,37.0
12,2023-08-28 12:00:00,2023-08-30 02:35:36,3.0,527.98,992.0,1370.0,26.0
13,2023-08-28 13:00:00,2023-08-30 02:35:36,3.0,530.93,993.0,1364.0,15.0
14,2023-08-28 14:00:00,2023-08-30 02:35:36,3.0,536.28,1015.0,1343.0,7.0
15,2023-08-28 15:00:00,2023-08-30 02:35:36,3.0,534.76,1012.0,1377.0,2.0
16,2023-08-28 16:00:00,2023-08-30 02:35:36,3.0,537.03,1064.0,1385.0,11.0
17,2023-08-28 17:00:00,2023-08-30 02:35:36,3.0,528.42,1028.0,1426.0,23.0
18,2023-08-28 18:00:00,2023-08-30 02:35:36,3.0,528.7,1058.0,1462.0,24.0
19,2023-08-28 19:00:00,2023-08-30 02:35:36,3.0,527.8,1056.0,1477.0,23.0
20,2023-08-28 20:00:00,2023-08-30 02:35:36,3.0,528.38,1114.0,1539.0,27.0
21,2023-08-28 21:00:00,2023-08-30 02:35:36,3.0,526.24,1069.0,1532.0,20.0
22,2023-08-28 22:00:00,2023-08-30 02:35:36,3.0,523.25,1028.0,1554.0,10.0
23,2023-08-28 23:00:00,2023-08-30 02:35:36,3.0,513.23,946.0,1594.0,10.0
