Unnamed: 0,UTC time,creation_time (UTC),version,carbon_intensity,coal,nat_gas,wind
35880,2023-02-04 00:00:00,2024-07-17 00:00:00,3.1,572.89,2105.0,1032.0,322.0
35881,2023-02-04 01:00:00,2024-07-17 00:00:00,3.1,552.26,2154.0,1022.0,473.0
35882,2023-02-04 02:00:00,2024-07-17 00:00:00,3.1,531.23,2101.0,1024.0,594.0
35883,2023-02-04 03:00:00,2024-07-17 00:00:00,3.1,525.63,2090.0,1023.0,629.0
35884,2023-02-04 04:00:00,2024-07-17 00:00:00,3.1,533.25,2111.0,1018.0,586.0
35885,2023-02-04 05:00:00,2024-07-17 00:00:00,3.1,535.81,2113.0,1015.0,570.0
35886,2023-02-04 06:00:00,2024-07-17 00:00:00,3.1,532.96,2037.0,1013.0,558.0
35887,2023-02-04 07:00:00,2024-07-17 00:00:00,3.1,532.32,1978.0,1020.0,535.0
35888,2023-02-04 08:00:00,2024-07-17 00:00:00,3.1,537.43,1994.0,1020.0,508.0
35889,2023-02-04 09:00:00,2024-07-17 00:00:00,3.1,538.75,2002.0,1019.0,503.0
35890,2023-02-04 10:00:00,2024-07-17 00:00:00,3.1,533.25,1973.0,1019.0,527.0
35891,2023-02-04 11:00:00,2024-07-17 00:00:00,3.1,530.15,2004.0,1019.0,561.0
35892,2023-02-04 12:00:00,2024-07-17 00:00:00,3.1,516.52,2000.0,1011.0,656.0
35893,2023-02-04 13:00:00,2024-07-17 00:00:00,3.1,512.79,2025.0,1010.0,695.0
35894,2023-02-04 14:00:00,2024-07-17 00:00:00,3.1,522.45,2173.0,1011.0,693.0
35895,2023-02-04 15:00:00,2024-07-17 00:00:00,3.1,531.13,2252.0,1010.0,664.0
35896,2023-02-04 16:00:00,2024-07-17 00:00:00,3.1,530.97,2218.0,1015.0,649.0
35897,2023-02-04 17:00:00,2024-07-17 00:00:00,3.1,510.52,1931.0,1005.0,667.0
35898,2023-02-04 18:00:00,2024-07-17 00:00:00,3.1,511.96,2008.0,984.0,700.0
35899,2023-02-04 19:00:00,2024-07-17 00:00:00,3.1,515.07,2029.0,951.0,697.0
35900,2023-02-04 20:00:00,2024-07-17 00:00:00,3.1,508.74,1844.0,835.0,683.0
35901,2023-02-04 21:00:00,2024-07-17 00:00:00,3.1,487.43,1496.0,654.0,679.0
35902,2023-02-04 22:00:00,2024-07-17 00:00:00,3.1,454.76,1365.0,677.0,790.0
35903,2023-02-04 23:00:00,2024-07-17 00:00:00,3.1,448.78,1347.0,730.0,806.0
