Unnamed: 0,UTC time,creation_time (UTC),version,carbon_intensity,coal,nat_gas,wind
43440,2023-12-16 00:00:00,2024-07-17 00:00:00,3.1,566.84,1601.0,1263.0,107.0
43441,2023-12-16 01:00:00,2024-07-17 00:00:00,3.1,543.44,1437.0,1271.0,167.0
43442,2023-12-16 02:00:00,2024-07-17 00:00:00,3.1,531.93,1403.0,1411.0,172.0
43443,2023-12-16 03:00:00,2024-07-17 00:00:00,3.1,503.0,1274.0,1471.0,262.0
43444,2023-12-16 04:00:00,2024-07-17 00:00:00,3.1,514.62,1230.0,1482.0,170.0
43445,2023-12-16 05:00:00,2024-07-17 00:00:00,3.1,508.96,1020.0,1480.0,99.0
43446,2023-12-16 06:00:00,2024-07-17 00:00:00,3.1,496.55,756.0,1413.0,41.0
43447,2023-12-16 07:00:00,2024-07-17 00:00:00,3.1,480.11,604.0,1313.0,51.0
43448,2023-12-16 08:00:00,2024-07-17 00:00:00,3.1,481.33,609.0,1291.0,54.0
43449,2023-12-16 09:00:00,2024-07-17 00:00:00,3.1,482.69,605.0,1266.0,52.0
43450,2023-12-16 10:00:00,2024-07-17 00:00:00,3.1,474.67,608.0,1340.0,70.0
43451,2023-12-16 11:00:00,2024-07-17 00:00:00,3.1,499.41,841.0,1377.0,82.0
43452,2023-12-16 12:00:00,2024-07-17 00:00:00,3.1,514.2,1130.0,1459.0,131.0
43453,2023-12-16 13:00:00,2024-07-17 00:00:00,3.1,491.67,1144.0,1440.0,268.0
43454,2023-12-16 14:00:00,2024-07-17 00:00:00,3.1,463.55,1127.0,1396.0,439.0
43455,2023-12-16 15:00:00,2024-07-17 00:00:00,3.1,488.06,1143.0,1405.0,297.0
43456,2023-12-16 16:00:00,2024-07-17 00:00:00,3.1,480.27,1145.0,1415.0,342.0
43457,2023-12-16 17:00:00,2024-07-17 00:00:00,3.1,482.16,1146.0,1403.0,334.0
43458,2023-12-16 18:00:00,2024-07-17 00:00:00,3.1,480.49,1146.0,1351.0,356.0
43459,2023-12-16 19:00:00,2024-07-17 00:00:00,3.1,473.49,1144.0,1209.0,428.0
43460,2023-12-16 20:00:00,2024-07-17 00:00:00,3.1,465.64,1143.0,1147.0,487.0
43461,2023-12-16 21:00:00,2024-07-17 00:00:00,3.1,465.92,1145.0,1106.0,495.0
43462,2023-12-16 22:00:00,2024-07-17 00:00:00,3.1,466.66,1145.0,1143.0,483.0
43463,2023-12-16 23:00:00,2024-07-17 00:00:00,3.1,466.69,1141.0,1183.0,472.0
