Unnamed: 0,UTC time,creation_time (UTC),version,carbon_intensity,coal,nat_gas,wind
35616,2023-01-24 00:00:00,2024-07-17 00:00:00,3.1,690.94,2293.0,1202.0,80.0
35617,2023-01-24 01:00:00,2024-07-17 00:00:00,3.1,679.34,2316.0,1244.0,135.0
35618,2023-01-24 02:00:00,2024-07-17 00:00:00,3.1,681.03,2318.0,1283.0,115.0
35619,2023-01-24 03:00:00,2024-07-17 00:00:00,3.1,687.94,2318.0,1331.0,63.0
35620,2023-01-24 04:00:00,2024-07-17 00:00:00,3.1,692.16,2316.0,1350.0,34.0
35621,2023-01-24 05:00:00,2024-07-17 00:00:00,3.1,699.14,2308.0,1314.0,6.0
35622,2023-01-24 06:00:00,2024-07-17 00:00:00,3.1,703.08,2233.0,1170.0,17.0
35623,2023-01-24 07:00:00,2024-07-17 00:00:00,3.1,689.95,2158.0,1227.0,52.0
35624,2023-01-24 08:00:00,2024-07-17 00:00:00,3.1,683.49,2138.0,1345.0,47.0
35625,2023-01-24 09:00:00,2024-07-17 00:00:00,3.1,689.32,2179.0,1347.0,24.0
35626,2023-01-24 10:00:00,2024-07-17 00:00:00,3.1,691.9,2217.0,1346.0,18.0
35627,2023-01-24 11:00:00,2024-07-17 00:00:00,3.1,694.02,2177.0,1341.0,1.0
35628,2023-01-24 12:00:00,2024-07-17 00:00:00,3.1,689.59,2130.0,1351.0,12.0
35629,2023-01-24 13:00:00,2024-07-17 00:00:00,3.1,695.9,2299.0,1349.0,11.0
35630,2023-01-24 14:00:00,2024-07-17 00:00:00,3.1,697.2,2313.0,1341.0,9.0
35631,2023-01-24 15:00:00,2024-07-17 00:00:00,3.1,699.17,2312.0,1329.0,2.0
35632,2023-01-24 16:00:00,2024-07-17 00:00:00,3.1,703.97,2315.0,1236.0,6.0
35633,2023-01-24 17:00:00,2024-07-17 00:00:00,3.1,697.34,2318.0,1325.0,14.0
35634,2023-01-24 18:00:00,2024-07-17 00:00:00,3.1,696.75,2313.0,1286.0,28.0
35635,2023-01-24 19:00:00,2024-07-17 00:00:00,3.1,701.21,2322.0,1283.0,7.0
35636,2023-01-24 20:00:00,2024-07-17 00:00:00,3.1,695.92,2322.0,1336.0,19.0
35637,2023-01-24 21:00:00,2024-07-17 00:00:00,3.1,694.34,2321.0,1337.0,27.0
35638,2023-01-24 22:00:00,2024-07-17 00:00:00,3.1,694.99,2317.0,1353.0,18.0
35639,2023-01-24 23:00:00,2024-07-17 00:00:00,3.1,695.55,2321.0,1282.0,37.0
