UTC time,coal,nat_gas,wind
2023-08-13 00:00:00,944.0,1439.0,2.0
2023-08-13 01:00:00,940.0,1234.0,54.0
2023-08-13 02:00:00,896.0,1254.0,70.0
2023-08-13 03:00:00,904.0,1211.0,56.0
2023-08-13 04:00:00,901.0,1219.0,45.0
2023-08-13 05:00:00,900.0,1167.0,50.0
2023-08-13 06:00:00,866.0,1127.0,107.0
2023-08-13 07:00:00,735.0,1187.0,198.0
2023-08-13 08:00:00,735.0,1173.0,302.0
2023-08-13 09:00:00,636.0,1037.0,446.0
2023-08-13 10:00:00,624.0,1068.0,487.0
2023-08-13 11:00:00,622.0,1245.0,289.0
2023-08-13 12:00:00,624.0,1087.0,313.0
2023-08-13 13:00:00,686.0,1109.0,376.0
2023-08-13 14:00:00,731.0,1076.0,558.0
2023-08-13 15:00:00,734.0,1121.0,603.0
2023-08-13 16:00:00,782.0,1256.0,441.0
2023-08-13 17:00:00,733.0,1186.0,532.0
2023-08-13 18:00:00,736.0,1264.0,559.0
2023-08-13 19:00:00,779.0,1324.0,440.0
2023-08-13 20:00:00,802.0,1324.0,260.0
2023-08-13 21:00:00,909.0,1420.0,42.0
2023-08-13 22:00:00,955.0,1438.0,13.0
2023-08-13 23:00:00,956.0,1406.0,35.0
