Unnamed: 0,UTC time,creation_time (UTC),version,carbon_intensity,coal,nat_gas,nuclear,oil,hydro,solar,wind,biomass,unknown
37344,2023-04-06 00:00:00,2024-07-17 00:00:00,3.1,76.47,709.0,289.0,4384.0,0.0,1398.0,0.0,1595.0,650.0,89.0
37345,2023-04-06 01:00:00,2024-07-17 00:00:00,3.1,79.44,723.0,293.0,4386.0,0.0,1413.0,0.0,1394.0,665.0,95.0
37346,2023-04-06 02:00:00,2024-07-17 00:00:00,3.1,80.88,729.0,302.0,4378.0,0.0,1632.0,0.0,1118.0,677.0,99.0
37347,2023-04-06 03:00:00,2024-07-17 00:00:00,3.1,83.66,747.0,332.0,4343.0,0.0,1803.0,19.0,926.0,683.0,102.0
37348,2023-04-06 04:00:00,2024-07-17 00:00:00,3.1,83.36,766.0,367.0,4343.0,0.0,2042.0,76.0,828.0,686.0,84.0
37349,2023-04-06 05:00:00,2024-07-17 00:00:00,3.1,82.67,764.0,432.0,4342.0,2.0,2258.0,145.0,791.0,668.0,73.0
37350,2023-04-06 06:00:00,2024-07-17 00:00:00,3.1,83.03,753.0,442.0,4215.0,1.0,2299.0,218.0,664.0,672.0,67.0
37351,2023-04-06 07:00:00,2024-07-17 00:00:00,3.1,86.19,715.0,448.0,4032.0,13.0,2160.0,288.0,323.0,690.0,67.0
37352,2023-04-06 08:00:00,2024-07-17 00:00:00,3.1,86.15,686.0,472.0,4033.0,15.0,1897.0,340.0,401.0,669.0,64.0
37353,2023-04-06 09:00:00,2024-07-17 00:00:00,3.1,81.38,664.0,425.0,4034.0,0.0,1762.0,364.0,597.0,663.0,62.0
37354,2023-04-06 10:00:00,2024-07-17 00:00:00,3.1,79.68,644.0,418.0,4035.0,0.0,1705.0,335.0,668.0,652.0,60.0
37355,2023-04-06 11:00:00,2024-07-17 00:00:00,3.1,79.88,629.0,425.0,4034.0,1.0,1671.0,300.0,636.0,628.0,59.0
37356,2023-04-06 12:00:00,2024-07-17 00:00:00,3.1,79.72,602.0,418.0,4033.0,0.0,1539.0,268.0,565.0,614.0,58.0
37357,2023-04-06 13:00:00,2024-07-17 00:00:00,3.1,76.63,583.0,409.0,4033.0,0.0,1751.0,211.0,533.0,614.0,58.0
37358,2023-04-06 14:00:00,2024-07-17 00:00:00,3.1,74.28,595.0,351.0,4032.0,1.0,1920.0,142.0,580.0,612.0,58.0
37359,2023-04-06 15:00:00,2024-07-17 00:00:00,3.1,72.98,614.0,349.0,4033.0,0.0,2119.0,65.0,756.0,627.0,58.0
37360,2023-04-06 16:00:00,2024-07-17 00:00:00,3.1,71.85,636.0,361.0,4033.0,0.0,2155.0,13.0,1169.0,640.0,60.0
37361,2023-04-06 17:00:00,2024-07-17 00:00:00,3.1,70.29,655.0,405.0,4035.0,0.0,1919.0,0.0,2012.0,640.0,63.0
37362,2023-04-06 18:00:00,2024-07-17 00:00:00,3.1,67.84,683.0,419.0,4034.0,0.0,1630.0,0.0,3024.0,648.0,67.0
37363,2023-04-06 19:00:00,2024-07-17 00:00:00,3.1,64.05,689.0,402.0,4035.0,0.0,1532.0,0.0,3725.0,666.0,69.0
37364,2023-04-06 20:00:00,2024-07-17 00:00:00,3.1,58.58,658.0,324.0,4033.0,0.0,1300.0,0.0,4222.0,663.0,70.0
37365,2023-04-06 21:00:00,2024-07-17 00:00:00,3.1,56.37,642.0,229.0,4033.0,0.0,1117.0,0.0,4147.0,663.0,73.0
37366,2023-04-06 22:00:00,2024-07-17 00:00:00,3.1,51.4,544.0,246.0,4033.0,0.0,1115.0,0.0,3943.0,678.0,73.0
37367,2023-04-06 23:00:00,2024-07-17 00:00:00,3.1,51.12,526.0,240.0,4033.0,0.0,1068.0,0.0,3801.0,679.0,77.0
