Unnamed: 0,UTC time,creation_time (UTC),version,carbon_intensity,nat_gas,nuclear,hydro,solar,wind,other
41688,2023-10-04 00:00:00,2024-07-17 00:00:00,3.1,90.36,799.0,1136.0,3704.0,101.0,1160.0,184.0
41689,2023-10-04 01:00:00,2024-07-17 00:00:00,3.1,83.94,897.0,1135.0,4925.0,68.0,1379.0,188.0
41690,2023-10-04 02:00:00,2024-07-17 00:00:00,3.1,83.01,971.0,1136.0,5498.0,30.0,1432.0,185.0
41691,2023-10-04 03:00:00,2024-07-17 00:00:00,3.1,85.5,1012.0,1135.0,5294.0,15.0,1547.0,188.0
41692,2023-10-04 04:00:00,2024-07-17 00:00:00,3.1,83.01,928.0,1137.0,4894.0,10.0,1693.0,185.0
41693,2023-10-04 05:00:00,2024-07-17 00:00:00,3.1,85.53,911.0,1140.0,4366.0,0.0,1724.0,183.0
41694,2023-10-04 06:00:00,2024-07-17 00:00:00,3.1,87.15,901.0,1143.0,3954.0,10.0,1738.0,172.0
41695,2023-10-04 07:00:00,2024-07-17 00:00:00,3.1,88.71,901.0,1144.0,3459.0,0.0,2004.0,173.0
41696,2023-10-04 08:00:00,2024-07-17 00:00:00,3.1,89.28,905.0,1144.0,3358.0,0.0,2068.0,175.0
41697,2023-10-04 09:00:00,2024-07-17 00:00:00,3.1,88.36,906.0,1146.0,3432.0,0.0,2101.0,175.0
41698,2023-10-04 10:00:00,2024-07-17 00:00:00,3.1,87.21,905.0,1146.0,3610.0,0.0,2041.0,172.0
41699,2023-10-04 11:00:00,2024-07-17 00:00:00,3.1,89.96,907.0,1147.0,3579.0,0.0,1802.0,172.0
41700,2023-10-04 12:00:00,2024-07-17 00:00:00,3.1,90.91,906.0,1148.0,3715.0,0.0,1592.0,172.0
41701,2023-10-04 13:00:00,2024-07-17 00:00:00,3.1,87.04,905.0,1148.0,4285.0,0.0,1537.0,177.0
41702,2023-10-04 14:00:00,2024-07-17 00:00:00,3.1,82.77,917.0,1148.0,5023.0,0.0,1532.0,183.0
41703,2023-10-04 15:00:00,2024-07-17 00:00:00,3.1,79.87,906.0,1148.0,5432.0,15.0,1506.0,184.0
41704,2023-10-04 16:00:00,2024-07-17 00:00:00,3.1,85.32,904.0,1146.0,4690.0,95.0,1368.0,181.0
41705,2023-10-04 17:00:00,2024-07-17 00:00:00,3.1,88.24,904.0,1142.0,4340.0,133.0,1356.0,185.0
41706,2023-10-04 18:00:00,2024-07-17 00:00:00,3.1,91.45,902.0,1141.0,4097.0,132.0,1200.0,181.0
41707,2023-10-04 19:00:00,2024-07-17 00:00:00,3.1,94.63,902.0,1141.0,4180.0,131.0,854.0,183.0
41708,2023-10-04 20:00:00,2024-07-17 00:00:00,3.1,97.05,901.0,1138.0,4303.0,92.0,584.0,186.0
41709,2023-10-04 21:00:00,2024-07-17 00:00:00,3.1,98.06,900.0,1136.0,4432.0,97.0,351.0,181.0
41710,2023-10-04 22:00:00,2024-07-17 00:00:00,3.1,99.31,905.0,1136.0,4472.0,95.0,260.0,184.0
41711,2023-10-04 23:00:00,2024-07-17 00:00:00,3.1,96.79,905.0,1136.0,4751.0,95.0,238.0,185.0
