Unnamed: 0,UTC time,creation_time (UTC),version,carbon_intensity,coal,nat_gas,hydro,solar,wind
39648,2023-07-11 00:00:00,2024-07-17 00:00:00,3.1,554.37,3652.0,420.0,1401.0,206.0,175.0
39649,2023-07-11 01:00:00,2024-07-17 00:00:00,3.1,564.77,3683.0,487.0,1409.0,149.0,116.0
39650,2023-07-11 02:00:00,2024-07-17 00:00:00,3.1,571.31,3661.0,532.0,1392.0,50.0,141.0
39651,2023-07-11 03:00:00,2024-07-17 00:00:00,3.1,557.98,3599.0,527.0,1405.0,2.0,285.0
39652,2023-07-11 04:00:00,2024-07-17 00:00:00,3.1,546.14,3457.0,463.0,1334.0,0.0,419.0
39653,2023-07-11 05:00:00,2024-07-17 00:00:00,3.1,520.23,3193.0,284.0,1184.0,0.0,709.0
39654,2023-07-11 06:00:00,2024-07-17 00:00:00,3.1,520.79,3155.0,273.0,1126.0,0.0,738.0
39655,2023-07-11 07:00:00,2024-07-17 00:00:00,3.1,524.7,3055.0,276.0,1084.0,0.0,681.0
39656,2023-07-11 08:00:00,2024-07-17 00:00:00,3.1,506.14,2809.0,283.0,1093.0,0.0,707.0
39657,2023-07-11 09:00:00,2024-07-17 00:00:00,3.1,490.3,2468.0,282.0,1049.0,0.0,677.0
39658,2023-07-11 10:00:00,2024-07-17 00:00:00,3.1,468.3,2148.0,274.0,1022.0,0.0,672.0
39659,2023-07-11 11:00:00,2024-07-17 00:00:00,3.1,474.11,2173.0,271.0,989.0,0.0,671.0
39660,2023-07-11 12:00:00,2024-07-17 00:00:00,3.1,483.79,2333.0,274.0,994.0,0.0,696.0
39661,2023-07-11 13:00:00,2024-07-17 00:00:00,3.1,473.41,2314.0,271.0,1086.0,45.0,647.0
39662,2023-07-11 14:00:00,2024-07-17 00:00:00,3.1,461.45,2264.0,272.0,1109.0,155.0,599.0
39663,2023-07-11 15:00:00,2024-07-17 00:00:00,3.1,488.43,2620.0,311.0,1165.0,206.0,496.0
39664,2023-07-11 16:00:00,2024-07-17 00:00:00,3.1,533.13,3136.0,456.0,1165.0,225.0,339.0
39665,2023-07-11 17:00:00,2024-07-17 00:00:00,3.1,554.23,3418.0,446.0,1115.0,253.0,294.0
39666,2023-07-11 18:00:00,2024-07-17 00:00:00,3.1,542.38,3445.0,455.0,1126.0,242.0,430.0
39667,2023-07-11 19:00:00,2024-07-17 00:00:00,3.1,526.8,3384.0,465.0,1132.0,243.0,560.0
39668,2023-07-11 20:00:00,2024-07-17 00:00:00,3.1,509.41,3393.0,503.0,1172.0,243.0,727.0
39669,2023-07-11 21:00:00,2024-07-17 00:00:00,3.1,520.33,3509.0,565.0,1194.0,248.0,636.0
39670,2023-07-11 22:00:00,2024-07-17 00:00:00,3.1,531.08,3619.0,550.0,1276.0,230.0,508.0
39671,2023-07-11 23:00:00,2024-07-17 00:00:00,3.1,537.08,3646.0,565.0,1323.0,218.0,416.0
