Unnamed: 0,UTC time,creation_time (UTC),version,carbon_intensity,nuclear,hydro,solar,wind
38016,2023-05-04 00:00:00,2024-07-17 00:00:00,3.1,0.0,1723.0,437.0,0.0,10.0
38017,2023-05-04 01:00:00,2024-07-17 00:00:00,3.1,0.0,1724.0,485.0,0.0,8.0
38018,2023-05-04 02:00:00,2024-07-17 00:00:00,3.1,0.0,1725.0,515.0,0.0,7.0
38019,2023-05-04 03:00:00,2024-07-17 00:00:00,3.1,0.0,1725.0,667.0,0.0,7.0
38020,2023-05-04 04:00:00,2024-07-17 00:00:00,3.1,0.0,1723.0,2068.0,12.0,5.0
38021,2023-05-04 05:00:00,2024-07-17 00:00:00,3.1,0.0,1723.0,2494.0,180.0,4.0
38022,2023-05-04 06:00:00,2024-07-17 00:00:00,3.1,0.0,1721.0,2113.0,613.0,5.0
38023,2023-05-04 07:00:00,2024-07-17 00:00:00,3.1,0.0,1720.0,799.0,1214.0,5.0
38024,2023-05-04 08:00:00,2024-07-17 00:00:00,3.1,0.0,1725.0,444.0,1671.0,2.0
38025,2023-05-04 09:00:00,2024-07-17 00:00:00,3.1,0.0,1725.0,442.0,2154.0,2.0
38026,2023-05-04 10:00:00,2024-07-17 00:00:00,3.1,0.0,1719.0,427.0,2354.0,2.0
38027,2023-05-04 11:00:00,2024-07-17 00:00:00,3.1,0.0,1705.0,499.0,2453.0,6.0
38028,2023-05-04 12:00:00,2024-07-17 00:00:00,3.1,0.0,1705.0,464.0,2394.0,11.0
38029,2023-05-04 13:00:00,2024-07-17 00:00:00,3.1,0.0,1705.0,451.0,2149.0,13.0
38030,2023-05-04 14:00:00,2024-07-17 00:00:00,3.1,0.0,1704.0,510.0,1926.0,11.0
38031,2023-05-04 15:00:00,2024-07-17 00:00:00,3.1,0.0,1704.0,789.0,1306.0,9.0
38032,2023-05-04 16:00:00,2024-07-17 00:00:00,3.1,0.0,1705.0,1526.0,686.0,7.0
38033,2023-05-04 17:00:00,2024-07-17 00:00:00,3.1,0.0,1706.0,2331.0,319.0,9.0
38034,2023-05-04 18:00:00,2024-07-17 00:00:00,3.1,0.0,1704.0,2576.0,50.0,8.0
38035,2023-05-04 19:00:00,2024-07-17 00:00:00,3.1,0.0,1706.0,2183.0,0.0,6.0
38036,2023-05-04 20:00:00,2024-07-17 00:00:00,3.1,0.0,1707.0,1381.0,0.0,6.0
38037,2023-05-04 21:00:00,2024-07-17 00:00:00,3.1,0.0,1709.0,804.0,0.0,10.0
38038,2023-05-04 22:00:00,2024-07-17 00:00:00,3.1,0.0,1711.0,439.0,0.0,11.0
38039,2023-05-04 23:00:00,2024-07-17 00:00:00,3.1,0.0,1712.0,406.0,0.0,7.0
