UTC time,coal,nat_gas,nuclear,oil,hydro,solar,wind,other
2023-11-03 00:00:00,0.0,0.0,888.0,5.0,3247.0,179.0,8531.0,3904.0
2023-11-03 01:00:00,0.0,0.0,984.0,5.0,3249.0,171.0,8068.0,3672.0
2023-11-03 02:00:00,0.0,0.0,1088.0,5.0,3236.0,174.0,7480.0,3418.0
2023-11-03 03:00:00,0.0,0.0,1213.0,5.0,3223.0,170.0,6869.0,3054.0
2023-11-03 04:00:00,0.0,0.0,1259.0,5.0,3210.0,177.0,6343.0,2673.0
2023-11-03 05:00:00,0.0,0.0,1329.0,5.0,3194.0,171.0,5893.0,2452.0
2023-11-03 06:00:00,0.0,0.0,1369.0,5.0,3193.0,172.0,5828.0,2140.0
2023-11-03 07:00:00,0.0,0.0,1321.0,5.0,3195.0,172.0,5609.0,2025.0
2023-11-03 08:00:00,0.0,0.0,1337.0,5.0,3191.0,173.0,5542.0,2091.0
2023-11-03 09:00:00,0.0,0.0,1439.0,5.0,3212.0,173.0,5815.0,1920.0
2023-11-03 10:00:00,0.0,0.0,1448.0,5.0,3216.0,171.0,6457.0,2083.0
2023-11-03 11:00:00,0.0,0.0,1410.0,5.0,3204.0,174.0,7662.0,2503.0
2023-11-03 12:00:00,0.0,0.0,1557.0,5.0,3230.0,178.0,8208.0,3641.0
2023-11-03 13:00:00,0.0,0.0,1555.0,6.0,3236.0,194.0,7826.0,3338.0
2023-11-03 14:00:00,0.0,0.0,1423.0,6.0,3246.0,251.0,7004.0,3158.0
2023-11-03 15:00:00,0.0,0.0,1394.0,5.0,3205.0,273.0,6205.0,3208.0
2023-11-03 16:00:00,0.0,0.0,1522.0,5.0,3184.0,281.0,5634.0,3050.0
2023-11-03 17:00:00,0.0,0.0,1607.0,5.0,3177.0,284.0,5633.0,3141.0
2023-11-03 18:00:00,0.0,0.0,1731.0,5.0,3172.0,282.0,5428.0,3175.0
2023-11-03 19:00:00,0.0,0.0,1772.0,5.0,3166.0,270.0,5080.0,2988.0
2023-11-03 20:00:00,0.0,0.0,1734.0,5.0,3164.0,259.0,5397.0,3189.0
2023-11-03 21:00:00,0.0,0.0,1695.0,5.0,3189.0,202.0,6191.0,3330.0
2023-11-03 22:00:00,0.0,0.0,1730.0,5.0,3202.0,166.0,7306.0,3629.0
2023-11-03 23:00:00,0.0,0.0,1768.0,5.0,3217.0,173.0,7891.0,3804.0
