Unnamed: 0,UTC time,creation_time (UTC),version,carbon_intensity,nat_gas,nuclear,hydro,solar,wind,other
42624,2023-11-12 00:00:00,2024-07-17 00:00:00,3.1,55.33,555.0,1131.0,5735.0,35.0,2470.0,151.0
42625,2023-11-12 01:00:00,2024-07-17 00:00:00,3.1,54.75,558.0,1135.0,6228.0,3.0,2336.0,154.0
42626,2023-11-12 02:00:00,2024-07-17 00:00:00,3.1,54.11,556.0,1137.0,6639.0,20.0,2163.0,153.0
42627,2023-11-12 03:00:00,2024-07-17 00:00:00,3.1,55.73,560.0,1136.0,6541.0,1.0,1904.0,154.0
42628,2023-11-12 04:00:00,2024-07-17 00:00:00,3.1,56.76,557.0,1137.0,6243.0,15.0,1839.0,153.0
42629,2023-11-12 05:00:00,2024-07-17 00:00:00,3.1,58.45,560.0,1137.0,6127.0,0.0,1559.0,150.0
42630,2023-11-12 06:00:00,2024-07-17 00:00:00,3.1,60.76,560.0,1138.0,5835.0,0.0,1345.0,151.0
42631,2023-11-12 07:00:00,2024-07-17 00:00:00,3.1,58.94,561.0,1138.0,6398.0,0.0,1272.0,150.0
42632,2023-11-12 08:00:00,2024-07-17 00:00:00,3.1,61.01,560.0,1138.0,6211.0,0.0,1034.0,152.0
42633,2023-11-12 09:00:00,2024-07-17 00:00:00,3.1,62.05,560.0,1140.0,6248.0,0.0,770.0,148.0
42634,2023-11-12 10:00:00,2024-07-17 00:00:00,3.1,64.77,562.0,1140.0,6129.0,0.0,450.0,150.0
42635,2023-11-12 11:00:00,2024-07-17 00:00:00,3.1,65.29,559.0,1141.0,6187.0,0.0,289.0,149.0
42636,2023-11-12 12:00:00,2024-07-17 00:00:00,3.1,67.75,564.0,1141.0,5981.0,0.0,147.0,151.0
42637,2023-11-12 13:00:00,2024-07-17 00:00:00,3.1,69.36,588.0,1140.0,6066.0,0.0,35.0,151.0
42638,2023-11-12 14:00:00,2024-07-17 00:00:00,3.1,68.82,633.0,1142.0,6612.0,0.0,22.0,152.0
42639,2023-11-12 15:00:00,2024-07-17 00:00:00,3.1,67.17,636.0,1143.0,6952.0,0.0,57.0,154.0
42640,2023-11-12 16:00:00,2024-07-17 00:00:00,3.1,66.77,637.0,1144.0,6961.0,7.0,73.0,150.0
42641,2023-11-12 17:00:00,2024-07-17 00:00:00,3.1,65.45,634.0,1145.0,7200.0,18.0,126.0,154.0
42642,2023-11-12 18:00:00,2024-07-17 00:00:00,3.1,64.17,608.0,1143.0,7214.0,17.0,122.0,153.0
42643,2023-11-12 19:00:00,2024-07-17 00:00:00,3.1,61.93,559.0,1140.0,7143.0,25.0,144.0,151.0
42644,2023-11-12 20:00:00,2024-07-17 00:00:00,3.1,62.18,556.0,1140.0,7062.0,32.0,95.0,148.0
42645,2023-11-12 21:00:00,2024-07-17 00:00:00,3.1,62.99,555.0,1138.0,6839.0,28.0,80.0,145.0
42646,2023-11-12 22:00:00,2024-07-17 00:00:00,3.1,64.01,554.0,1137.0,6780.0,19.0,48.0,153.0
42647,2023-11-12 23:00:00,2024-07-17 00:00:00,3.1,63.83,557.0,1138.0,6795.0,13.0,44.0,149.0
