Unnamed: 0,UTC time,carbon_intensity,coal,nat_gas,hydro,solar,wind,biomass,unknown
42912,2023-11-24 00:00:00,518.47,203.0,66.0,1.0,0.0,64.0,92.0,1.0
42913,2023-11-24 01:00:00,512.95,204.0,66.0,1.0,0.0,71.0,89.0,1.0
42914,2023-11-24 02:00:00,501.26,207.0,53.0,1.0,0.0,83.0,90.0,1.0
42915,2023-11-24 03:00:00,503.94,208.0,43.0,1.0,0.0,81.0,91.0,1.0
42916,2023-11-24 04:00:00,514.56,210.0,41.0,1.0,0.0,66.0,104.0,1.0
42917,2023-11-24 05:00:00,504.29,211.0,41.0,1.0,0.0,71.0,112.0,1.0
42918,2023-11-24 06:00:00,511.45,211.0,41.0,1.0,1.0,61.0,117.0,1.0
42919,2023-11-24 07:00:00,479.94,180.0,42.0,1.0,6.0,63.0,117.0,1.0
42920,2023-11-24 08:00:00,475.14,170.0,42.0,1.0,15.0,52.0,116.0,1.0
42921,2023-11-24 09:00:00,469.01,170.0,43.0,1.0,23.0,51.0,114.0,1.0
42922,2023-11-24 10:00:00,506.31,214.0,44.0,1.0,21.0,47.0,120.0,1.0
42923,2023-11-24 11:00:00,510.34,207.0,44.0,1.0,14.0,45.0,121.0,1.0
42924,2023-11-24 12:00:00,501.74,213.0,44.0,1.0,7.0,63.0,121.0,1.0
42925,2023-11-24 13:00:00,491.23,199.0,44.0,1.0,2.0,69.0,119.0,1.0
42926,2023-11-24 14:00:00,496.48,207.0,44.0,1.0,1.0,70.0,120.0,1.0
42927,2023-11-24 15:00:00,503.26,208.0,43.0,1.0,1.0,64.0,121.0,1.0
42928,2023-11-24 16:00:00,505.14,209.0,42.0,1.0,1.0,63.0,121.0,1.0
42929,2023-11-24 17:00:00,491.74,208.0,43.0,1.0,0.0,76.0,120.0,1.0
42930,2023-11-24 18:00:00,491.73,200.0,43.0,1.0,0.0,70.0,121.0,1.0
42931,2023-11-24 19:00:00,491.19,203.0,42.0,1.0,0.0,72.0,122.0,1.0
42932,2023-11-24 20:00:00,487.37,203.0,42.0,1.0,0.0,75.0,123.0,1.0
42933,2023-11-24 21:00:00,476.93,203.0,43.0,1.0,0.0,85.0,123.0,1.0
42934,2023-11-24 22:00:00,445.12,159.0,44.0,1.0,0.0,83.0,118.0,1.0
42935,2023-11-24 23:00:00,425.41,136.0,58.0,1.0,0.0,84.0,115.0,1.0
