Unnamed: 0,UTC time,creation_time (UTC),version,carbon_intensity,coal,nat_gas,hydro,solar,wind,biomass,unknown
36552,2023-03-04 00:00:00,2024-07-17 00:00:00,3.1,429.36,319.0,65.0,1.0,0.0,172.0,64.0,1.0
36553,2023-03-04 01:00:00,2024-07-17 00:00:00,3.1,424.73,318.0,65.0,1.0,0.0,176.0,66.0,1.0
36554,2023-03-04 02:00:00,2024-07-17 00:00:00,3.1,421.37,318.0,65.0,1.0,0.0,177.0,70.0,1.0
36555,2023-03-04 03:00:00,2024-07-17 00:00:00,3.1,422.57,319.0,65.0,1.0,0.0,174.0,72.0,1.0
36556,2023-03-04 04:00:00,2024-07-17 00:00:00,3.1,423.77,320.0,65.0,1.0,0.0,174.0,71.0,1.0
36557,2023-03-04 05:00:00,2024-07-17 00:00:00,3.1,423.5,322.0,65.0,1.0,1.0,175.0,71.0,1.0
36558,2023-03-04 06:00:00,2024-07-17 00:00:00,3.1,423.35,328.0,65.0,1.0,4.0,178.0,70.0,1.0
36559,2023-03-04 07:00:00,2024-07-17 00:00:00,3.1,429.96,354.0,65.0,1.0,10.0,185.0,67.0,1.0
36560,2023-03-04 08:00:00,2024-07-17 00:00:00,3.1,411.74,349.0,65.0,1.0,22.0,202.0,64.0,1.0
36561,2023-03-04 09:00:00,2024-07-17 00:00:00,3.1,382.07,322.0,64.0,1.0,39.0,213.0,64.0,1.0
36562,2023-03-04 10:00:00,2024-07-17 00:00:00,3.1,373.74,332.0,65.0,1.0,51.0,223.0,68.0,1.0
36563,2023-03-04 11:00:00,2024-07-17 00:00:00,3.1,365.43,334.0,64.0,1.0,57.0,227.0,77.0,1.0
36564,2023-03-04 12:00:00,2024-07-17 00:00:00,3.1,370.5,342.0,66.0,1.0,49.0,233.0,77.0,1.0
36565,2023-03-04 13:00:00,2024-07-17 00:00:00,3.1,410.43,404.0,66.0,1.0,29.0,229.0,79.0,1.0
36566,2023-03-04 14:00:00,2024-07-17 00:00:00,3.1,450.57,465.0,65.0,1.0,12.0,211.0,84.0,1.0
36567,2023-03-04 15:00:00,2024-07-17 00:00:00,3.1,476.62,490.0,65.0,1.0,2.0,187.0,87.0,1.0
36568,2023-03-04 16:00:00,2024-07-17 00:00:00,3.1,490.84,534.0,65.0,1.0,0.0,189.0,87.0,1.0
36569,2023-03-04 17:00:00,2024-07-17 00:00:00,3.1,499.55,536.0,64.0,1.0,0.0,175.0,87.0,1.0
36570,2023-03-04 18:00:00,2024-07-17 00:00:00,3.1,510.9,539.0,65.0,1.0,0.0,154.0,90.0,1.0
36571,2023-03-04 19:00:00,2024-07-17 00:00:00,3.1,513.87,506.0,66.0,1.0,0.0,134.0,89.0,1.0
36572,2023-03-04 20:00:00,2024-07-17 00:00:00,3.1,534.31,519.0,66.0,1.0,0.0,107.0,91.0,1.0
36573,2023-03-04 21:00:00,2024-07-17 00:00:00,3.1,548.32,501.0,66.0,1.0,0.0,81.0,90.0,1.0
36574,2023-03-04 22:00:00,2024-07-17 00:00:00,3.1,558.58,486.0,66.0,1.0,0.0,62.0,90.0,1.0
36575,2023-03-04 23:00:00,2024-07-17 00:00:00,3.1,559.15,475.0,64.0,1.0,0.0,58.0,90.0,1.0
