UTC time,coal,nat_gas,oil,hydro,solar,wind,biomass,geothermal,unknown
2023-02-16 00:00:00,3030.0,10744.0,515.0,1162.0,0.0,570.0,678.0,616.0,1932.0
2023-02-16 01:00:00,3055.0,9946.0,515.0,1099.0,0.0,746.0,677.0,616.0,1953.0
2023-02-16 02:00:00,3075.0,9862.0,508.0,1097.0,0.0,894.0,679.0,616.0,2067.0
2023-02-16 03:00:00,3078.0,10166.0,514.0,1159.0,0.0,1032.0,676.0,618.0,2127.0
2023-02-16 04:00:00,3055.0,12969.0,514.0,1334.0,0.0,1014.0,676.0,618.0,2275.0
2023-02-16 05:00:00,3102.0,16906.0,515.0,1924.0,1.0,1048.0,668.0,617.0,2572.0
2023-02-16 06:00:00,2999.0,18585.0,515.0,2807.0,515.0,1207.0,660.0,616.0,2731.0
2023-02-16 07:00:00,2981.0,18379.0,516.0,3458.0,2679.0,1415.0,639.0,615.0,2760.0
2023-02-16 08:00:00,2862.0,18157.0,524.0,2899.0,4736.0,1302.0,644.0,615.0,2681.0
2023-02-16 09:00:00,2861.0,17352.0,532.0,2002.0,6006.0,1178.0,646.0,617.0,2632.0
2023-02-16 10:00:00,2879.0,16685.0,541.0,1805.0,6952.0,1041.0,647.0,618.0,2512.0
2023-02-16 11:00:00,2920.0,14370.0,595.0,1554.0,7180.0,1029.0,651.0,618.0,2474.0
2023-02-16 12:00:00,2968.0,13829.0,647.0,1491.0,6857.0,1207.0,646.0,619.0,2422.0
2023-02-16 13:00:00,2979.0,15218.0,668.0,2049.0,5831.0,1503.0,626.0,619.0,2591.0
2023-02-16 14:00:00,2997.0,16776.0,752.0,1776.0,4256.0,1631.0,641.0,620.0,2732.0
2023-02-16 15:00:00,3047.0,17882.0,756.0,3080.0,1766.0,1800.0,653.0,620.0,2875.0
2023-02-16 16:00:00,3113.0,18862.0,741.0,3856.0,174.0,2118.0,653.0,620.0,3010.0
2023-02-16 17:00:00,3129.0,19106.0,736.0,4288.0,0.0,2221.0,649.0,621.0,2932.0
2023-02-16 18:00:00,3113.0,19253.0,736.0,4144.0,0.0,2137.0,660.0,618.0,2882.0
2023-02-16 19:00:00,3123.0,19335.0,747.0,3189.0,0.0,2043.0,650.0,619.0,2711.0
2023-02-16 20:00:00,3116.0,18007.0,748.0,2418.0,0.0,2075.0,635.0,618.0,2475.0
2023-02-16 21:00:00,3121.0,14764.0,747.0,1606.0,0.0,1923.0,627.0,619.0,2306.0
2023-02-16 22:00:00,3101.0,12206.0,747.0,1419.0,0.0,1739.0,639.0,619.0,2077.0
2023-02-16 23:00:00,3089.0,9581.0,747.0,1150.0,0.0,1831.0,664.0,618.0,2053.0
