UTC time,coal,nat_gas,oil,hydro,solar,wind,biomass,geothermal,unknown
2023-06-10 00:00:00,793.0,6075.0,24.0,6166.0,0.0,1306.0,794.0,595.0,1001.0
2023-06-10 01:00:00,786.0,5727.0,23.0,5677.0,0.0,1186.0,795.0,596.0,999.0
2023-06-10 02:00:00,581.0,5595.0,33.0,5673.0,0.0,1110.0,791.0,598.0,1015.0
2023-06-10 03:00:00,579.0,5628.0,28.0,5765.0,14.0,938.0,798.0,598.0,1000.0
2023-06-10 04:00:00,579.0,5581.0,32.0,6399.0,414.0,979.0,802.0,599.0,1056.0
2023-06-10 05:00:00,669.0,6328.0,32.0,7225.0,1844.0,912.0,798.0,597.0,1034.0
2023-06-10 06:00:00,771.0,6908.0,22.0,7512.0,3501.0,599.0,803.0,597.0,1005.0
2023-06-10 07:00:00,720.0,7025.0,32.0,7919.0,4789.0,595.0,811.0,595.0,1088.0
2023-06-10 08:00:00,609.0,6417.0,22.0,7596.0,5752.0,518.0,800.0,594.0,1063.0
2023-06-10 09:00:00,576.0,5572.0,33.0,7289.0,7275.0,478.0,801.0,593.0,1028.0
2023-06-10 10:00:00,573.0,5571.0,33.0,7096.0,8270.0,572.0,806.0,592.0,946.0
2023-06-10 11:00:00,577.0,5067.0,33.0,6915.0,8817.0,746.0,794.0,590.0,943.0
2023-06-10 12:00:00,578.0,5214.0,33.0,6279.0,8855.0,925.0,795.0,590.0,946.0
2023-06-10 13:00:00,576.0,5021.0,33.0,5819.0,8294.0,917.0,795.0,596.0,971.0
2023-06-10 14:00:00,577.0,5401.0,33.0,5599.0,7284.0,903.0,789.0,593.0,1016.0
2023-06-10 15:00:00,580.0,6750.0,33.0,6343.0,5130.0,691.0,804.0,593.0,1049.0
2023-06-10 16:00:00,583.0,8668.0,23.0,7094.0,3459.0,478.0,820.0,593.0,1166.0
2023-06-10 17:00:00,584.0,9665.0,23.0,8352.0,1045.0,560.0,820.0,594.0,1294.0
2023-06-10 18:00:00,613.0,10007.0,23.0,8467.0,97.0,670.0,816.0,596.0,1358.0
2023-06-10 19:00:00,610.0,9050.0,33.0,8290.0,0.0,685.0,801.0,598.0,1373.0
2023-06-10 20:00:00,596.0,8279.0,33.0,7445.0,0.0,611.0,814.0,599.0,1313.0
2023-06-10 21:00:00,595.0,8216.0,33.0,6711.0,0.0,560.0,799.0,600.0,1249.0
2023-06-10 22:00:00,578.0,6292.0,33.0,6623.0,0.0,612.0,818.0,600.0,1120.0
2023-06-10 23:00:00,577.0,5708.0,33.0,6525.0,0.0,592.0,813.0,599.0,1054.0
